#Dupl,#Ind,#LM Dupl,#LM Ind,#LM Rela,#LM Testing,#LM Training,#Rela,CV,ConfusionM,DuplF1,DuplPrec,DuplRcl,DuplSup,Iteration,LM CV,LM ConfusionM,LM DuplF1,LM DuplPrec,LM DuplRcl,LM DuplSup,LM RelaF1,LM RelaPre,LM RelaRcl,LM RelaSup,LM f1,LM indF1,LM indPre,LM indRcl,LM indSup,LM prec,LM rcl,RelaF1,RelaPre,RelaRcl,RelaSup,Testing,Total data,Training,f1,indF1,indPrec,indRcl,indSup,prec,rcl
346,346,346,346,346,6880,1038,346,"[0.51442308 0.59134615 0.51442308 0.53140097 0.55072464 0.5
 0.51442308 0.55288462 0.49275362 0.5410628  0.52403846 0.50961538
 0.47596154 0.56521739 0.55555556]","[[1016, 520, 428], [649, 1393, 416], [760, 722, 976]]",0.46,0.54,0.39,2458,1,"[0.54807692 0.5        0.50480769 0.48792271 0.62801932 0.48076923
 0.54326923 0.52403846 0.56521739 0.50724638 0.52403846 0.52884615
 0.57211538 0.53140097 0.47342995]","[[1000, 548, 416], [603, 1402, 453], [712, 702, 1044]]",0.46,0.54,0.41,2458,0.55,0.52,0.58,2458,0.49,0.46,0.42,0.5,1964,0.5,0.49,0.55,0.53,0.58,2458,6880,7918,1038,0.49,0.47,0.42,0.52,1964,0.5,0.5
446,446,446,446,446,6280,1338,446,"[0.56716418 0.6119403  0.62313433 0.53932584 0.5917603  0.62313433
 0.58208955 0.5858209  0.5917603  0.52434457 0.60447761 0.6119403
 0.58955224 0.57677903 0.59925094]","[[984, 562, 318], [524, 1554, 280], [672, 744, 942]]",0.47,0.61,0.39,2358,2,"[0.53731343 0.51119403 0.51119403 0.5505618  0.58052434 0.52985075
 0.55597015 0.52985075 0.55805243 0.57677903 0.57089552 0.51492537
 0.56716418 0.51310861 0.56554307]","[[1004, 432, 328], [587, 1351, 320], [657, 633, 968]]",0.51,0.6,0.44,2258,0.58,0.57,0.59,2258,0.53,0.5,0.45,0.57,1764,0.54,0.54,0.6,0.55,0.67,2358,6580,7918,1338,0.52,0.48,0.45,0.53,1864,0.54,0.53
546,546,546,546,546,5980,1638,546,"[0.62195122 0.6402439  0.63414634 0.63914373 0.67584098 0.61585366
 0.60670732 0.60365854 0.57186544 0.67278287 0.62195122 0.5945122
 0.64939024 0.60856269 0.59938838]","[[970, 474, 320], [503, 1554, 201], [686, 620, 952]]",0.5,0.65,0.41,2258,3,"[0.58841463 0.56707317 0.54878049 0.57798165 0.58715596 0.52743902
 0.57317073 0.50914634 0.57492355 0.57492355 0.53963415 0.57621951
 0.57012195 0.57798165 0.57186544]","[[939, 328, 397], [556, 1255, 347], [583, 476, 1099]]",0.54,0.6,0.49,2158,0.6,0.61,0.6,2158,0.55,0.51,0.46,0.57,1664,0.56,0.56,0.63,0.58,0.69,2258,6280,7918,1638,0.54,0.5,0.45,0.55,1764,0.56,0.55
646,646,646,646,646,5680,1938,646,"[0.62371134 0.62371134 0.64690722 0.67700258 0.63307494 0.62371134
 0.65206186 0.67525773 0.66666667 0.6744186  0.68041237 0.66752577
 0.6314433  0.63049096 0.65633075]","[[928, 454, 282], [439, 1549, 170], [638, 604, 916]]",0.51,0.67,0.42,2158,4,"[0.58505155 0.60051546 0.57989691 0.6124031  0.59173127 0.57474227
 0.57731959 0.56958763 0.63565891 0.58139535 0.59793814 0.58505155
 0.64690722 0.55813953 0.58914729]","[[947, 276, 341], [561, 1241, 256], [554, 423, 1081]]",0.58,0.64,0.53,2058,0.62,0.64,0.61,2058,0.57,0.52,0.46,0.6,1564,0.58,0.58,0.65,0.59,0.73,2158,5980,7918,1938,0.56,0.51,0.47,0.56,1664,0.58,0.57
746,746,746,746,746,5380,2238,746,"[0.68303571 0.68303571 0.67633929 0.66442953 0.67785235 0.65625
 0.65178571 0.63392857 0.66442953 0.6935123  0.70535714 0.68973214
 0.65848214 0.68456376 0.66219239]","[[834, 420, 310], [342, 1555, 161], [552, 558, 948]]",0.54,0.69,0.45,2058,5,"[0.63616071 0.578125   0.60491071 0.59955257 0.60402685 0.56473214
 0.62053571 0.59151786 0.6442953  0.56599553 0.57589286 0.60267857
 0.59375    0.63534676 0.61073826]","[[920, 243, 301], [489, 1187, 282], [456, 345, 1157]]",0.63,0.68,0.59,1958,0.65,0.67,0.62,1958,0.61,0.56,0.5,0.64,1464,0.62,0.62,0.68,0.61,0.76,2058,5680,7918,2238,0.58,0.52,0.49,0.55,1564,0.6,0.59
846,846,846,846,846,5080,2538,846,"[0.68700787 0.68110236 0.69488189 0.68244576 0.67455621 0.73425197
 0.67913386 0.71062992 0.7061144  0.65680473 0.70866142 0.66535433
 0.72244094 0.6765286  0.66272189]","[[804, 400, 260], [293, 1559, 106], [528, 524, 906]]",0.57,0.71,0.47,1958,6,"[0.65748031 0.61023622 0.63582677 0.61538462 0.59566075 0.62795276
 0.59251969 0.59055118 0.63708087 0.62524655 0.61614173 0.61417323
 0.58267717 0.62919132 0.58974359]","[[875, 208, 281], [424, 1181, 253], [403, 332, 1123]]",0.65,0.7,0.61,1858,0.66,0.69,0.63,1858,0.63,0.57,0.51,0.66,1364,0.63,0.63,0.71,0.63,0.8,1958,5380,7918,2538,0.6,0.53,0.5,0.56,1464,0.61,0.61
946,946,946,946,946,4780,2838,946,"[0.74823944 0.72535211 0.71830986 0.69312169 0.71781305 0.72007042
 0.6971831  0.71126761 0.73368607 0.71604938 0.71302817 0.71126761
 0.68309859 0.73015873 0.7037037 ]","[[788, 360, 216], [223, 1552, 83], [493, 488, 877]]",0.58,0.74,0.48,1858,7,"[0.61795775 0.64260563 0.62323944 0.62962963 0.65432099 0.61795775
 0.6584507  0.64612676 0.63844797 0.62257496 0.65140845 0.63028169
 0.61443662 0.664903   0.64550265]","[[874, 170, 220], [365, 1194, 199], [381, 268, 1109]]",0.67,0.72,0.63,1758,0.7,0.72,0.67,1758,0.66,0.6,0.54,0.69,1264,0.66,0.66,0.73,0.65,0.83,1858,5080,7918,2838,0.62,0.55,0.52,0.58,1364,0.64,0.63
1046,1046,1046,1046,1046,4480,3138,1046,"[0.71178344 0.72292994 0.7133758  0.75598086 0.71291866 0.74044586
 0.7022293  0.74840764 0.71610845 0.74641148 0.7388535  0.72929936
 0.71178344 0.70334928 0.72727273]","[[754, 310, 200], [180, 1506, 72], [460, 424, 874]]",0.61,0.77,0.5,1758,8,"[0.68471338 0.63853503 0.67038217 0.66666667 0.68421053 0.65127389
 0.66242038 0.68312102 0.62200957 0.66666667 0.6544586  0.66719745
 0.63216561 0.65869219 0.6507177 ]","[[800, 158, 206], [333, 1116, 209], [306, 226, 1126]]",0.7,0.73,0.67,1658,0.72,0.74,0.69,1658,0.67,0.61,0.56,0.68,1164,0.68,0.68,0.75,0.67,0.86,1758,4780,7918,3138,0.64,0.57,0.55,0.59,1264,0.66,0.65
1146,1146,1146,1146,1146,4180,3438,1146,"[0.72238372 0.73546512 0.74709302 0.73071325 0.7147016  0.7369186
 0.74563953 0.73110465 0.73362445 0.74090247 0.70494186 0.70494186
 0.72238372 0.7496361  0.73508006]","[[710, 294, 160], [132, 1483, 43], [380, 416, 862]]",0.63,0.8,0.52,1658,9,"[0.67587209 0.68459302 0.6627907  0.67103348 0.66957787 0.70494186
 0.67005814 0.67005814 0.66666667 0.71179039 0.65116279 0.68895349
 0.67877907 0.65211063 0.70305677]","[[754, 124, 186], [275, 1097, 186], [289, 196, 1073]]",0.72,0.75,0.69,1558,0.74,0.77,0.71,1558,0.7,0.63,0.57,0.71,1064,0.7,0.7,0.78,0.68,0.9,1658,4480,7918,3438,0.67,0.59,0.57,0.6,1164,0.69,0.67
1246,1246,1246,1246,1246,3880,3738,1246,"[0.73796791 0.74197861 0.77139037 0.74966533 0.74564926 0.73128342
 0.72727273 0.73395722 0.75903614 0.74564926 0.74331551 0.73930481
 0.73128342 0.74431058 0.73226238]","[[676, 256, 132], [91, 1441, 26], [348, 372, 838]]",0.65,0.84,0.54,1558,10,"[0.70320856 0.68850267 0.68983957 0.70147256 0.69879518 0.69117647
 0.68315508 0.73930481 0.70147256 0.69076305 0.68449198 0.67112299
 0.70187166 0.71352075 0.72556894]","[[698, 110, 156], [270, 1049, 139], [247, 162, 1049]]",0.74,0.77,0.72,1458,0.75,0.79,0.71,1458,0.71,0.65,0.58,0.73,964,0.71,0.72,0.79,0.69,0.92,1558,4180,7918,3738,0.69,0.62,0.6,0.63,1064,0.71,0.7
