----------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arguments :- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
input : D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resampling : under_sampling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classifier : RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
samplingType : leastConfidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testsize : 0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manualAnnotationsCount : 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maxIterations : 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments : Typo3-RF_LC-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
----------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis of  Label Classification  : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Ind,#LM Ind,#LM Rela,#LM Testing,#LM Training,#Rela,CV,ConfusionM,Iteration,LM CV,LM ConfusionM,LM RelaF1,LM RelaPre,LM RelaRcl,LM RelaSup,LM f1,LM indF1,LM indPre,LM indRcl,LM indSup,LM prec,LM rcl,RelaF1,RelaPre,RelaRcl,RelaSup,Testing,Total data,Training,f1,indF1,indPrec,indRcl,indSup,prec,rcl
199,199,199,2262,398,199,"[0.575      0.5375     0.575      0.56962025 0.5443038  0.525
 0.5625     0.55       0.62025316 0.51898734 0.5125     0.6125
 0.5625     0.59493671 0.55696203]","[[443, 688], [206, 925]]",1,"[0.5875     0.5375     0.575      0.51898734 0.5443038  0.5375
 0.65       0.5125     0.48101266 0.55696203 0.5625     0.4375
 0.55       0.55696203 0.59493671]","[[422, 709], [200, 931]]",0.67,0.57,0.81,1131,0.57,0.48,0.67,0.38,1131,0.61,0.59,0.67,0.57,0.82,1131,2262,2660,398,0.58,0.48,0.68,0.37,1131,0.62,0.6
249,249,249,2062,498,249,"[0.57       0.6        0.6        0.54545455 0.52525253 0.61
 0.56       0.58       0.56565657 0.57575758 0.62       0.52
 0.52       0.5959596  0.55555556]","[[459, 622], [210, 871]]",2,"[0.54       0.58       0.59       0.54545455 0.56565657 0.52
 0.65       0.54       0.56565657 0.60606061 0.57       0.6
 0.54       0.57575758 0.60606061]","[[428, 603], [177, 854]]",0.69,0.59,0.82,1031,0.61,0.54,0.7,0.43,1031,0.65,0.62,0.68,0.59,0.8,1081,2162,2660,498,0.6,0.53,0.68,0.43,1081,0.63,0.62
