#Ind,#LM Ind,#LM Rela,#LM Testing,#LM Training,#Rela,CV,ConfusionM,Iteration,LM CV,LM ConfusionM,LM RelaF1,LM RelaPre,LM RelaRcl,LM RelaSup,LM f1,LM indF1,LM indPre,LM indRcl,LM indSup,LM prec,LM rcl,RelaF1,RelaPre,RelaRcl,RelaSup,Testing,Total data,Training,f1,indF1,indPrec,indRcl,indSup,prec,rcl
115,115,115,1338,230,115,"[0.5        0.56521739 0.54347826 0.52173913 0.54347826 0.58695652
 0.54347826 0.56521739 0.5        0.58695652 0.63043478 0.5
 0.5        0.54347826 0.52173913]","[[179, 506], [46, 607]]",1,"[0.5        0.54347826 0.63043478 0.52173913 0.52173913 0.47826087
 0.54347826 0.58695652 0.54347826 0.52173913 0.54347826 0.58695652
 0.52173913 0.5        0.52173913]","[[193, 492], [46, 607]]",0.69,0.54,0.94,653,0.54,0.38,0.8,0.25,685,0.67,0.59,0.68,0.54,0.92,653,1338,1568,230,0.54,0.39,0.78,0.26,685,0.66,0.59
145,145,145,1218,290,145,"[0.62068966 0.46551724 0.55172414 0.55172414 0.43103448 0.5
 0.5        0.56896552 0.62068966 0.60344828 0.51724138 0.53448276
 0.53448276 0.51724138 0.62068966]","[[189, 466], [52, 571]]",2,"[0.67241379 0.56896552 0.51724138 0.55172414 0.51724138 0.63793103
 0.60344828 0.60344828 0.56896552 0.5        0.56896552 0.5862069
 0.5        0.62068966 0.56896552]","[[171, 454], [38, 555]]",0.7,0.56,0.93,593,0.57,0.44,0.82,0.31,625,0.69,0.62,0.69,0.55,0.92,623,1278,1568,290,0.56,0.42,0.8,0.29,655,0.68,0.61
175,175,175,1158,350,175,"[0.6        0.55714286 0.47142857 0.52857143 0.52857143 0.55714286
 0.55714286 0.61428571 0.55714286 0.52857143 0.52857143 0.6
 0.52857143 0.61428571 0.55714286]","[[201, 424], [58, 535]]",3,"[0.62857143 0.62857143 0.6        0.6        0.55714286 0.54285714
 0.48571429 0.6        0.54285714 0.55714286 0.58571429 0.52857143
 0.57142857 0.54285714 0.61428571]","[[192, 403], [38, 525]]",0.7,0.57,0.92,563,0.59,0.48,0.82,0.34,595,0.69,0.63,0.69,0.55,0.9,593,1218,1568,350,0.56,0.44,0.77,0.31,625,0.66,0.6
205,205,205,1098,410,205,"[0.54878049 0.6097561  0.53658537 0.58536585 0.57317073 0.6097561
 0.54878049 0.57317073 0.58536585 0.58536585 0.42682927 0.59756098
 0.52439024 0.56097561 0.58536585]","[[195, 400], [48, 515]]",4,"[0.56097561 0.67073171 0.65853659 0.56097561 0.56097561 0.6097561
 0.64634146 0.52439024 0.58536585 0.57317073 0.54878049 0.58536585
 0.64634146 0.63414634 0.59756098]","[[228, 337], [52, 481]]",0.71,0.59,0.9,533,0.62,0.54,0.81,0.4,565,0.7,0.65,0.69,0.57,0.9,563,1158,1568,410,0.59,0.48,0.79,0.35,595,0.68,0.63
235,235,235,1038,470,235,"[0.59574468 0.67021277 0.61702128 0.54255319 0.55319149 0.61702128
 0.65957447 0.62765957 0.58510638 0.60638298 0.59574468 0.5212766
 0.62765957 0.64893617 0.59574468]","[[202, 363], [42, 491]]",5,"[0.60638298 0.64893617 0.59574468 0.53191489 0.58510638 0.63829787
 0.61702128 0.67021277 0.63829787 0.60638298 0.58510638 0.65957447
 0.57446809 0.60638298 0.67021277]","[[220, 315], [44, 459]]",0.72,0.59,0.91,503,0.64,0.55,0.84,0.41,535,0.71,0.66,0.71,0.58,0.92,533,1098,1568,470,0.61,0.51,0.83,0.37,565,0.7,0.64
265,265,265,978,530,265,"[0.66037736 0.63207547 0.60377358 0.69811321 0.69811321 0.59433962
 0.6509434  0.66037736 0.62264151 0.68867925 0.66981132 0.6509434
 0.62264151 0.61320755 0.67924528]","[[215, 320], [34, 469]]",6,"[0.6509434  0.64150943 0.61320755 0.6509434  0.59433962 0.67924528
 0.63207547 0.63207547 0.6509434  0.64150943 0.62264151 0.56603774
 0.60377358 0.69811321 0.62264151]","[[217, 288], [46, 427]]",0.72,0.6,0.91,473,0.65,0.57,0.84,0.43,505,0.71,0.67,0.72,0.6,0.92,503,1038,1568,530,0.64,0.56,0.85,0.42,535,0.72,0.67
295,295,295,918,590,295,"[0.61864407 0.60169492 0.6440678  0.66101695 0.65254237 0.54237288
 0.6440678  0.65254237 0.6440678  0.6440678  0.70338983 0.59322034
 0.6779661  0.62711864 0.62711864]","[[206, 299], [36, 437]]",7,"[0.63559322 0.61016949 0.60169492 0.59322034 0.69491525 0.63559322
 0.55932203 0.66949153 0.66949153 0.66949153 0.63559322 0.59322034
 0.6440678  0.61864407 0.66949153]","[[216, 259], [42, 401]]",0.73,0.61,0.91,443,0.66,0.59,0.85,0.46,475,0.73,0.69,0.74,0.6,0.94,473,978,1568,590,0.66,0.57,0.88,0.43,505,0.74,0.68
325,325,325,858,650,325,"[0.6        0.63076923 0.63846154 0.7        0.64615385 0.64615385
 0.63076923 0.63076923 0.61538462 0.63076923 0.6        0.63846154
 0.66923077 0.67692308 0.67692308]","[[205, 270], [16, 427]]",8,"[0.63846154 0.64615385 0.69230769 0.68461538 0.72307692 0.66153846
 0.60769231 0.64615385 0.67692308 0.61538462 0.6        0.70769231
 0.69230769 0.59230769 0.70769231]","[[223, 222], [30, 383]]",0.75,0.63,0.92,413,0.69,0.63,0.87,0.5,445,0.75,0.71,0.75,0.61,0.96,443,918,1568,650,0.66,0.58,0.93,0.42,475,0.77,0.69
355,355,355,798,710,355,"[0.6056338  0.64084507 0.6056338  0.64788732 0.66197183 0.68309859
 0.64084507 0.64788732 0.63380282 0.62676056 0.62676056 0.71830986
 0.61971831 0.66901408 0.61267606]","[[198, 247], [8, 405]]",9,"[0.67605634 0.62676056 0.66901408 0.67605634 0.5915493  0.66901408
 0.66197183 0.6056338  0.64084507 0.62676056 0.67605634 0.64084507
 0.66197183 0.64084507 0.68309859]","[[225, 190], [22, 361]]",0.77,0.65,0.93,383,0.72,0.67,0.9,0.54,415,0.77,0.74,0.76,0.62,0.98,413,858,1568,710,0.68,0.61,0.96,0.44,445,0.79,0.71
385,385,385,738,770,385,"[0.68831169 0.66883117 0.67532468 0.68831169 0.67532468 0.67532468
 0.66883117 0.61688312 0.68181818 0.67532468 0.61688312 0.7012987
 0.67532468 0.7012987  0.66233766]","[[186, 229], [6, 377]]",10,"[0.64935065 0.64285714 0.64935065 0.66883117 0.70779221 0.69480519
 0.62337662 0.7012987  0.66883117 0.68831169 0.73376623 0.69480519
 0.67532468 0.65584416 0.61038961]","[[210, 175], [22, 331]]",0.77,0.66,0.93,353,0.73,0.69,0.9,0.55,385,0.78,0.74,0.77,0.62,0.99,383,798,1568,770,0.69,0.62,0.98,0.45,415,0.8,0.72
