#Ind,#LM Ind,#LM Rela,#LM Testing,#LM Training,#Rela,CV,ConfusionM,Iteration,LM CV,LM ConfusionM,LM RelaF1,LM RelaPre,LM RelaRcl,LM RelaSup,LM f1,LM indF1,LM indPre,LM indRcl,LM indSup,LM prec,LM rcl,RelaF1,RelaPre,RelaRcl,RelaSup,Testing,Total data,Training,f1,indF1,indPrec,indRcl,indSup,prec,rcl
198,198,198,2252,396,198,"[0.6125     0.60759494 0.58227848 0.60759494 0.53164557 0.575
 0.56962025 0.55696203 0.58227848 0.63291139 0.625      0.5443038
 0.5443038  0.53164557 0.56962025]","[[406, 720], [196, 930]]",1,"[0.65       0.58227848 0.55696203 0.59493671 0.50632911 0.525
 0.53164557 0.58227848 0.65822785 0.60759494 0.5375     0.56962025
 0.55696203 0.65822785 0.56962025]","[[412, 714], [208, 918]]",0.67,0.56,0.81,1126,0.57,0.48,0.66,0.37,1126,0.61,0.59,0.67,0.57,0.82,1126,2252,2648,396,0.58,0.48,0.67,0.38,1126,0.62,0.6
248,248,248,2052,496,248,"[0.63       0.5959596  0.55555556 0.62626263 0.60606061 0.58
 0.57575758 0.63636364 0.62626263 0.63636364 0.61       0.63636364
 0.61616162 0.5959596  0.57575758]","[[438, 638], [182, 894]]",2,"[0.58       0.54545455 0.61616162 0.58585859 0.56565657 0.56
 0.60606061 0.54545455 0.5959596  0.56565657 0.51       0.55555556
 0.60606061 0.61616162 0.57575758]","[[420, 606], [182, 844]]",0.68,0.59,0.82,1026,0.6,0.53,0.7,0.42,1026,0.64,0.62,0.69,0.59,0.82,1076,2152,2648,496,0.61,0.53,0.71,0.42,1076,0.65,0.62
298,298,298,1952,596,298,"[0.6        0.65546218 0.58823529 0.6302521  0.53781513 0.65833333
 0.58823529 0.64705882 0.55462185 0.60504202 0.60833333 0.59663866
 0.57983193 0.61344538 0.61344538]","[[454, 572], [174, 852]]",3,"[0.54166667 0.55462185 0.58823529 0.60504202 0.60504202 0.60833333
 0.57983193 0.62184874 0.59663866 0.62184874 0.6        0.65546218
 0.49579832 0.53781513 0.58823529]","[[465, 511], [189, 787]]",0.69,0.6,0.81,976,0.63,0.56,0.71,0.47,976,0.66,0.64,0.69,0.6,0.82,1026,2052,2648,596,0.62,0.55,0.72,0.45,1026,0.66,0.64
348,348,348,1852,696,348,"[0.61428571 0.61151079 0.58273381 0.63309353 0.64028777 0.59285714
 0.61151079 0.66906475 0.61870504 0.67625899 0.62142857 0.64028777
 0.61870504 0.64748201 0.64748201]","[[428, 548], [134, 842]]",4,"[0.62857143 0.56834532 0.5971223  0.52517986 0.61151079 0.63571429
 0.61870504 0.5971223  0.60431655 0.61870504 0.58571429 0.64028777
 0.61151079 0.5971223  0.5971223 ]","[[468, 458], [145, 781]]",0.72,0.62,0.84,926,0.65,0.59,0.76,0.49,926,0.69,0.67,0.71,0.61,0.86,976,1952,2648,696,0.64,0.56,0.76,0.44,976,0.69,0.66
398,398,398,1752,796,398,"[0.66875    0.64779874 0.63522013 0.58490566 0.63522013 0.675
 0.6163522  0.64150943 0.61006289 0.66037736 0.63125    0.62893082
 0.63522013 0.56603774 0.6163522 ]","[[424, 502], [136, 790]]",5,"[0.6125     0.56603774 0.55345912 0.61006289 0.56603774 0.60625
 0.64150943 0.63522013 0.62264151 0.57861635 0.60625    0.62893082
 0.59119497 0.64779874 0.58490566]","[[448, 428], [144, 732]]",0.72,0.63,0.84,876,0.67,0.62,0.76,0.52,876,0.69,0.68,0.72,0.62,0.86,926,1852,2648,796,0.65,0.58,0.77,0.46,926,0.69,0.66
448,448,448,1652,896,448,"[0.60555556 0.6424581  0.63687151 0.59217877 0.63128492 0.68888889
 0.63128492 0.62569832 0.63128492 0.58100559 0.61111111 0.59776536
 0.62011173 0.55865922 0.68156425]","[[417, 459], [120, 756]]",6,"[0.66666667 0.65363128 0.66480447 0.60335196 0.61452514 0.65555556
 0.60893855 0.67039106 0.55865922 0.62569832 0.66111111 0.65921788
 0.68715084 0.60335196 0.63128492]","[[452, 374], [148, 678]]",0.72,0.64,0.82,826,0.68,0.63,0.75,0.55,826,0.7,0.68,0.73,0.63,0.87,876,1752,2648,896,0.66,0.59,0.79,0.48,876,0.71,0.68
498,498,498,1552,996,498,"[0.63       0.66331658 0.61809045 0.61809045 0.59296482 0.625
 0.61809045 0.61306533 0.67336683 0.65829146 0.615      0.67839196
 0.59798995 0.61809045 0.56281407]","[[405, 421], [94, 732]]",7,"[0.655      0.63316583 0.63316583 0.6281407  0.59798995 0.615
 0.61306533 0.59296482 0.67839196 0.63316583 0.605      0.62311558
 0.61306533 0.68844221 0.63316583]","[[422, 354], [131, 645]]",0.73,0.65,0.83,776,0.69,0.64,0.76,0.55,776,0.7,0.69,0.74,0.64,0.88,826,1652,2648,996,0.68,0.62,0.81,0.5,826,0.72,0.69
548,548,548,1452,1096,548,"[0.65454545 0.65753425 0.62100457 0.66210046 0.61643836 0.64545455
 0.59817352 0.65296804 0.63926941 0.64840183 0.67727273 0.63926941
 0.65296804 0.65296804 0.63013699]","[[399, 377], [94, 682]]",8,"[0.65       0.62557078 0.62100457 0.70319635 0.60273973 0.68636364
 0.64383562 0.60730594 0.68493151 0.57534247 0.66363636 0.61187215
 0.62100457 0.63926941 0.61187215]","[[437, 289], [131, 595]]",0.75,0.68,0.83,726,0.71,0.68,0.78,0.6,726,0.73,0.71,0.75,0.65,0.89,776,1552,2648,1096,0.69,0.63,0.82,0.52,776,0.73,0.7
598,598,598,1352,1196,598,"[0.58333333 0.59832636 0.69456067 0.67364017 0.66527197 0.62916667
 0.65690377 0.66527197 0.69037657 0.67364017 0.65       0.61506276
 0.66527197 0.69037657 0.62761506]","[[393, 333], [70, 656]]",9,"[0.62916667 0.65271967 0.64016736 0.63598326 0.64016736 0.65833333
 0.69874477 0.69874477 0.66527197 0.66945607 0.66666667 0.64016736
 0.63179916 0.65271967 0.69874477]","[[389, 287], [98, 578]]",0.75,0.68,0.85,676,0.72,0.68,0.8,0.59,676,0.73,0.72,0.76,0.66,0.9,726,1452,2648,1196,0.71,0.66,0.84,0.54,726,0.75,0.72
648,648,648,1252,1296,648,"[0.65       0.68339768 0.64478764 0.68339768 0.61389961 0.63461538
 0.63706564 0.67953668 0.66023166 0.66409266 0.67692308 0.65637066
 0.63706564 0.62548263 0.61776062]","[[390, 286], [54, 622]]",10,"[0.68846154 0.66409266 0.62934363 0.66795367 0.62548263 0.67692308
 0.69498069 0.6023166  0.67567568 0.6023166  0.67692308 0.62162162
 0.65637066 0.65250965 0.66023166]","[[388, 238], [81, 545]]",0.77,0.69,0.87,626,0.74,0.71,0.82,0.62,626,0.76,0.75,0.78,0.68,0.92,676,1352,2648,1296,0.73,0.69,0.87,0.57,676,0.78,0.74
698,698,698,1152,1396,698,"[0.675      0.68458781 0.64516129 0.66308244 0.64157706 0.66428571
 0.66308244 0.69892473 0.59139785 0.65591398 0.64285714 0.65232975
 0.67741935 0.66666667 0.64157706]","[[378, 248], [48, 578]]",11,"[0.61785714 0.67741935 0.65232975 0.65591398 0.71684588 0.69285714
 0.63082437 0.67383513 0.6702509  0.64874552 0.63214286 0.68458781
 0.6702509  0.68458781 0.62365591]","[[376, 200], [73, 503]]",0.78,0.71,0.86,576,0.75,0.72,0.83,0.65,576,0.77,0.75,0.79,0.7,0.92,626,1252,2648,1396,0.76,0.72,0.89,0.6,626,0.79,0.76
748,748,748,1052,1496,748,"[0.68       0.66889632 0.66889632 0.67558528 0.65886288 0.67
 0.66889632 0.66889632 0.64214047 0.65217391 0.64       0.67558528
 0.67558528 0.69230769 0.68227425]","[[355, 221], [44, 532]]",12,"[0.67666667 0.64882943 0.64548495 0.65551839 0.67558528 0.62333333
 0.72575251 0.68227425 0.73244147 0.66555184 0.70666667 0.68561873
 0.70568562 0.63210702 0.65886288]","[[358, 168], [67, 459]]",0.79,0.72,0.87,526,0.77,0.74,0.84,0.66,526,0.78,0.77,0.8,0.7,0.93,576,1152,2648,1496,0.76,0.73,0.89,0.61,576,0.8,0.77
798,798,798,952,1596,798,"[0.690625   0.64576803 0.63322884 0.67711599 0.67711599 0.703125
 0.63636364 0.64263323 0.66144201 0.65517241 0.6875     0.67398119
 0.64263323 0.68025078 0.68965517]","[[311, 215], [20, 506]]",13,"[0.703125   0.65203762 0.67398119 0.65203762 0.68025078 0.68125
 0.70219436 0.65517241 0.64263323 0.68025078 0.6875     0.68338558
 0.64890282 0.69905956 0.72100313]","[[306, 170], [53, 423]]",0.79,0.72,0.89,476,0.77,0.74,0.85,0.65,476,0.79,0.77,0.81,0.71,0.96,526,1052,2648,1596,0.78,0.73,0.94,0.6,526,0.82,0.78
848,848,848,852,1696,848,"[0.65588235 0.6519174  0.66666667 0.62831858 0.71386431 0.67647059
 0.69911504 0.7020649  0.67256637 0.66371681 0.66176471 0.69911504
 0.7079646  0.69026549 0.66371681]","[[288, 188], [10, 466]]",14,"[0.68823529 0.73156342 0.67846608 0.71091445 0.66076696 0.68235294
 0.71976401 0.66371681 0.70501475 0.73156342 0.67352941 0.6460177
 0.69616519 0.69321534 0.69616519]","[[287, 139], [47, 379]]",0.8,0.73,0.9,426,0.78,0.75,0.87,0.67,426,0.8,0.78,0.83,0.72,0.98,476,952,2648,1696,0.79,0.75,0.97,0.61,476,0.84,0.8
898,898,898,752,1796,898,"[0.69166667 0.71866295 0.68523677 0.6908078  0.70473538 0.65
 0.67688022 0.69916435 0.71866295 0.68245125 0.70833333 0.71030641
 0.67688022 0.69916435 0.69637883]","[[261, 165], [6, 420]]",15,"[0.74444444 0.68523677 0.70752089 0.71587744 0.73816156 0.71944444
 0.7270195  0.6908078  0.69637883 0.73816156 0.70833333 0.71309192
 0.67409471 0.69916435 0.71030641]","[[259, 117], [39, 337]]",0.81,0.74,0.89,376,0.79,0.76,0.87,0.68,376,0.8,0.79,0.83,0.72,0.99,426,852,2648,1796,0.79,0.76,0.98,0.62,426,0.85,0.8
948,948,948,652,1896,948,"[0.73421053 0.67810026 0.69129288 0.72295515 0.72559367 0.66842105
 0.72031662 0.72559367 0.74670185 0.64643799 0.69736842 0.70976253
 0.73878628 0.67810026 0.71240106]","[[236, 140], [4, 372]]",16,"[0.73421053 0.70448549 0.72823219 0.73350923 0.74406332 0.71052632
 0.7176781  0.72295515 0.70712401 0.74670185 0.71578947 0.70976253
 0.71503958 0.73087071 0.70712401]","[[219, 107], [30, 296]]",0.81,0.74,0.91,326,0.79,0.76,0.88,0.67,326,0.81,0.79,0.84,0.73,0.99,376,752,2648,1896,0.8,0.77,0.98,0.63,376,0.85,0.81
998,998,998,552,1996,998,"[0.6475     0.70426065 0.69172932 0.74185464 0.65413534 0.7125
 0.69674185 0.74686717 0.7443609  0.72681704 0.68       0.69924812
 0.70426065 0.75438596 0.75438596]","[[216, 110], [4, 322]]",17,"[0.73       0.75438596 0.69924812 0.73934837 0.73433584 0.725
 0.71428571 0.74185464 0.7443609  0.73182957 0.735      0.72180451
 0.68170426 0.69423559 0.74937343]","[[190, 86], [16, 260]]",0.83,0.74,0.94,276,0.8,0.78,0.92,0.68,276,0.83,0.81,0.85,0.75,0.99,326,652,2648,1996,0.82,0.79,0.98,0.66,326,0.86,0.83
1048,1048,1048,452,2096,1048,"[0.70952381 0.68735084 0.73031026 0.72315036 0.71599045 0.72380952
 0.72076372 0.74463007 0.70644391 0.73031026 0.73095238 0.71837709
 0.72076372 0.71837709 0.69928401]","[[192, 84], [4, 272]]",18,"[0.73095238 0.74463007 0.74463007 0.74224344 0.7326969  0.72380952
 0.71360382 0.78042959 0.72792363 0.72792363 0.73809524 0.75417661
 0.77088305 0.75178998 0.76133652]","[[161, 65], [9, 217]]",0.84,0.75,0.95,226,0.82,0.79,0.93,0.69,226,0.84,0.82,0.86,0.76,0.99,276,552,2648,2096,0.84,0.81,0.98,0.7,276,0.87,0.84
1098,1098,1098,352,2196,1098,"[0.73863636 0.72892938 0.74259681 0.76537585 0.76309795 0.71818182
 0.74943052 0.73120729 0.78359909 0.738041   0.70681818 0.72665148
 0.71753986 0.70615034 0.73348519]","[[163, 63], [4, 222]]",19,"[0.76590909 0.76082005 0.73348519 0.72437358 0.75626424 0.75
 0.75170843 0.738041   0.72665148 0.75170843 0.725      0.74943052
 0.77904328 0.76082005 0.74259681]","[[113, 63], [5, 171]]",0.86,0.77,0.96,176,0.83,0.81,0.95,0.71,176,0.86,0.84,0.87,0.78,0.98,226,452,2648,2196,0.85,0.83,0.98,0.72,226,0.88,0.85
