#Ind,#LM Ind,#LM Rela,#LM Testing,#LM Training,#Rela,CV,ConfusionM,Iteration,LM CV,LM ConfusionM,LM RelaF1,LM RelaPre,LM RelaRcl,LM RelaSup,LM f1,LM indF1,LM indPre,LM indRcl,LM indSup,LM prec,LM rcl,RelaF1,RelaPre,RelaRcl,RelaSup,Testing,Total data,Training,f1,indF1,indPrec,indRcl,indSup,prec,rcl
198,198,198,2252,396,198,"[0.6        0.59493671 0.59493671 0.63291139 0.59493671 0.675
 0.59493671 0.49367089 0.59493671 0.63291139 0.6625     0.55696203
 0.53164557 0.56962025 0.59493671]","[[639, 487], [302, 824]]",1,"[0.6125     0.60759494 0.60759494 0.59493671 0.64556962 0.675
 0.55696203 0.48101266 0.60759494 0.5443038  0.5875     0.63291139
 0.58227848 0.56962025 0.60759494]","[[639, 487], [302, 824]]",0.68,0.63,0.73,1126,0.65,0.62,0.68,0.57,1126,0.65,0.65,0.68,0.63,0.73,1126,2252,2648,396,0.65,0.62,0.68,0.57,1126,0.65,0.65
248,248,248,2052,496,248,"[0.66       0.5959596  0.53535354 0.62626263 0.58585859 0.6
 0.5959596  0.74747475 0.60606061 0.5959596  0.57       0.5959596
 0.64646465 0.62626263 0.73737374]","[[639, 437], [250, 826]]",2,"[0.68       0.58585859 0.60606061 0.63636364 0.72727273 0.66
 0.70707071 0.63636364 0.65656566 0.63636364 0.59       0.65656566
 0.66666667 0.62626263 0.73737374]","[[615, 411], [250, 776]]",0.7,0.65,0.76,1026,0.68,0.65,0.71,0.6,1026,0.68,0.68,0.71,0.65,0.77,1076,2152,2648,496,0.68,0.65,0.72,0.59,1076,0.69,0.68
298,298,298,1952,596,298,"[0.65833333 0.64705882 0.59663866 0.57983193 0.62184874 0.6
 0.60504202 0.52941176 0.66386555 0.66386555 0.69166667 0.64705882
 0.6302521  0.65546218 0.60504202]","[[625, 401], [247, 779]]",3,"[0.68333333 0.60504202 0.71428571 0.60504202 0.65546218 0.68333333
 0.66386555 0.68067227 0.71428571 0.65546218 0.65833333 0.6302521
 0.71428571 0.62184874 0.68907563]","[[608, 368], [241, 735]]",0.71,0.67,0.75,976,0.69,0.67,0.72,0.62,976,0.69,0.69,0.71,0.66,0.76,1026,2052,2648,596,0.68,0.66,0.72,0.61,1026,0.69,0.68
348,348,348,1852,696,348,"[0.67142857 0.63309353 0.68345324 0.68345324 0.63309353 0.68571429
 0.64748201 0.63309353 0.63309353 0.6618705  0.67142857 0.62589928
 0.53956835 0.69064748 0.64028777]","[[599, 377], [230, 746]]",4,"[0.67857143 0.68345324 0.62589928 0.68345324 0.69784173 0.68571429
 0.66906475 0.64748201 0.67625899 0.61151079 0.73571429 0.61870504
 0.69784173 0.66906475 0.62589928]","[[591, 335], [193, 733]]",0.74,0.69,0.79,926,0.71,0.69,0.75,0.64,926,0.72,0.71,0.71,0.66,0.76,976,1952,2648,696,0.69,0.66,0.72,0.61,976,0.69,0.69
398,398,398,1752,796,398,"[0.63125    0.62893082 0.59748428 0.67295597 0.71069182 0.64375
 0.62893082 0.66037736 0.64150943 0.71698113 0.64375    0.71698113
 0.66037736 0.66666667 0.62264151]","[[605, 321], [203, 723]]",5,"[0.6625     0.72327044 0.65408805 0.62264151 0.66037736 0.75
 0.64779874 0.74842767 0.62264151 0.71698113 0.675      0.65408805
 0.77987421 0.67924528 0.71698113]","[[570, 306], [167, 709]]",0.75,0.7,0.81,876,0.73,0.71,0.77,0.65,876,0.74,0.73,0.73,0.69,0.78,926,1852,2648,796,0.72,0.7,0.75,0.65,926,0.72,0.72
448,448,448,1652,896,448,"[0.63888889 0.62011173 0.6424581  0.66480447 0.6424581  0.64444444
 0.66480447 0.72625698 0.64804469 0.68156425 0.60555556 0.6424581
 0.67039106 0.69273743 0.66480447]","[[582, 294], [177, 699]]",6,"[0.63333333 0.66480447 0.70391061 0.66480447 0.70391061 0.67777778
 0.65363128 0.68715084 0.74301676 0.72067039 0.71111111 0.68715084
 0.72067039 0.68715084 0.73184358]","[[545, 281], [140, 686]]",0.77,0.71,0.83,826,0.74,0.72,0.8,0.66,826,0.75,0.75,0.75,0.7,0.8,876,1752,2648,896,0.73,0.71,0.77,0.66,876,0.74,0.73
498,498,498,1552,996,498,"[0.675      0.63819095 0.64321608 0.65326633 0.67336683 0.675
 0.65829146 0.66331658 0.66331658 0.7638191  0.655      0.65829146
 0.64824121 0.65829146 0.69849246]","[[552, 274], [146, 680]]",7,"[0.735      0.73366834 0.68844221 0.73366834 0.70854271 0.755
 0.71859296 0.70351759 0.69849246 0.64824121 0.68       0.68341709
 0.70854271 0.69849246 0.71859296]","[[514, 262], [133, 643]]",0.77,0.71,0.83,776,0.74,0.72,0.79,0.66,776,0.75,0.75,0.76,0.71,0.82,826,1652,2648,996,0.74,0.72,0.79,0.67,826,0.75,0.75
548,548,548,1452,1096,548,"[0.64090909 0.6347032  0.65753425 0.76712329 0.70776256 0.65454545
 0.63926941 0.66666667 0.69863014 0.6803653  0.68181818 0.64840183
 0.67123288 0.63013699 0.65753425]","[[530, 246], [129, 647]]",8,"[0.72272727 0.74885845 0.76712329 0.68949772 0.69863014 0.71818182
 0.75799087 0.73059361 0.68949772 0.68493151 0.74090909 0.73059361
 0.74429224 0.65753425 0.73515982]","[[485, 241], [119, 607]]",0.77,0.72,0.84,726,0.75,0.73,0.8,0.67,726,0.76,0.75,0.78,0.72,0.83,776,1552,2648,1096,0.76,0.74,0.8,0.68,776,0.76,0.76
598,598,598,1352,1196,598,"[0.6625     0.69874477 0.65271967 0.64435146 0.67782427 0.75
 0.69037657 0.69874477 0.70292887 0.63179916 0.6625     0.69874477
 0.72803347 0.66527197 0.64853556]","[[509, 217], [89, 637]]",9,"[0.70833333 0.71966527 0.73640167 0.76569038 0.74058577 0.72916667
 0.77824268 0.71548117 0.73640167 0.71548117 0.70416667 0.74476987
 0.78661088 0.68619247 0.75313808]","[[452, 224], [102, 574]]",0.78,0.72,0.85,676,0.76,0.73,0.82,0.67,676,0.77,0.76,0.81,0.75,0.88,726,1452,2648,1196,0.79,0.77,0.85,0.7,726,0.8,0.79
648,648,648,1252,1296,648,"[0.65769231 0.66409266 0.69498069 0.68725869 0.7027027  0.68076923
 0.64092664 0.72586873 0.72972973 0.65637066 0.74230769 0.6988417
 0.74131274 0.65637066 0.65637066]","[[489, 187], [83, 593]]",10,"[0.75384615 0.71042471 0.73359073 0.71428571 0.73359073 0.74230769
 0.74903475 0.72586873 0.69111969 0.76833977 0.74230769 0.69111969
 0.76833977 0.74903475 0.68725869]","[[427, 199], [87, 539]]",0.79,0.73,0.86,626,0.77,0.75,0.83,0.68,626,0.78,0.77,0.81,0.76,0.88,676,1352,2648,1296,0.8,0.78,0.85,0.72,676,0.81,0.8
