#Dupl,#Ind,#LM Dupl,#LM Ind,#LM Rela,#LM Testing,#LM Training,#Rela,CV,ConfusionM,DuplF1,DuplPrec,DuplRcl,DuplSup,Iteration,LM CV,LM ConfusionM,LM DuplF1,LM DuplPrec,LM DuplRcl,LM DuplSup,LM RelaF1,LM RelaPre,LM RelaRcl,LM RelaSup,LM f1,LM indF1,LM indPre,LM indRcl,LM indSup,LM prec,LM rcl,RelaF1,RelaPre,RelaRcl,RelaSup,Testing,Total data,Training,f1,indF1,indPrec,indRcl,indSup,prec,rcl
346,346,346,346,346,6880,1038,346,"[0.49519231 0.50480769 0.55769231 0.52173913 0.52173913 0.52884615
 0.49038462 0.53365385 0.52657005 0.56521739 0.54807692 0.52403846
 0.49038462 0.56521739 0.56038647]","[[974, 489, 501], [449, 1627, 382], [703, 608, 1147]]",0.51,0.56,0.47,2458,1,"[0.47596154 0.61538462 0.55288462 0.48792271 0.5942029  0.53846154
 0.60576923 0.51442308 0.46859903 0.53623188 0.51923077 0.51923077
 0.55769231 0.56038647 0.56521739]","[[974, 489, 501], [448, 1627, 383], [703, 608, 1147]]",0.51,0.56,0.47,2458,0.63,0.6,0.66,2458,0.54,0.48,0.46,0.5,1964,0.54,0.54,0.63,0.6,0.66,2458,6880,7918,1038,0.54,0.48,0.46,0.5,1964,0.54,0.54
446,446,446,446,446,6280,1338,446,"[0.58208955 0.63432836 0.62686567 0.61423221 0.6329588  0.59701493
 0.65671642 0.59328358 0.5917603  0.62546816 0.59328358 0.67537313
 0.54477612 0.6329588  0.62546816]","[[942, 503, 419], [300, 1837, 221], [649, 633, 1076]]",0.53,0.63,0.46,2358,2,"[0.62313433 0.55597015 0.55223881 0.58426966 0.61048689 0.57462687
 0.60447761 0.53731343 0.55430712 0.55430712 0.5858209  0.51492537
 0.5261194  0.56928839 0.58801498]","[[963, 358, 443], [388, 1569, 301], [642, 455, 1161]]",0.56,0.61,0.51,2258,0.68,0.66,0.69,2258,0.58,0.51,0.48,0.55,1764,0.58,0.58,0.69,0.62,0.78,2358,6580,7918,1338,0.57,0.5,0.5,0.51,1864,0.58,0.58
546,546,546,546,546,5980,1638,546,"[0.6554878  0.64634146 0.67682927 0.65749235 0.64831804 0.67073171
 0.60365854 0.7195122  0.65749235 0.65443425 0.62804878 0.66158537
 0.64329268 0.62691131 0.63302752]","[[870, 506, 388], [211, 1899, 148], [608, 621, 1029]]",0.54,0.66,0.46,2258,3,"[0.61280488 0.56097561 0.57926829 0.58103976 0.57186544 0.56097561
 0.60670732 0.65243902 0.57186544 0.63608563 0.59756098 0.60060976
 0.56097561 0.62385321 0.58103976]","[[979, 306, 379], [338, 1555, 265], [566, 417, 1175]]",0.59,0.65,0.54,2158,0.7,0.68,0.72,2158,0.61,0.55,0.52,0.59,1664,0.62,0.62,0.72,0.63,0.84,2258,6280,7918,1638,0.59,0.5,0.52,0.49,1764,0.6,0.6
646,646,646,646,646,5680,1938,646,"[0.71649485 0.68298969 0.71391753 0.7002584  0.71317829 0.66752577
 0.70103093 0.65721649 0.65374677 0.71576227 0.70876289 0.68041237
 0.71391753 0.7002584  0.70542636]","[[808, 522, 334], [156, 1889, 113], [507, 600, 1051]]",0.57,0.7,0.49,2158,4,"[0.60309278 0.58762887 0.62113402 0.63049096 0.58656331 0.62628866
 0.64175258 0.61082474 0.58397933 0.60206718 0.58247423 0.60051546
 0.6314433  0.57622739 0.63049096]","[[956, 287, 321], [305, 1538, 215], [524, 349, 1185]]",0.63,0.69,0.58,2058,0.73,0.71,0.75,2058,0.64,0.57,0.54,0.61,1564,0.64,0.64,0.73,0.63,0.88,2158,5980,7918,1938,0.61,0.52,0.55,0.49,1664,0.63,0.62
746,746,746,746,746,5380,2238,746,"[0.74330357 0.71651786 0.68973214 0.7114094  0.70469799 0.71205357
 0.72098214 0.74553571 0.7360179  0.70022371 0.71428571 0.72767857
 0.70758929 0.70917226 0.73378076]","[[786, 484, 294], [106, 1884, 68], [463, 562, 1033]]",0.6,0.74,0.5,2058,5,"[0.64508929 0.63616071 0.62946429 0.60402685 0.60626398 0.60714286
 0.609375   0.66071429 0.57270694 0.65100671 0.59821429 0.61607143
 0.63169643 0.61297539 0.62639821]","[[960, 228, 276], [275, 1513, 170], [477, 309, 1172]]",0.66,0.72,0.6,1958,0.75,0.74,0.77,1958,0.67,0.6,0.56,0.66,1464,0.67,0.68,0.76,0.64,0.92,2058,5680,7918,2238,0.63,0.54,0.58,0.5,1564,0.65,0.64
846,846,846,846,846,5080,2538,846,"[0.76968504 0.76574803 0.73031496 0.72781065 0.73767258 0.73622047
 0.73031496 0.75       0.72781065 0.72189349 0.73622047 0.7519685
 0.69094488 0.73964497 0.68639053]","[[743, 466, 255], [88, 1837, 33], [441, 525, 992]]",0.61,0.78,0.51,1958,6,"[0.67913386 0.64173228 0.66732283 0.65877712 0.66666667 0.63779528
 0.67125984 0.67125984 0.66272189 0.65877712 0.68700787 0.62992126
 0.6496063  0.65483235 0.64891519]","[[910, 217, 237], [234, 1475, 149], [462, 265, 1131]]",0.67,0.75,0.61,1858,0.77,0.75,0.79,1858,0.69,0.61,0.57,0.67,1364,0.69,0.69,0.77,0.65,0.94,1958,5380,7918,2538,0.64,0.54,0.58,0.51,1464,0.67,0.65
946,946,946,946,946,4780,2838,946,"[0.72711268 0.74119718 0.7165493  0.75837743 0.75308642 0.7165493
 0.76408451 0.75528169 0.74779541 0.72663139 0.75176056 0.73767606
 0.73239437 0.70899471 0.77954145]","[[723, 423, 218], [57, 1781, 20], [417, 498, 943]]",0.62,0.8,0.51,1858,7,"[0.67957746 0.6778169  0.67429577 0.66843034 0.63844797 0.66373239
 0.6778169  0.67077465 0.67548501 0.67372134 0.65492958 0.66197183
 0.64260563 0.670194   0.68783069]","[[890, 163, 211], [205, 1430, 123], [396, 233, 1129]]",0.7,0.77,0.64,1758,0.8,0.78,0.81,1758,0.72,0.65,0.6,0.7,1264,0.72,0.72,0.78,0.66,0.96,1858,5080,7918,2838,0.66,0.56,0.6,0.53,1364,0.69,0.67
1046,1046,1046,1046,1046,4480,3138,1046,"[0.77707006 0.80254777 0.77388535 0.738437   0.74641148 0.75318471
 0.78184713 0.73089172 0.77352472 0.77830941 0.75955414 0.75796178
 0.77229299 0.77511962 0.77671451]","[[686, 380, 198], [37, 1707, 14], [361, 476, 921]]",0.64,0.81,0.52,1758,8,"[0.71815287 0.71656051 0.71974522 0.68102073 0.68261563 0.7022293
 0.66878981 0.69585987 0.67464115 0.70813397 0.67993631 0.68789809
 0.7022293  0.6539075  0.66188198]","[[835, 144, 185], [182, 1373, 103], [376, 193, 1089]]",0.72,0.79,0.66,1658,0.82,0.8,0.83,1658,0.73,0.65,0.6,0.72,1164,0.73,0.73,0.79,0.67,0.97,1758,4780,7918,3138,0.67,0.58,0.63,0.54,1264,0.7,0.68
1146,1146,1146,1146,1146,4180,3438,1146,"[0.80523256 0.7369186  0.74854651 0.75545852 0.75691412 0.77034884
 0.76162791 0.74563953 0.75982533 0.79767103 0.79069767 0.76889535
 0.77906977 0.73944687 0.76710335]","[[659, 324, 181], [19, 1632, 7], [325, 442, 891]]",0.65,0.83,0.54,1658,9,"[0.70930233 0.73401163 0.69767442 0.68850073 0.73362445 0.70494186
 0.71511628 0.67877907 0.67394469 0.67540029 0.71802326 0.71947674
 0.69767442 0.69868996 0.70451237]","[[792, 125, 147], [168, 1307, 83], [314, 179, 1065]]",0.75,0.82,0.68,1558,0.82,0.81,0.84,1558,0.75,0.68,0.62,0.74,1064,0.75,0.76,0.8,0.68,0.98,1658,4480,7918,3438,0.69,0.61,0.66,0.57,1164,0.72,0.7
1246,1246,1246,1246,1246,3880,3738,1246,"[0.77540107 0.79144385 0.79946524 0.78447122 0.80589023 0.79679144
 0.80213904 0.7459893  0.78313253 0.78179384 0.79278075 0.77139037
 0.76336898 0.78179384 0.76572959]","[[603, 305, 156], [11, 1543, 4], [301, 400, 857]]",0.67,0.84,0.55,1558,10,"[0.73128342 0.72192513 0.72459893 0.71084337 0.70147256 0.72326203
 0.71657754 0.71524064 0.67603748 0.72690763 0.74064171 0.69518717
 0.72192513 0.70013387 0.75502008]","[[749, 98, 117], [141, 1242, 75], [297, 170, 991]]",0.75,0.84,0.68,1458,0.84,0.82,0.85,1458,0.76,0.7,0.63,0.78,964,0.76,0.77,0.81,0.69,0.99,1558,4180,7918,3738,0.7,0.61,0.66,0.57,1064,0.73,0.7
