,Unnamed: 0,Label,Unnamed: 0.1,cosine,req1,req1Id,req1Priority,req1Product,req1Release,req1Severity,req1Type,req1Ver,req2,req2Id,req2Priority,req2Product,req2Release,req2Severity,req2Type,req2Ver
3309,10705,0,,0.0,feature request implement add bookmark here option in firefox quantum,1437287,P5,Firefox,---,normal,enhancement,58 Branch,only upper half of button can be clicked in onboarding tour,1373612,P1,Firefox,---,normal,enhancement,unspecified
1022,2427,1,2427.0,0.4082482904638631,cross platform funnel experimentation,1571782,--,Firefox,---,normal,enhancement,unspecified,experimentation early desktop onboarding funnel design,1571777,--,Firefox,---,normal,enhancement,unspecified
391,2637,1,2637.0,0.3380617018914066,implement preference experiment action a internal action,1440779,P3,Firefox,Firefox 66,normal,enhancement,Trunk,add support for local action and implement console log a local action,1440777,P1,Firefox,Firefox 61,normal,enhancement,Trunk
351,,0,,,add infrastructure to move activity stream into it own content process,1469072,,Firefox,,,,,decide on what process unprivileged paymentrequest ui should live in,1460425,,Firefox,,,,
2303,6626,0,,0.0,convert content/browser/usercontext svg to use context paint and avoid filtering to improve performance,1368411,--,Firefox,Firefox 55,normal,enhancement,unspecified,set nodefaultsrc on initial browser,1397365,P3,Firefox,---,normal,enhancement,unspecified
1498,,0,,,rename hasfxaccount to usesfirefoxsync in a targeting,1484698,,Firefox,,,,,add snippet targeting pocket tagging and bug fix to activity stream,1489962,,Firefox,,,,
2714,1795,1,1795.0,0.2519763153394848,add snippet targeting pocket tagging and bug fix to activity stream,1489962,P1,Firefox,Firefox 64,normal,enhancement,unspecified,add geo locale fx version to asr targeting,1484207,P2,Firefox,Firefox 64,normal,enhancement,unspecified
4066,63,0,,0.0,improve accessibility of autofocused email,1550642,P1,Firefox,Firefox 68,normal,enhancement,unspecified,reduce useless about blank document creation,1493606,P3,Firefox,---,normal,enhancement,Trunk
2101,13,1,13.0,0.17677669529663687,can overwrite default/shipped search plugins/engines,353056,P5,Firefox,---,normal,enhancement,Trunk,make it possible to rename search engine support search plugin renaming,335102,P5,Firefox,---,normal,enhancement,Trunk
657,696,0,,0.0,extend new tab loading behaviour to load tab when idle,761549,--,Firefox,---,normal,enhancement,13 Branch,ship rust bookmark merger on desktop,1482608,P1,Firefox,Firefox 68,normal,enhancement,unspecified
