Unnamed: 0,id1,req1,id2,req2,Type of dependency,Label
4357,1848,tickets get too long and everything of interes,589,issue notes are sorted by date ascending which,relates,1
1168,14073,hello \r\n\r\nwe have projects in our red,20364,found out can enable/disable modules for,relates,1
4955,1675,as described in this forum post,685,hi \r\ni think it would be great to have cus,relates,1
2765,24611,am having hell of time installing plug,6321,the installation and usage of plugins is curre,relates,1
45905,32856,propose feature to visualize the results,4804,right now any document you create includes the,independent,0
1098,26423,current character encoding auto detection cant,974,it would be nice to be able to have footnotes,independent,0
79,31989,the attached patch adds support for inline iss,31908,in our installation we have more than pro,relates,1
14398,5736,consider the following links \r\n\r\n,23925,m building an application in java using mysq,independent,0
28254,24586,hey guys \r\nhow are you backup your data \r\n,2060,it would be nice to have the ability for confi,independent,0
2588,19508,lot of plugins was registered long time ago,13141,like reported on we would like to have,independent,0
36757,406,pdf export for roadmap and change log,479,would it be possible to have the add file fu,independent,0
2312,7896,submit issue on behalf of other user \r\n\r\ni,1739,sometimes submit an issue but down the roa,relates,1
4477,1565,should be nice to add on my page folder save,27313,according to note created issue lets,relates,1
21651,33868,preventing the ability to add notes to closed,9059,once custom field is created by an administr,independent,0
34929,17666,this functionality should provide the manager,24167,after updating to redmine we began to enco,independent,0
28660,17743,would like to keep an old project around as,5328,when you create repository for your project,independent,0
11589,29183,think it would be better to show latest new,10823,it would be nice if you could see what the dev,independent,0
2772,4786,on of my colleagues has started using the gant,6276,ve rewritten most of the gantt chart in redm,relates,1
18825,13058,at the moment roadmap all versions without dat,6983,would be nice to focus search on selected thre,independent,0
531,23309,members redmine in my corporation reported me,1365,presently the default tracker value is deter,relates,1
2263,9736,was creating some custom trackers with each,8050,the problem with bigger workflow is that som,relates,1
4149,4156,like few others we are trying to use redmin,2421,when redmine is installed and used with just,relates,1
4147,12647,redmine has very form based flat view on,2448,found the output of this admittedly very ha,relates,1
1404,13548,the road map shows all attributes as well as,12789,hi there \r\n\r\ni trying to give some ideas,relates,1
34753,8527,m using redmine at my company together with,17894,currently collapsed text always stays closed,independent,0
643,21662,my team used redmine over one year，now there,22275,when submit new issue we have lots of optio,relates,1
1490,12540,we are using redmine and we made several custo,12250,think nice feature is add the possibility,relates,1
4125,2529,when view issues for parent project am,6222,would like to see summary that shows totals,relates,1
3236,4939,hello\r\n\r\nup to now in the list of task you,10999,have not found any workaround on that by now,relates,1
3393,4462,it would be wonderful to be able to set an emi,7349,it should be possible to configure email notif,relates,1
1652,11390,for an issue there can many phases \r\n\r\,13105,it would be very useful for us to be able to,relates,1
1859,10021,would like an enhanced custom large text fie,3543,it would be helpful if long text custom fiel,relates,1
3873,3151,it would be useful to be able to edit descript,8879,it would be very useful the possibility of up,relates,1
34584,18751,can connect the calendar with ms exchange,9196,the patch adds logging to mailhandler create,independent,0
17376,1155,ve many customers and like to group the pr,11150,think the list is not ordered by project nam,independent,0
38504,6535,include in the issue task field other com,14949,issues per page is too less would like,independent,0
43479,8567,what do you think about that these are my poi,22310,currently only these variables are supported/d,independent,0
22165,26823,hi all \r\n\r\nhow to use post in json format,31531,you can quote note by clicking the comment,independent,0
2204,10269,one of my pet peeves with trackers is that alt,22008,hi need to check the commit details for spec,independent,0
