Unnamed: 0,Unnamed: 0.1,id1,req1,id2,req2,Type of dependency,Label
1606,1606,15091,for now under the page tree we have only opt,14442,this is lacking feature that me and probably,relates,1
856,856,37800,would like to see hook added for checking,64298,more hooks are always useful \r\ni miss one,relates,1
3067,3067,9520,this code should be added at the end of the fi,33900,since jochen rau merged the backport of the fl,independent,0
2142,2142,36125,the plugin will display message in frontend,3205,class tx minicrm div php line \r\n\r\n con,independent,0
393,393,66343,at the we get the feedback that hotke,5390,it would be really nice to have keyboard co,relates,1
1803,1803,1835,imagine the following structure of deleted pag,1834,imagine record is still available in the dat,relates,1
3822,3822,60522,if add custom records to the page module wit,35781,currently only action method arguments and,independent,0
6544,6544,10288,module move action icons to right place in ro,48128,it would be nice if it was possible to set t,independent,0
1400,1400,18525,the following conditions have to be met \r\n\r,18521,using class or style attribute instead of,relates,1
770,770,43247,hi folks \r\nright at this point am thinking,43569,the debugexceptionhandler and productionexcept,relates,1
901,901,36015,see,36006,extension tt address has configuration varia,relates,1
3380,3380,75412,the eponymous files in the root directory of,55638,it would be nice if the form extension also us,independent,0
7538,7538,5141,in the new report module is available it,81528,extensions org,independent,0
1499,1499,43575,the session is currently destroyed through s,23920,one part of the current typoscript tuning proc,independent,0
14,14,28601,it is already possible to do multiple stdwrap,18780,propose to exchange the table rendering by,independent,0
3608,3608,89382,regarding storing domain objects with differe,4166,in situations where knowingly incomplete /,independent,0
392,392,22427,extjize browser identification \n\n\n\n\n issu,15747,if one deletes ce images also remove the,independent,0
661,661,19618,integrate possibility to enforce the usage,49399,it should be possible to show openid provider,relates,1
1447,1447,17678,to move ui elements around in the be ui it is,17795,need to add the workspace selector to the clea,relates,1
1640,1640,15091,for now under the page tree we have only opt,14442,this is lacking feature that me and probably,relates,1
9510,9510,15504,can set database connection port in the co,4275,it seems very unwise to edit or delete task,independent,0
429,429,71868,faced this problem lately when updated the,64513,currently the installtool has this nice check,relates,1
8602,8602,15420,the old bug it is not possible to change the,33773,nested event listeners might fire unneeded amo,independent,0
4844,4844,92224,use aus driver amazon to add media from,90336,if type www test com into the editor li,independent,0
1664,1664,12958,hi\r\n\r\nsince suppose form will be inclu,13229,problem \r\ncurrently the standard css styled,relates,1
5219,5219,14552,while entering german context sensitive help,67365,d like to rename fields like sys file metada,independent,0
7886,7886,79846,will there be an update to support lts,33150,let users define hostname to react on,independent,0
295,295,62210,in the install process of cms website,72744,all images are shown in full size after an upg,relates,1
5117,5117,54877,controls for selecting de selecting images sho,14362,ve converted to utf and searching of words,independent,0
801,801,40110,pre code class= xml config \r\n type inp,40111,to handle the parameter strings which are gene,relates,1
9141,9141,53756,if there are two forms the sys template integ,8464,it should be possible to write settings using,independent,0
7028,7028,66183,t,4942,currently it hard to see wich subnodes cause,independent,0
12,12,65005,make script return non exit code on error \r,85254,use case \r\nin form which creates datab,independent,0
891,891,39430,update the caching framework to version,36564,the tagging features of the file backend are,relates,1
7857,7857,18518,hi stan \r\n\r\nthe css parser has nasty lit,8986,enable access control via frontend groups \r\n,independent,0
1674,1674,11740,hello \r\n\r\nsometimes it is necessary to use,34944,this threat is associated to the ticket \r\n\r,relates,1
1464,1464,17694,similiar to the page type selector it is hard,17676,jens made nice screen where he grouped the,relates,1
481,481,60907,the list module has great mass edit function,58628,image you drag drop many files in the fileli,relates,1
7040,7040,69388,as of cms dev the http,28180,allow additional marker hook for tt news to be,independent,0
6856,6856,66355,hi marc \r\n\r\nthe responsice map works fine,65807,chose extensions which can be edited by certai,independent,0
887,887,36695,as developer want to be able to validate,32832,sometimes validation should only be executed,relates,1
9832,9832,17536,the ts multiline parenthesis syntax do,16460,introducing new constant g styles content,independent,0
556,556,55831,what d really love is something like this to,56744,currently the flow developer has to set sess,relates,1
578,578,53837,in pbsurvey issue new question type,53835,new question type needs to be added called,relates,1
7718,7718,23589,using below configuration in tca \r\n\r\nthe,23915,every now and then have to do changes on mor,independent,0
1599,1599,40729,the different modes for displaying constants,14047,hi there \r\n\r\nit would be great if can,independent,0
3785,3785,51140,it would be nice to use existing tags and cate,88648,it should be possible to set the type of twitt,independent,0
327,327,83824,it would be nice that for irre records with,70200,the inline foreign selector should support sug,relates,1
1704,1704,6724,hi \r\n\r\n first sorry for my bad english,7721,existing resource management subsystem needs,relates,1
5373,5373,1614,display link to print this code \r\n\r\nas,49052,once again spend some idle minutes finding,independent,0
563,563,54651,currently backend can only provide get for,54652,backends would be queried in order for exampl,relates,1
1358,1358,19185,the current marker templating system collected,19189,write tutorial about how to use the new temp,relates,1
