,id1,Description1,id2,Description2,Type of dependency
0,1497,"   Add ability to add ""Target Version"" as a filte...",278,"   Hi,\r\n\r\nCan you add the option to add a wik...",independent
1,24188,  Can I display the responsible name on gantt?\r...,3796,"   Dear All,\r\n\r\nUsers can create new issues d...",independent
2,10523,"   Hey guys,\r\n\r\nI really need an additional f...",317,   I created an issue with lots of newlines. I sa...,independent
3,12888,   Since we've started using Redmine 2.2.x we've ...,32695,  The subject says it all... Please add the 4.1-...,independent
4,12559,   I have a project set up in redmine. I want to ...,4013,"   Hello, \r\nI usually use sub-projects. \r\nWhe...",independent
5,6039,"   The ""Files"" tab includes a ""D/L"" column (which...",4763,   I'd like to request a viability analisys about...,independent
6,5259,   Hi everyone!\r\nI need some help with a new cu...,6252,"   For multi-level projects, when filtering by ""a...",independent
7,2543,   Redmine has this hook when displaying a versio...,31612,  It should be possible to display project custo...,independent
8,6937,   Similar to when shutting down a windows server...,4269,   I use the following command for automatic SVN ...,independent
9,10307,   I often have the problem that I track bugs in ...,5046,   Is there anyways i can have the values of the ...,independent
10,14804,   \r\n\r\ni have been creating RFP plugin in red...,14435,   It would be nice if you could edit some fields...,independent
11,20260,"   please help the tab ""new project"" under Projec...",8774,   The only way to have this symbol is to copy it...,independent
12,345,"   I'd really like to be able to close a project,...",3230,   edavis10: can you include your git repo syncro...,independent
13,468,   Currently custom fields are limited to input b...,14389,   In order to lessen the amount of email notific...,independent
14,32998,  The attached patch changes the default Gravata...,17465,   I a role with sufficient rights (e.g. Manager)...,independent
15,7318,   Mod_security protects against problematic appl...,6227,   We were looking for a way to send reminders th...,independent
16,10236,"   Dear Experts,\r\n\r\nPlease let me know how to...",3343,   The project non-member shouldn't see any other...,independent
17,462,"   Hi,\r\n\r\nIt would be nice to have the fixed ...",16552,   I have installed the CKEditor plugins. generat...,independent
18,24038,  Redmine introduced support for Markdown a whil...,5959,"   When I change process to x%, \r\nif x>0 and x ...",independent
19,4330,   It would be nice to implement OpenSearch stand...,10842,"   If I have a LDAP user, and a  want to delete i...",independent
20,5165,"   is it possible to have a special keyword, to b...",22993,   Greetings. Setting mail notification about the...,independent
21,23423,   Working with lots of projects which uses many ...,841,   Could it be possible to have this option when ...,independent
22,19934,   Please kindly provide feature to hide log time...,28100,"  At the moment, it's only possible to get files...",independent
23,23314,   There are too many activites displayed in main...,4222,   Hi there.\r\n\r\nWe have a redmine as our main...,independent
24,8663,   We need to know whether we can control the Doc...,29595,"  Hi All,\r\n we started using Redmine in our co...",independent
25,591,   Idea for a user interface improvement:\r\n\r\n...,438,   Be able to use the new fields such as time est...,independent
26,1309,   a plugin to edit svnauthz information would be...,7275,   limpeza e manutenção,independent
27,439,   Please add a sortable due date column in the i...,498,"   Restricting file size is good, but projects so...",independent
28,6478,   When you take a look to the list of issues and...,1032,   Add different css class (div?) for user commen...,independent
29,274,   I would like to see the ability to add time tr...,25719,  Redmine has Inherit permissions from parent pr...,independent
30,25517,  We use the Bestest Punch Clock for Redmine plu...,9374,   For example if I want to reply privately at 1 ...,independent
31,26295,"  I'm looking for a way to set a ""custom field"" ...",9754,   It would be very useful to be able customize v...,independent
32,25509,  In redmine view all Issues page add filter gro...,10459,   Sorry I have posted this in the forum and real...,independent
33,24504,"  Dear all,\r\n\r\nCan we create a private chann...",405,"   I have many projects in RedMine, and keeping a...",independent
34,17153,"   Hy,\r\n\r\nWorking with svn advanced integrati...",1778,   I've added some version into my project and it...,independent
35,23668,"   I am using Redmine 3.3.0.stable, and I would l...",10635,"   If you try to enter times like ""123 Min"" in th...",independent
36,8043,"   When creating counts, enable drop down menus f...",8156,   Correo saliente de alpina.com y alpina.com.co ...,independent
37,24842,"  On the Admin Dashboard, develop a tool that wi...",2020,   Suggestion: \r\n\r\na) allow the blocking of a...,independent
38,20187,   For serial migration from another PM system (o...,1778,   I've added some version into my project and it...,independent
39,24788,  We use emails to create tickets automatically ...,7950,   In the overview page for a given project it wo...,independent
40,12658,   Remdmine is missing the feature for assignin t...,7318,   Mod_security protects against problematic appl...,independent
41,10000,   The group by criterias in the time entries rep...,16863,   I integrate redmine with my applications 'auto...,independent
42,12318,   It's now long time gone since last 1.4.4 relea...,33869, ITNOA\r\n\r\nFor major projects and organizati...,independent
43,4507,"   Hello Redmine developers\r\n\r\n\r\nIn ""Regist...",1873,   Link to atom feed is in HTML source (link tag)...,independent
44,12822,"   By using ""Capybara"":http://jnicklas.github.com...",2515,   It should be useful to have the ability to cus...,independent
45,5596,   Mexico Networks is teling us now that Login wo...,400,   We would like to request the ability to embed ...,independent
46,2594,"   On the /issues page, there's no way to sort by...",18163,   If an image is added to an issue without any c...,independent
47,721,   It would be great if it was easy to customize ...,8702,   This will require building a map between\r\n\r...,independent
48,6165,   The ability to edit/fix existing text fields (...,6769,"   We  just upgraded to the latest redmine,  we n...",independent
49,30981,  When we add new members to a project through t...,32317,"  From the Issue Filter, the ""Issue"" actually sh...",independent
50,9812,   We would like to offer redmine integration via...,25359,"  When someone creates a ticket, based on the de...",independent
51,4269,   I use the following command for automatic SVN ...,9698,   В целях корректного отражения в ЦФТ залогового...,independent
52,28950,  Hi \r\n\r\n1.I had already install redmine 3.4...,12368,   \r\nI am new in redmines and I have requiremen...,independent
53,422,   To make RedMine an effective Enterprise applic...,1020,   This feature could ease the search when they a...,independent
54,503,   Passwords for user accounts in redmine are lim...,10481,   Because in the workflows columns and line head...,independent
55,30981,  When we add new members to a project through t...,9843,"   Hi,\r\n\r\nI am using two different roles/perm...",independent
56,7554,   Similar functionality to #7412 (private issues...,22810,"   Hi \r\n\r\nIn order to parse time logs, it's v...",independent
57,3768,   this looks really kewl and i am intent on inst...,7837,"   hi,\r\n   One of our longstanding peeves is th...",independent
58,23895,  As i understood emails with Auto-Submitted are...,7382,   h1. Overview\r\n\r\nBeing that Redmine is a pr...,independent
59,516,   When creating spent-time-based report from pro...,22008,   Hi I need to check the commit details for spec...,independent
60,11068,   I would like the ability to set a default colu...,26105,  I strongly believe that re-evaluating the Redm...,independent
61,6988,   Des. html telas Aton,9089,   a few of my team have had this happen:\r\nstar...,independent
62,16136,   We've started using Due Date as a way of deter...,31691,  Hi\r\nhow can I change font type of text? char...,independent
63,9927,   Some defective e-mail servers can't handle e-m...,22884,   _how the *Assignee* field shall be intended be...,independent
64,11144,   The feature I would like to see is the ability...,6453,   I'm running redmine 1.0.1 stable and when some...,independent
65,11009,   Attached is the access_log screen in wich you ...,24783,"  hope to support mobile front-end UI side, for ...",independent
66,33674, h1. What's the problem?\r\n\r\nIf I link a gro...,10962,   ESte banner eu preciso colocar do lado esquerd...,independent
67,3111,"   Please add an option to ""sort"" or arrange the ...",452,   Would it be possible to have an option to link...,independent
68,3528,   I'm talking about how you see a little bit of ...,1656,   Last weekend i have found this great tool. But...,independent
69,15167,   The filter section on the spent time _report_ ...,27315,  Sort the column of attachments by alphabetical...,independent
70,17176,   There should be feature in summary report by w...,24783,"  hope to support mobile front-end UI side, for ...",independent
71,32360,"  In Roadmap page, it is difficult to find open ...",3443,   It would be great to have _Show user_ combo bo...,independent
72,16742,   It would be nice to have option to create at o...,30117,  Currently redmine has such fixing keywords as ...,independent
73,1709,   It was once possible to edit the original issu...,404,   A way of customizing the issues table would be...,independent
74,29958,"  Morning guys,\r\n\r\nI need a little help with...",33073,  Currently there is no way to enter a macro arg...,independent
75,11858,   In case we delete an issue number 'x' which is...,885,   Is there a way to make the columns sortable. F...,independent
76,12421,   Please expand testing for JRuby 1.7,17304,"   I like how redmine allows you to ""easily"" link...",independent
77,14947,   Can we have an option to create test cases and...,7480,   It is possible to have target field in the doc...,independent
78,23822,   It should be possible to get reports on 'Spent...,3504,   Since r1941 I have been using footnotes in bot...,independent
79,3301,   In <head> tag should be added a line\r\n<pre>\...,9986,"   When displaying Gantt charts deep in a tree, t...",independent
80,4003,   The following patch lets a user choose what ki...,10459,   Sorry I have posted this in the forum and real...,independent
81,434,   The time tracking report need a date range fil...,5782,   The module for Forums is labeled Boards under ...,independent
82,4553,   дать возможность выбора следующей схемы:\r\n\r...,12522,"   Hello,\r\n\r\nWe use redmine with succes for m...",independent
83,1154,   If a new permission flag was added which contr...,21639,   I recently had a request from a user of our Re...,independent
84,29402,  Currently Redmine does not allow to restrict t...,18735,   Hi is it possible to have css tags for the sor...,independent
85,5938,"   Currently in the main Project view, all subpro...",3366,   Reason: I'd like to use this field not just fo...,independent
86,288,"   Hello,\r\n\r\nWould it be possible to add a si...",2095,   The projects I currently look after are very h...,independent
87,6540,"   settings->versions->new version, add a version...",297,   In order for me to even be able to create an i...,independent
88,1341,"   Hello,\r\n\r\nafter trying to lazily import is...",23524,"   As discussed in this ""thread"":http://www.redmi...",independent
89,5187,   your instruction for UpGrade is not specific a...,2451,   Now you can add yourself to watch list in two ...,independent
90,26620,  @:button_search@ is more intuitive then @:butt...,13170,   Не работает форма отправки запроса о покупке п...,independent
91,2657,   The current wiki start-up process is overly co...,1412,   Items that will be customised regularly on a p...,independent
92,26096,  Is it possible to get info from a custom field...,11205,   The summary page holds a lot of useful info. W...,independent
93,28819,  Is there a possibility that a user can set iss...,489,    This modification is Easy and enhances the in...,independent
94,3074,   It seems to me that such a feature would impro...,10307,   I often have the problem that I track bugs in ...,independent
95,6343,   Nova font,27971,  Hi. I need a plugin that could set a report an...,independent
96,359,   It'd be really great to be able to click on th...,17925,   Display and edit customized field each one in ...,independent
97,321,"   Allow an administrator the option to ""Archive""...",5234,   I often submit a comment to a redmine issue an...,independent
