,id1,Description1,id2,Description2,Type of dependency
0,34556,"Currently, the ""Watchers"" section in the new i...",8562,   We face the problem that we have many project ...,relates
1,30459,"  In Redmine 3.4 and earlier, you could update t...",34549,Add keyboard shortcuts for the following butto...,blocks
2,34495,"""Two-factor authentication"" on a new user form...",1237,   Please add support for a one time password ser...,relates
3,34340,All projects are displayed in the tracker edit...,6938,   I have a few ideas to enhance the edit tracker...,relates
4,33383, jQuery 2 is end of life and we should update t...,34337,#33383#note-3:\r\n> Because the update can bre...,relates
5,34258,"When there are many custom fields or projects,...",9258,   Allow creating a new role by copying an existi...,relates
6,34241,The upcoming Redmine 4.2 has a two-factor auth...,1237,   Please add support for a one time password ser...,relates
7,29473,"  While editing issue, Ctrl+Enter should invoke ...",33918,This feature should be documented on [[Redmine...,precedes
8,33884," Issue details page shows ""Due in X days"" infor...",31499," This patch adds ""Due in X days"" / ""X days late...",relates
9,33834, This patch adds open/closed badge to email not...,33254, #29391 added a useful badge that shows the sta...,relates
10,33832," Currently, ""Private"" badge (#7414) and ""Open/C...",33254, #29391 added a useful badge that shows the sta...,relates
11,33820, I think it would be useful to use the function...,33425, The attached patch adds an auto-complete featu...,relates
12,31989, The attached patch adds support for inline iss...,33820, I think it would be useful to use the function...,relates
13,33791," Is there a reason to have the ""First Name"" and...",29757,  Reasoning:\r\n* in some Redmine installations ...,duplicates
14,33672," Hello,\r\n\r\nI'll try to explain the feature ...",11294,   We use some projects like a template to start ...,duplicates
15,33612, For Redmine clients interacting with different...,5901,   After reading Alexey Skor's forum post about t...,duplicates
16,33602, The activity page already has a feature to sho...,7322,   using 1.0.4\r\n\r\nI would like to be able to ...,relates
17,33592, Users CSV has updated_on and passwd_changed_on...,33347," currently, there is no means to see updated_on...",relates
18,33490," Current ""Subproject of"" filter implementation ...",29482,  The attached patch adds the existing query sys...,relates
19,33425, The attached patch adds an auto-complete featu...,30986,"  Redmine has useful wiki macros such as ""child_...",relates
20,33820, I think it would be useful to use the function...,33425, The attached patch adds an auto-complete featu...,relates
21,31989, The attached patch adds support for inline iss...,33425, The attached patch adds an auto-complete featu...,relates
22,29482,  The attached patch adds the existing query sys...,33422, This would be nice to have now that #29482 is ...,precedes
23,29272,"  Hi,\r\nFor the moment it's possible to get all...",33418, Sometimes you need to add a lot of relations t...,relates
24,33383, jQuery 2 is end of life and we should update t...,34337,#33383#note-3:\r\n> Because the update can bre...,relates
25,33352, The query filters on issues and related issues...,31989, The attached patch adds support for inline iss...,relates
