,id1,Description1,id2,Description2,Type of dependency
0,34556,currently watcher section new,8562,face problem many project,relates
1,30459,redmine earlier could update,34549,add keyboard shortcut following butto,blocks
2,34495,twofactor authentication new user form,1237,please add support one time password ser,relates
3,34340,project displayed tracker edit,6938,idea enhance edit tracker,relates
4,33383,jquery end life update,34337,update bre,relates
5,34258,many custom field project,9258,allow creating new role copying existi,relates
6,34241,upcoming redmine twofactor auth,1237,please add support one time password ser,relates
7,29473,editing issue ctrlenter invoke,33918,feature documented redmine,precedes
8,33884,issue detail page show due day infor,31499,patch add due day day late,relates
9,33834,patch add openclosed badge email,33254,added useful badge show sta,relates
10,33832,currently private badge openc,33254,added useful badge show sta,relates
11,33820,think would useful use function,33425,attached patch add autocomplete featu,relates
12,31989,attached patch add support inline i,33820,think would useful use function,relates
13,33791,reason first name,29757,reasoningrn redmine installation,duplicates
14,33672,hellornrnill try explain feature,11294,use project like template start,duplicates
15,33612,redmine client interacting different,5901,reading alexey skors forum post,duplicates
16,33602,activity page already feature sho,7322,using would like able,relates
17,33592,user csv updated passwd changed,33347,currently mean see updated,relates
18,33490,current subproject filter implementation,29482,attached patch add existing query sys,relates
19,33425,attached patch add autocomplete featu,30986,redmine useful wiki macro child,relates
20,33820,think would useful use function,33425,attached patch add autocomplete featu,relates
21,31989,attached patch add support inline i,33425,attached patch add autocomplete featu,relates
22,29482,attached patch add existing query sys,33422,would nice,precedes
23,29272,hirnfor moment possible get,33418,sometimes need add lot relation,relates
24,33383,jquery end life update,34337,update bre,relates
25,33352,query filter issue related issue,31989,attached patch add support inline i,relates
26,33352,query filter issue related issue,4806,possible filter issue id,relates
27,33352,query filter issue related issue,6118,doesnt seem option use par,relates
28,33352,query filter issue related issue,3265,itd nice redmines issue filter includ,relates
29,33592,user csv updated passwd changed,33347,currently mean see updated,relates
30,33330,ability import issue relation,28198,promised would like pro,duplicates
31,33325,possible patch add,1996,would nice time tracking rep,relates
32,33288,possible add wiki bar custom f,33256,border solid grey,duplicates
33,33288,possible add wiki bar custom f,33256,border solid grey,duplicates
34,33153,one often action working,33254,added useful badge show sta,relates
35,33834,patch add openclosed badge email,33254,added useful badge show sta,relates
36,33832,currently private badge openc,33254,added useful badge show sta,relates
37,33216,organization policy requires user,3369,using redmine internal company situa,relates
38,33174,project overview page show user ev,12794,go project pagern,relates
39,33156,introduced issue user,19097,number attempt make r,relates
40,33153,one often action working,28829,patch added icon open conte,relates
41,33153,one often action working,33254,added useful badge show sta,relates
42,33129,earlier version redmine latest pr,21148,redmine installation pro,relates
43,2973,numeric custom fieldsrnpriority fieldrne,33101,currently priority issue filter support,relates
44,2893,attempting navigate redmine today,33071,attached patch add protection del,relates
45,33002,file news notification,16006,send notification called message cre,relates
46,32944,really nice thing one thing,31355,patch aim make project jump box,relates
47,29482,attached patch add existing query sys,32818,add system setting default result disp,relates
48,32781,hi everybodyrnif clearly understood foll,26791,patch series introducing,relates
49,32757,asinspired case,31589,cannot close issue open subta,duplicates
50,32641,language account set engli,26279,current implementation encoding,relates
51,32629,suggest adding edit button wiki sidebar,5208,nice feature would add aibility,relates
52,32528,language often used code highlight differ,14937,planio developed woul,relates
53,32501,precondition localization site mu,654,example helpr,duplicates
54,32496,import csv batch creating new issue,23448,id like possibility update i,duplicates
55,32493,ticket lot screenshot andor p,1984,similar bugzilla file,duplicates
56,32406,moment relation added one,29272,hirnfor moment possible get,duplicates
57,571,nice enabledisable displaying pr,32350,would like propose redesign proj,relates
58,32321,filter asignees group,7867,possible add group auther fil,duplicates
59,32302,think useful allow user fi,29482,attached patch add existing query sys,relates
60,32302,think useful allow user fi,31355,patch aim make project jump box,relates
61,572,really long list project,32302,think useful allow user fi,relates
62,32291,im using redmine window platform bitnami,26791,patch series introducing,duplicates
63,32278,idea rnrn display roadmap page,6432,extensive subjectrnrnallow roadmap v,relates
64,32249,redmine display thumbnail attachment whe,1006,would nice display thumbnail ima,relates
65,32178,dear allrnrnis possible create cond,22026,like old topic id like req,relates
66,32085,currently field displayed texta,19903,would possible get textbox change,relates
67,32052,think would useful able autoc,31989,attached patch add support inline i,relates
68,32002,didnt found way get inherit member fi,5605,alternatively role permission secti,relates
69,31989,attached patch add support inline i,5840,would good benefit duplicate issue e,relates
70,31989,attached patch add support inline i,31908,installation pro,relates
