,id1,Description1,id2,Description2,Type of dependency
0,1497,add ability to add target version as filte,278,hirnrncan you add the option to add wik,independent
1,24188,can display the responsible name on ganttr,3796,dear allrnrnusers can create new issues d,independent
2,10523,hey guysrnrni really need an additional f,317,created an issue with lots of newlines sa,independent
3,12888,since weve started using redmine weve,32695,the subject says it all please add the,independent
4,12559,have project set up in redmine want to,4013,hello rni usually use subprojects rnwhe,independent
5,6039,the files tab includes dl column which,4763,id like to request viability analisys about,independent
6,5259,hi everyonerni need some help with new cu,6252,for multilevel projects when filtering by a,independent
7,2543,redmine has this hook when displaying versio,31612,it should be possible to display project custo,independent
8,6937,similar to when shutting down windows server,4269,use the following command for automatic svn,independent
9,10307,often have the problem that track bugs in,5046,is there anyways can have the values of the,independent
10,14804,rnrni have been creating rfp plugin in red,14435,it would be nice if you could edit some fields,independent
11,20260,please help the tab new project under projec,8774,the only way to have this symbol is to copy it,independent
12,345,id really like to be able to close project,3230,can you include your git repo syncro,independent
13,468,currently custom fields are limited to input b,14389,in order to lessen the amount of email notific,independent
14,32998,the attached patch changes the default gravata,17465,a role with sufficient rights eg manager,independent
15,7318,mod security protects against problematic appl,6227,we were looking for way to send reminders th,independent
16,10236,dear expertsrnrnplease let me know how to,3343,the project nonmember shouldnt see any other,independent
17,462,hirnrnit would be nice to have the fixed,16552,have installed the ckeditor plugins generat,independent
18,24038,redmine introduced support for markdown whil,5959,when change process to rnif and,independent
19,4330,it would be nice to implement opensearch stand,10842,if have ldap user and want to delete i,independent
20,5165,is it possible to have special keyword to b,22993,greetings setting mail notification about the,independent
21,23423,working with lots of projects which uses many,841,could it be possible to have this option when,independent
22,19934,please kindly provide feature to hide log time,28100,at the moment its only possible to get files,independent
23,23314,there are too many activites displayed in main,4222,hi therernrnwe have redmine as our main,independent
24,8663,we need to know whether we can control the doc,29595,hi allrn we started using redmine in our co,independent
25,591,idea for user interface improvementrnrn,438,be able to use the new fields such as time est,independent
26,439,please add sortable due date column in the i,498,restricting file size is good but projects so,independent
27,6478,when you take look to the list of issues and,1032,add different css class div for user commen,independent
28,274,would like to see the ability to add time tr,25719,redmine has inherit permissions from parent pr,independent
29,25517,we use the bestest punch clock for redmine plu,9374,for example if want to reply privately at,independent
30,26295,im looking for way to set custom field,9754,it would be very useful to be able customize v,independent
31,25509,in redmine view all issues page add filter gro,10459,sorry have posted this in the forum and real,independent
32,24504,dear allrnrncan we create private chann,405,have many projects in redmine and keeping a,independent
33,17153,hyrnrnworking with svn advanced integrati,1778,ive added some version into my project and it,independent
34,23668,am using redmine and would l,10635,if you try to enter times like min in th,independent
35,8043,when creating counts enable drop down menus f,8156,correo saliente de alpinacom alpinacomco,independent
