,id1,Description1,id2,Description2,Type of dependency
0,34556,currently the watchers section in the new i,8562,we face the problem that we have many project,relates
1,30459,in redmine and earlier you could update t,34549,add keyboard shortcuts for the following butto,blocks
2,34495,twofactor authentication on new user form,1237,please add support for one time password ser,relates
3,34340,all projects are displayed in the tracker edit,6938,have few ideas to enhance the edit tracker,relates
4,33383,jquery is end of life and we should update t,34337,because the update can bre,relates
5,34258,when there are many custom fields or projects,9258,allow creating new role by copying an existi,relates
6,34241,the upcoming redmine has twofactor auth,1237,please add support for one time password ser,relates
7,29473,while editing issue ctrlenter should invoke,33918,this feature should be documented on redmine,precedes
8,33884,issue details page shows due in days infor,31499,this patch adds due in days days late,relates
9,33834,this patch adds openclosed badge to email not,33254,added useful badge that shows the sta,relates
10,33832,currently private badge and openc,33254,added useful badge that shows the sta,relates
11,33820,think it would be useful to use the function,33425,the attached patch adds an autocomplete featu,relates
12,31989,the attached patch adds support for inline iss,33820,think it would be useful to use the function,relates
13,33791,is there reason to have the first name and,29757,reasoningrn in some redmine installations,duplicates
14,33672,hellornrnill try to explain the feature,11294,we use some projects like template to start,duplicates
15,33612,for redmine clients interacting with different,5901,after reading alexey skors forum post about t,duplicates
16,33602,the activity page already has feature to sho,7322,using would like to be able to,relates
17,33592,users csv has updated on and passwd changed on,33347,currently there is no means to see updated on,relates
18,33490,current subproject of filter implementation,29482,the attached patch adds the existing query sys,relates
19,33425,the attached patch adds an autocomplete featu,30986,redmine has useful wiki macros such as child,relates
20,33820,think it would be useful to use the function,33425,the attached patch adds an autocomplete featu,relates
21,31989,the attached patch adds support for inline iss,33425,the attached patch adds an autocomplete featu,relates
22,29482,the attached patch adds the existing query sys,33422,this would be nice to have now that is,precedes
23,29272,hirnfor the moment its possible to get all,33418,sometimes you need to add lot of relations t,relates
24,33383,jquery is end of life and we should update t,34337,because the update can bre,relates
25,33352,the query filters on issues and related issues,31989,the attached patch adds support for inline iss,relates
26,33352,the query filters on issues and related issues,4806,it should be possible to filter by issue id t,relates
27,33352,the query filters on issues and related issues,6118,there doesnt seem to be an option to use par,relates
28,33352,the query filters on issues and related issues,3265,itd be nice if redmines issue filters includ,relates
29,33592,users csv has updated on and passwd changed on,33347,currently there is no means to see updated on,relates
30,33330,there is no ability to import issue relations,28198,as promised in now would like to pro,duplicates
31,33325,is it possible to have patch that will add t,1996,it would be nice to have the time tracking rep,relates
32,33288,is it possible to add wiki bar into custom f,33256,border solid grey,duplicates
33,33288,is it possible to add wiki bar into custom f,33256,border solid grey,duplicates
34,33153,one of the most often action when working with,33254,added useful badge that shows the sta,relates
35,33834,this patch adds openclosed badge to email not,33254,added useful badge that shows the sta,relates
36,33832,currently private badge and openc,33254,added useful badge that shows the sta,relates
37,33216,an organizations policy requires users not be,3369,for using redmine in an internal company situa,relates
38,33174,the project overview page shows only users ev,12794,when go to project pagern,relates
39,33156,introduced with the issue the user was,19097,there have been number of attempts to make r,relates
40,33153,one of the most often action when working with,28829,patch has added icons to open the conte,relates
41,33153,one of the most often action when working with,33254,added useful badge that shows the sta,relates
42,33129,in the earlier versions of redmine latest pr,21148,in some of our redmine installations where pro,relates
43,2973,numeric custom fieldsrnpriority fieldrne,33101,currently the priority issues filter supports,relates
44,2893,when attempting to navigate our redmine today,33071,the attached patch adds protection against del,relates
45,33002,there are no files in news notifications can,16006,the send notification is called on message cre,relates
46,32944,is really nice thing but one thing i,31355,this patch aims to make the project jump box,relates
47,29482,the attached patch adds the existing query sys,32818,add system settings for default results disp,relates
48,32781,hi everybodyrnif clearly understood foll,26791,with this patch series we are introducing the,relates
49,32757,same asinspired by but for the case t,31589,you cannot close an issue if it has open subta,duplicates
50,32641,when language on my account is set to engli,26279,in the current implementation the encoding of,relates
51,32629,suggest adding edit button to wiki sidebar,5208,nice feature would be to add the aibility to,relates
52,32528,languages often used in code highlights differ,14937,planio has developed and woul,relates
53,32501,preconditions the localization of the site mu,654,this is an example of the of the helpr,duplicates
54,32496,we can import csv to batch creating new issues,23448,id like to have the possibility to update iss,duplicates
55,32493,when ticket has lot of screenshot andor p,1984,similar to how bugzilla does it the file is s,duplicates
56,32406,for the moment the relations can be added one,29272,hirnfor the moment its possible to get all,duplicates
57,571,it can be nice to enabledisable displaying pr,32350,would like to propose redesign of the proj,relates
58,32321,there is filter as asignees group and it,7867,is it possible to add group of auther for fil,duplicates
59,32302,think it will be useful to allow users to fi,29482,the attached patch adds the existing query sys,relates
60,32302,think it will be useful to allow users to fi,31355,this patch aims to make the project jump box,relates
61,572,because we have really long list of projects,32302,think it will be useful to allow users to fi,relates
62,32291,im using redmine on windows platform bitnami,26791,with this patch series we are introducing the,duplicates
63,32278,the idea rnrn display roadmap page with,6432,extensive subjectrnrnallow roadmap v,relates
64,32249,redmine displays thumbnails of attachments whe,1006,it would be nice to display thumbnail of ima,relates
65,32178,dear allrnrnis it possible to create cond,22026,like the very old topic below id like to req,relates
66,32085,currently those fields are displayed as texta,19903,would it be possible to get the textbox change,relates
67,32052,think it would be useful to be able to autoc,31989,the attached patch adds support for inline iss,relates
68,32002,didnt found way to get inherit members fi,5605,alternatively the roles permissions secti,relates
69,31989,the attached patch adds support for inline iss,5840,it would be good benefit for duplicate issue e,relates
70,31989,the attached patch adds support for inline iss,31908,in our installation we have more than pro,relates
71,32052,think it would be useful to be able to autoc,31989,the attached patch adds support for inline iss,relates
72,33352,the query filters on issues and related issues,31989,the attached patch adds support for inline iss,relates
73,31989,the attached patch adds support for inline iss,33820,think it would be useful to use the function,relates
74,31989,the attached patch adds support for inline iss,33425,the attached patch adds an autocomplete featu,relates
75,4325,think it would ease cross referencing intern,31989,the attached patch adds support for inline iss,duplicates
76,31984,there is permission to edit time logs rnr,13244,for example any user have to log his spent tim,duplicates
77,31925,extracted the patch from,23997,for issue custom fields one can already selec,relates
