,id1,Description1,id2,Description2,Type of dependency,label
0,34123,add system test type,12804,future release combine j cs file,independent,1
1,8660,teste na ferramenta redmine,7921,currently roadmap page eg,independent,1
2,1675,described forum post,2096,want add custom field named,relates,2
3,2163,hello rni developed small plugin,12628,would also great enhancement,independent,1
4,1549,frozen versioned anything uniqu,324,possible add repository browsing,independent,1
5,7692,currently nice feature associate wi,2033,hirnrnit would nice sort,independent,1
6,405,many project redmine keeping,8263,assume news entry least one comm,independent,1
7,1472,used table create organized view,29482,attached patch add existing query sys,duplicates,0
8,1308,user base large would nice,21662,team used redmine one yearnow,relates,2
9,2885,using redmine internal project,6642,hirnrnthis minor issuernrnid l,relates,2
10,14928,would like improve bookmark web,25082,issue custom field type float e,independent,1
11,5001,useful feature would associating revision,2009,currently way add related revisi,duplicates,0
12,23493,currently possible group result,13803,group date creation ascrn group dat,duplicates,0
13,7409,allow redmine link reference document,4052,feature support crossproject,relates,2
14,7054,group project section admini,11702,adding user multiple project admi,duplicates,0
15,17607,use multiple query single page,15286,want make minor change defau,independent,1
16,11127,im somewhat new redmine tried figure,6225,provide autocomplete feature custom field,independent,1
17,6633,wqas discussion gantt chart acro,1025,trivial thing would make gor,independent,1
18,488,planning meeting look roadma,1936,would nice one could move task betwe,duplicates,0
19,10809,would like able position table id,11939,see use casernrnsometimes,independent,1
20,3562,im using redmine production environment fo,2677,right issue list clear,duplicates,0
21,6049,company maintaining quite lot,3640,archiving project except,relates,2
22,28199,hellornrnits great possib,30733,user submits update issue,independent,1
23,1061,im using redmine project,15783,dear allrn currently add new b,independent,1
24,1827,modifycomment issue wiki page,3851,rail start without cookie secret fro,independent,1
25,11639,motivationrn redmine project tree,5487,use subtasks would like subtask,duplicates,0
26,30834,follow eg link,22978,follow eg link,relates,2
27,484,possible address updated via,22949,hellornrnlike ticket useful,independent,1
28,7744,feature sometimes would need di,2783,would handy filter issue,duplicates,0
29,18425,want feature like project,5127,think would useful change set,duplicates,0
30,6655,see lot project one page,3224,project manager going project l,relates,2
31,8095,would good let text formatting,28823,plan implement different mark,relates,2
32,9994,help stay report window g,29042,issue extracted,relates,2
33,2183,issue noted redmine instal,27826,suggestionrnnon member invisibl,independent,1
34,9209,new private issue feature great havin,7414,change consists adding private flag,relates,2
35,20426,hirnrni would like use user account,27162,know simple enough use quot,independent,1
36,24611,hell time installing plug,12327,redmine benefit lot plugins ava,relates,2
37,12827,hi jeanphilippernrni think would g,22656,requestrnrnadd ability toggle logi,independent,1
38,7674,helpful feature group choosed,2964,would nice feature add since,duplicates,0
39,9548,hello everybodyrnrni need help diffic,402,two way possible change,independent,1
40,6322,hi seen issue concern subca,2020,suggestion rnrna allow blocking,independent,1
41,21148,redmine installation pro,21203,home screen usuful informatio,relates,2
42,7849,different project using redmine,15340,redmine could become much powerful,relates,2
43,3967,would great would possibilit,3318,display issue list today c,duplicates,0
44,14842,page like,2911,ive seen lot feature request around cu,duplicates,0
45,16769,hi allrnrnany help make redmine close,11313,plan implement feature,duplicates,0
46,3921,hello everyonernour team started developmen,10568,hirnrni think would great,relates,2
47,11894,add possibility different emiss,16093,starting use redmine lot wer,relates,2
48,13529,hi foldrnrntoday user rest api l,8329,projeto de tecnologias móveis,independent,1
49,3810,would nice could somehow provide,202,ive noticed another missing textilizationr,duplicates,0
50,4717,observed rndirect link,10968,recently upgrading foun,independent,1
51,371,interest using redmine time tra,2587,hirnrnwhen click specific roadmap,relates,2
52,3819,anyways here problem issue tr,8142,hirni implement javascript,independent,1
53,4507,hello redmine developersrnrnrnin regist,9715,redmine already support fixing issue,independent,1
54,10718,using additional plugin proje,12789,hi therernrnim trying give idea,relates,2
55,452,would possible option link,28916,hi teamrnrncan export gantt colo,independent,1
56,13294,let say project standard hold,9446,im situation ive given dif,independent,1
57,12239,hirnrnit would great translate,5990,currently email notification sent,duplicates,0
58,2555,need possibility upload new version,991,thought redmine previously,duplicates,0
59,15575,im usingrnenvironmentrn redmine versio,3972,would nice value field,duplicates,0
60,19299,project quick jump dropdown list sorting,19300,project quick jump dropdown list sorting,relates,2
61,10764,currently one session per user possibl,5304,cant build task tree imported data othe,independent,1
62,9918,helpful assign role,10121,asis rnwhen somesone add watcher,relates,2
63,3680,would amazing would option w,23114,hirni want setup redmine site,independent,1
64,9994,help stay report window g,29042,issue extracted,relates,2
