,id1,Description1,id2,Description2,Type of dependency
0,15743,understanding rubyvm supposed,17500,rubyvm traprn user think,relates
1,15752,believe introduce module exp,17500,rubyvm traprn user think,relates
2,17496,excuse brought,4897,firstly please read tau manifesto,duplicates
3,8804,introduce syntax,17474,ruby borrowed conceptsidioms allot,relates
4,17273,proposal introduce shareable con,17397,think shareable constant value literal,relates
5,17384,hi allrnwhen used hashmerge thought,6225,string array combined,duplicates
6,17365,summary currently good way ret,17378,discussion marcandre found good,relates
7,15865,adding syntax oneline pattern,17371,reintroducing expr pat akr,relates
8,16355,currently single line pattern matchingexpr,17371,reintroducing expr pat akr,relates
9,17365,summary currently good way ret,17378,discussion marcandre found good,relates
10,15973,kernellambda receives proc,17361,newsrnrnrn kernellambda,relates
11,10600,multipleproducer multipleconsumer sit,17357,currently difficult reliably distingu,relates
12,15799,implemented pipeline operator topi,17353,since ruby already moving directionfu,relates
13,16794,reading rassign,17353,since ruby already moving directionfu,relates
14,17336,problemrnwhen need monkey patch whic,16241,original discussion,duplicates
15,12075,sometimes write following codernrnru,17330,always core method proposal,relates
16,16987,enumeration designed greedy immedi,17312,offspring vague,relates
17,15657,maintenance webrick hard rub,17303,propose move webrick bundled gem r,relates
18,17292,set literal v javascript object punningr,14579,allow value omission hash lite,duplicates
19,17288,made patch optimize send call w,17291,made patch optimize send call,duplicates
20,17288,made patch optimize send call w,17291,made patch optimize send call,duplicates
21,13334,mathncomplex mathnrational deprec,17281,mathn deprecated canonicalization,relates
22,17273,proposal introduce shareable con,17278,description rnrnthis proposal aim,relates
23,17145,id like propose objectdeep freezern,17274,ticket describes semantics sharea,relates
24,17273,proposal introduce shareable con,17274,ticket describes semantics sharea,relates
25,17273,proposal introduce shareable con,17274,ticket describes semantics sharea,relates
26,17145,id like propose objectdeep freezern,17273,proposal introduce shareable con,relates
27,17273,proposal introduce shareable con,17278,description rnrnthis proposal aim,relates
28,17273,proposal introduce shareable con,17397,think shareable constant value literal,relates
29,14912,propose new pattern matching syntaxrnrn,17260,propose promote pattern matching offic,relates
30,15504,abstractrnrnrange currently nonfroze,17195,range frozen,relates
31,17134,add resolve timeout tcpsocketnewrnit,17187,add connect timeout tcpsocketnew sa,relates
32,16752,defining private constant require,17171,rubyrnclass foorn def call mern,relates
33,17147,object deserializer like json messagepack,13077,introduce stringfstring methodrnrnthis ex,duplicates
34,2509,beginrn like freezing constant confi,17145,id like propose objectdeep freezern,relates
35,17100,ractor proposal new concurrent abst,17145,id like propose objectdeep freezern,relates
36,17145,id like propose objectdeep freezern,17274,ticket describes semantics sharea,relates
37,17145,id like propose objectdeep freezern,17273,proposal introduce shareable con,relates
38,17055,two verbose mode warning fairl,17143,support recently added warningwarn,relates
39,17134,add resolve timeout tcpsocketnewrnit,17187,add connect timeout tcpsocketnew sa,relates
40,16476,seems like blocking syscall done,17134,add resolve timeout tcpsocketnewrnit,relates
41,17133,kerneliterator mildly deprecate sicne,15547,block given added since,duplicates
42,11588,ruby current warning system lacking warn,17122,deprecation warning warning rub,relates
43,12026,add simple way filter warning,17122,deprecation warning warning rub,relates
44,12299,another attempt provide ty,17122,deprecation warning warning rub,relates
45,17100,ractor proposal new concurrent abst,17145,id like propose objectdeep freezern,relates
46,17055,two verbose mode warning fairl,17143,support recently added warningwarn,relates
47,16345,propose ruby doesnt emit deprecation,17000,matz decided disable deprecation warnin,relates
48,16989,opening series feature request,16995,quite minor set r,relates
49,16989,opening series feature request,16994,would like shorthand syntax frozen se,relates
50,16989,opening series feature request,16993,create set hash key currently impli,relates
51,16989,opening series feature request,16992,officially set element uncertain order,relates
52,16989,opening series feature request,16991,id like add join setrnrnru,relates
53,16989,opening series feature request,16990,currently set operator array work,relates
54,16989,opening series feature request,16990,currently set operator array work,relates
55,16989,opening series feature request,16991,id like add join setrnrnru,relates
56,16989,opening series feature request,16992,officially set element uncertain order,relates
57,16989,opening series feature request,16993,create set hash key currently impli,relates
58,16989,opening series feature request,16994,would like shorthand syntax frozen se,relates
59,16989,opening series feature request,16995,quite minor set r,relates
60,16987,enumeration designed greedy immedi,17312,offspring vague,relates
61,14138,many good reason simply define,16963,englishrb longer maintained ruby cor,relates
62,16945,would like propose create way,12543,introducing new syntax tail ca,duplicates
63,15198,frequently find needing determine,16928,hirnrnthe ruby array class currently,relates
64,16463,ruby outrnit aim warn ever,16897,rubyrnrequire benchmarkipsrnrnmodu,relates
65,16378,think important otherwise,16891,based feedback railscore matz de,relates
66,11925,propose make struct subclass constructor w,16806,proposalrnrnrbrnpost structnew,relates
67,16794,reading rassign,17353,since ruby already moving directionfu,relates
68,16786,abstractrnrnwe propose introduce li,16792,currently mutex cruby held per thread,relates
69,16786,abstractrnrnwe propose introduce li,16792,currently mutex cruby held per thread,relates
70,14736,ruby concurrency greatly enhanced co,16786,abstractrnrnwe propose introduce li,relates
71,16122,value object useful concept introduc,16769,backgroundrnweve discussed interface,relates
72,16752,defining private constant require,17171,rubyrnclass foorn def call mern,relates
73,5054,though matz said ruby,16746,ruby syntax full end im paranoid,relates
74,5065,ive noticed issue subjecting endal,16746,ruby syntax full end im paranoid,relates
75,12241,refinement feature,16746,ruby syntax full end im paranoid,relates
76,8661,currently way ruby print backtrace th,16684,mostrecentcalllast order backtrace,relates
77,13488,currently encodingdefault external set,16604,issue related,relates
78,12650,window environment variable support unicode,16604,issue related,relates
79,15393,hirnrni would like add vm compilation,16600,contextrnrna somewhat common pattern w,relates
80,16463,ruby outrnit aim warn ever,16511,alternative id lik,relates
81,10637,encountered issue bringing v,16482,right nethttp force user use cl,relates
82,16476,seems like blocking syscall done,17134,add resolve timeout tcpsocketnewrnit,relates
83,16038,know objectspaceweakmap isnt really sup,16471,id like request two feature weakref,relates
84,15958,matz changed timeto format fr,16470,ruby added nanosecond representation th,relates
85,16463,ruby outrnit aim warn ever,16511,alternative id lik,relates
86,16378,think important otherwise,16463,ruby outrnit aim warn ever,relates
87,16463,ruby outrnit aim warn ever,16897,rubyrnrequire benchmarkipsrnrnmodu,relates
88,12086,currently refinement activated,16461,overviewrni propose procusing support,relates
89,16441,method like take al,16446,led think issue ge,relates
90,16441,method like take al,16446,led think issue ge,relates
91,16363,mean gem bundled gem,16431,opened pr allows ruby,relates
92,16430,im sure intentional,6810,expected behavior ra,duplicates
93,15751,similar nameerrorreceiver return,16419,exception class receiver accept r,relates
94,16253,using thisrnrnrubyrn def,16378,think important otherwise,relates
95,16378,think important otherwise,16891,based feedback railscore matz de,relates
96,16378,think important otherwise,16463,ruby outrnit aim warn ever,relates
97,16377,following scriptrnrnrubyrndef mu,8948,beginrni see frozen string accepte,duplicates
98,16355,currently single line pattern matchingexpr,16370,wrote codernrn rubyrnn,relates
99,16363,mean gem bundled gem,16431,opened pr allows ruby,relates
100,14145,idea investigating example scrip,16356,current behavior includes rnis th,relates
101,15865,adding syntax oneline pattern,16355,currently single line pattern matchingexpr,relates
102,16355,currently single line pattern matchingexpr,16370,wrote codernrn rubyrnn,relates
103,16355,currently single line pattern matchingexpr,17371,reintroducing expr pat akr,relates
104,16289,problemrnrncurrently interpreter e,16345,propose ruby doesnt emit deprecation,relates
105,16018,since moduledeprecate consta,16345,propose ruby doesnt emit deprecation,relates
106,16345,propose ruby doesnt emit deprecation,17000,matz decided disable deprecation warnin,relates
107,16253,using thisrnrnrubyrn def,16296,settled syntax rem,relates
