,id1,Description1,id2,Description2,Type of dependency
0,15743,my understanding is that rubyvm is supposed,17500,rubyvm is traprn users will think from,relates
1,15752,believe we should introduce module for exp,17500,rubyvm is traprn users will think from,relates
2,17496,excuse me if this has been brought up before,4897,firstly please read the tau manifesto at,duplicates
3,8804,how about to introduce once syntax which,17474,ruby has borrowed conceptsidioms from allot o,relates
4,17273,this proposal is to introduce shareable con,17397,i think shareable constant value literal is,relates
5,17384,hi allrnwhen used hashmerge thought,6225,strings and arrays can be combined with,duplicates
6,17365,summary currently there is no good way to ret,17378,with discussion with marcandre we found good,relates
7,15865,how about adding syntax for oneline pattern,17371,how about reintroducing expr in pat as akr,relates
8,16355,currently single line pattern matchingexpr,17371,how about reintroducing expr in pat as akr,relates
9,17365,summary currently there is no good way to ret,17378,with discussion with marcandre we found good,relates
10,15973,when kernellambda receives proc that is not,17361,in newsrnrnrn kernellambda,relates
11,10600,in multipleproducer multipleconsumer sit,17357,it is currently difficult to reliably distingu,relates
12,15799,implemented the pipeline operator topi,17353,since ruby already moving in that directionfu,relates
13,16794,while reading rassign and re,17353,since ruby already moving in that directionfu,relates
14,17322,randomdefault default random generator u,17351,from,relates
15,17336,problemrnwhen we need monkey patch whic,16241,the original discussion is here,duplicates
16,12075,sometimes write following codernrnru,17330,as always with core method proposals don,relates
17,17322,randomdefault default random generator u,17351,from,relates
18,16987,enumerations are designed to be greedy immedi,17312,the offspring of which was too vague,relates
19,15657,the maintenance of webrick is hard for the rub,17303,propose to move webrick to bundled gems or r,relates
20,17292,set literal vs javascript object punningr,14579,how about to allow value omission in hash lite,duplicates
21,17288,made patch to optimize send call w,17291,made patch to optimize send call,duplicates
22,17288,made patch to optimize send call w,17291,made patch to optimize send call,duplicates
23,13334,mathncomplex and mathnrational is deprec,17281,as mathn is deprecated canonicalization for,relates
24,17273,this proposal is to introduce shareable con,17278,description rnrnthis proposal aims to,relates
25,17145,id like to propose objectdeep freezern,17274,this ticket describes the semantics of sharea,relates
26,17273,this proposal is to introduce shareable con,17274,this ticket describes the semantics of sharea,relates
27,17273,this proposal is to introduce shareable con,17274,this ticket describes the semantics of sharea,relates
28,17145,id like to propose objectdeep freezern,17273,this proposal is to introduce shareable con,relates
29,17273,this proposal is to introduce shareable con,17278,description rnrnthis proposal aims to,relates
30,17273,this proposal is to introduce shareable con,17397,i think shareable constant value literal is,relates
31,14912,propose new pattern matching syntaxrnrn,17260,propose to promote pattern matching to offic,relates
32,15504,abstractrnrnrange is currently nonfroze,17195,now all ranges are frozen,relates
33,16381,this is followup to,17187,add connect timeout to tcpsocketnew in the sa,relates
34,17134,add resolve timeout to tcpsocketnewrnit ma,17187,add connect timeout to tcpsocketnew in the sa,relates
35,16752,defining private constant should not require,17171,rubyrnclass foorn def call mern,relates
36,17147,object deserializer like json messagepack i,13077,introduce stringfstring methodrnrnthis ex,duplicates
37,2509,beginrn like freezing my constants confi,17145,id like to propose objectdeep freezern,relates
38,17100,ractor proposal for new concurrent abst,17145,id like to propose objectdeep freezern,relates
39,17145,id like to propose objectdeep freezern,17274,this ticket describes the semantics of sharea,relates
40,17145,id like to propose objectdeep freezern,17273,this proposal is to introduce shareable con,relates
41,17055,these two verbose mode warnings are both fairl,17143,support was recently added for warningwarn to,relates
42,16381,this is followup to,17134,add resolve timeout to tcpsocketnewrnit ma,relates
43,17134,add resolve timeout to tcpsocketnewrnit ma,17187,add connect timeout to tcpsocketnew in the sa,relates
44,16476,it seems like the blocking syscall done by so,17134,add resolve timeout to tcpsocketnewrnit ma,relates
45,17133,kerneliterator was mildly deprecate sicne,15547,block given has been added since and,duplicates
