,id1,Description1,id2,Description2,Type of dependency
0,15628,hirnrnthis is not really bug but more of,17525,,relates
1,15743,my understanding is that rubyvm is supposed,17500,rubyvm is traprn users will think from,relates
2,15752,believe we should introduce module for exp,17500,rubyvm is traprn users will think from,relates
3,17496,excuse me if this has been brought up before,4897,firstly please read the tau manifesto at,duplicates
4,8804,how about to introduce once syntax which,17474,ruby has borrowed conceptsidioms from allot o,relates
5,17273,this proposal is to introduce shareable con,17397,i think shareable constant value literal is,relates
6,17384,hi allrnwhen used hashmerge thought,6225,strings and arrays can be combined with,duplicates
7,17365,summary currently there is no good way to ret,17378,with discussion with marcandre we found good,relates
8,15865,how about adding syntax for oneline pattern,17371,how about reintroducing expr in pat as akr,relates
9,16355,currently single line pattern matchingexpr,17371,how about reintroducing expr in pat as akr,relates
10,17365,summary currently there is no good way to ret,17378,with discussion with marcandre we found good,relates
11,15973,when kernellambda receives proc that is not,17361,in newsrnrnrn kernellambda,relates
12,10600,in multipleproducer multipleconsumer sit,17357,it is currently difficult to reliably distingu,relates
13,15799,implemented the pipeline operator topi,17353,since ruby already moving in that directionfu,relates
14,16794,while reading rassign and re,17353,since ruby already moving in that directionfu,relates
15,17322,randomdefault default random generator u,17351,from,relates
16,17336,problemrnwhen we need monkey patch whic,16241,the original discussion is here,duplicates
17,12075,sometimes write following codernrnru,17330,as always with core method proposals don,relates
18,17322,randomdefault default random generator u,17351,from,relates
19,16987,enumerations are designed to be greedy immedi,17312,the offspring of which was too vague,relates
20,15657,the maintenance of webrick is hard for the rub,17303,propose to move webrick to bundled gems or r,relates
21,17292,set literal vs javascript object punningr,14579,how about to allow value omission in hash lite,duplicates
22,17288,made patch to optimize send call w,17291,made patch to optimize send call,duplicates
23,17288,made patch to optimize send call w,17291,made patch to optimize send call,duplicates
24,13334,mathncomplex and mathnrational is deprec,17281,as mathn is deprecated canonicalization for,relates
25,17273,this proposal is to introduce shareable con,17278,description rnrnthis proposal aims to,relates
26,17145,id like to propose objectdeep freezern,17274,this ticket describes the semantics of sharea,relates
27,17273,this proposal is to introduce shareable con,17274,this ticket describes the semantics of sharea,relates
28,17273,this proposal is to introduce shareable con,17274,this ticket describes the semantics of sharea,relates
29,17145,id like to propose objectdeep freezern,17273,this proposal is to introduce shareable con,relates
30,17273,this proposal is to introduce shareable con,17278,description rnrnthis proposal aims to,relates
31,17273,this proposal is to introduce shareable con,17397,i think shareable constant value literal is,relates
32,14912,propose new pattern matching syntaxrnrn,17260,propose to promote pattern matching to offic,relates
33,15504,abstractrnrnrange is currently nonfroze,17195,now all ranges are frozen,relates
34,16381,this is followup to,17187,add connect timeout to tcpsocketnew in the sa,relates
35,17134,add resolve timeout to tcpsocketnewrnit ma,17187,add connect timeout to tcpsocketnew in the sa,relates
36,16752,defining private constant should not require,17171,rubyrnclass foorn def call mern,relates
37,13381,,17147,object deserializer like json messagepack i,relates
38,17147,object deserializer like json messagepack i,13077,introduce stringfstring methodrnrnthis ex,duplicates
39,2509,beginrn like freezing my constants confi,17145,id like to propose objectdeep freezern,relates
40,17100,ractor proposal for new concurrent abst,17145,id like to propose objectdeep freezern,relates
41,17145,id like to propose objectdeep freezern,17274,this ticket describes the semantics of sharea,relates
42,17145,id like to propose objectdeep freezern,17273,this proposal is to introduce shareable con,relates
43,17055,these two verbose mode warnings are both fairl,17143,support was recently added for warningwarn to,relates
44,16381,this is followup to,17134,add resolve timeout to tcpsocketnewrnit ma,relates
45,17134,add resolve timeout to tcpsocketnewrnit ma,17187,add connect timeout to tcpsocketnew in the sa,relates
46,16476,it seems like the blocking syscall done by so,17134,add resolve timeout to tcpsocketnewrnit ma,relates
47,17133,kerneliterator was mildly deprecate sicne,15547,block given has been added since and,duplicates
48,11588,rubys current warning system is lacking warn,17122,deprecation warnings and other warnings in rub,relates
49,12026,this adds simple way to filter warnings from,17122,deprecation warnings and other warnings in rub,relates
50,12299,this is another attempt to provide the same ty,17122,deprecation warnings and other warnings in rub,relates
51,17100,ractor proposal for new concurrent abst,17145,id like to propose objectdeep freezern,relates
52,17055,these two verbose mode warnings are both fairl,17143,support was recently added for warningwarn to,relates
53,16345,we propose that ruby doesnt emit deprecation,17000,matz has decided to disable deprecation warnin,relates
54,16989,am opening series of feature requests on,16995,this is quite minor but set should be r,relates
55,16989,am opening series of feature requests on,16994,would like shorthand syntax for frozen se,relates
56,16989,am opening series of feature requests on,16993,to create set from hash keys currently impli,relates
57,16989,am opening series of feature requests on,16992,officially set elements have uncertain order,relates
58,16989,am opening series of feature requests on,16991,id like to add join to setrnrnru,relates
59,16989,am opening series of feature requests on,16990,we currently have set operator array work,relates
60,16989,am opening series of feature requests on,16990,we currently have set operator array work,relates
61,16989,am opening series of feature requests on,16991,id like to add join to setrnrnru,relates
62,16989,am opening series of feature requests on,16992,officially set elements have uncertain order,relates
63,16989,am opening series of feature requests on,16993,to create set from hash keys currently impli,relates
64,16989,am opening series of feature requests on,16994,would like shorthand syntax for frozen se,relates
65,16989,am opening series of feature requests on,16995,this is quite minor but set should be r,relates
66,16987,enumerations are designed to be greedy immedi,17312,the offspring of which was too vague,relates
67,14138,there are many good reasons to simply define a,16963,englishrb is no longer maintained by ruby cor,relates
68,16945,would like to propose to create some way to,12543,how about introducing new syntax for tail ca,duplicates
69,15198,frequently find myself needing to determine,16928,hirnrnthe ruby array class is currently m,relates
70,16463,ruby is outrnit aims to warn for ever,16897,rubyrnrequire benchmarkipsrnrnmodu,relates
71,16378,think this is very important otherwise,16891,based on feedback from railscore matz has de,relates
72,11925,propose to make struct subclass constructors w,16806,proposalrnrnrbrnpost structnew,relates
73,16794,while reading rassign and re,17353,since ruby already moving in that directionfu,relates
74,16786,abstractrnrnwe propose to introduce li,16792,currently mutex in cruby is held per thread,relates
75,16786,abstractrnrnwe propose to introduce li,16792,currently mutex in cruby is held per thread,relates
76,14736,ruby concurrency can be greatly enhanced by co,16786,abstractrnrnwe propose to introduce li,relates
77,16122,value object is useful concept introduc,16769,backgroundrnweve discussed interface to,relates
78,16752,defining private constant should not require,17171,rubyrnclass foorn def call mern,relates
79,5054,though as matz said at ruby is a,16746,ruby syntax is full of ends im paranoid t,relates
80,5065,ive noticed issue subjecting an endal,16746,ruby syntax is full of ends im paranoid t,relates
81,12241,this is refinement of feature,16746,ruby syntax is full of ends im paranoid t,relates
82,8661,currently the way ruby prints backtrace is th,16684,the mostrecentcalllast order of backtrace i,relates
83,13488,currently encodingdefault external is set to,16604,this issue is related to,relates
84,12650,windows environment variables supports unicode,16604,this issue is related to,relates
85,15393,hirnrni would like to add vm compilation,16600,contextrnrna somewhat common pattern w,relates
86,16463,ruby is outrnit aims to warn for ever,16511,as an alternative to and id lik,relates
87,15973,when kernellambda receives proc that is not,16499,from,relates
88,15357,the current implementation of procparameters,16499,from,relates
89,10637,encountered this issue while bringing up v,16482,right now nethttp forces the user to use cl,relates
90,16381,this is followup to,16476,it seems like the blocking syscall done by so,relates
91,16476,it seems like the blocking syscall done by so,17134,add resolve timeout to tcpsocketnewrnit ma,relates
92,16038,know objectspaceweakmap isnt really sup,16471,id like to request two features for weakref,relates
93,15958,when matz changed timeto format in fr,16470,ruby added nanosecond representation to th,relates
94,16463,ruby is outrnit aims to warn for ever,16511,as an alternative to and id lik,relates
95,16378,think this is very important otherwise,16463,ruby is outrnit aims to warn for ever,relates
96,16463,ruby is outrnit aims to warn for ever,16897,rubyrnrequire benchmarkipsrnrnmodu,relates
97,12086,currently refinements can be activated only in,16461,overviewrni propose procusing to support,relates
98,16441,the method is just like take while but als,16446,led me to think about the issue more ge,relates
99,16441,the method is just like take while but als,16446,led me to think about the issue more ge,relates
100,16363,the did you mean gem has been bundled gem,16431,just have opened pr which allows ruby t,relates
101,16430,im not sure if this is intentional in which,6810,is this the expected behavior to me it is ra,duplicates
102,15751,similar to nameerrorreceiver this returns,16419,other exception classes with receiver accept r,relates
