Unnamed: 0,Unnamed: 0.1,id1,Description1,id2,Description2,Type of dependency,label,AnnotationStatus
436,549,10770,ord raise error meeting illformed byt,7114,beginrnas suggested drbrain,independent,0,M
404,1952,10366,currently rational inspection expressed wi,3939,beginn default system erro,independent,0,M
1408,3248,6555,beginrn return nilr,1844,beginrn immediate cant dupd,independent,0,M
1334,1882,9174,seems useful able check presence,4896,ruby curse library lack support scro,independent,0,M
449,1663,7087,see program attached bug timeout,17059,current ruby ioselect method call posix,independent,0,M
1500,6499,17544,rfc used time ut,4007,beginrn hellorn looked extens,independent,0,M
463,3291,10463,mark literal symbol,1193,beginrn one nice thing testunit,independent,0,M
533,3407,14564,nice dig method help lotr,2306,beginn split string class,independent,0,M
1473,1200,14462,whether mjit enabled probably b,13867,linux copy offloading feature,independent,0,M
1430,5990,3021,beginn arraypermutation combination wi,1724,beginrn certain language specific char lik,independent,0,M
1492,3687,10179,alternatively nethttp could detect,5809,hellornrni would like keep improvin,independent,0,M
1535,2802,10378,right complexreal return false anyt,11534,rubyrndef foorn f,independent,0,M
1046,3021,3206,beginrn futex timer thread inherits,6409,beginrnpublic send easily bypa,independent,0,M
817,4307,5006,occurs since rubygems us,11911,one ruby biggest strength ability,independent,0,M
459,6949,12267,following file added conte,9634,ive written patch collect symbol,independent,0,M
887,3945,5196,helloim tomoki imairnrni found ruby,8217,current opensslbnnew get string,independent,0,M
11,3009,10087,change add new target cpu structur,2643,beginrn hi ryan davis rn rn wri,independent,0,M
1132,4161,15817,title warning undef method remove,16352,using gem called numoarray handle matrix,independent,0,M
955,7011,16432,summaryrnrncalling bindingirb b,14819,general pattern notice pg mysql,independent,0,M
190,1979,3793,beginrn taskrnendrn,10323,doc little bit diffic,independent,0,M
532,4645,10168,string get printed copied pa,8343,examplernrn stringscannernewfri,independent,0,M
1518,150,13839,hellornrnrnhere kiss implementatio,12845,install directory liblibrubystatica c,independent,0,M
