,Unnamed: 0,id1,Description1,id2,Description2,Type of dependency,label
0,649,8804,introduce syntax,17474,ruby borrowed conceptsidioms allot,relates,1
1,735,7378,variant filewrite pa,7360,currently pathnameglob method,relates,1
2,84,15958,matz changed timeto format fr,16470,ruby added nanosecond representation th,relates,1
3,3233,15172,backgroundrnrnthis proposal emanates f,4806,tried get overview developme,independent,0
4,72,16752,defining private constant require,17171,rubyrnclass foorn def call mern,relates,1
5,3843,14724,mathematics chain inequations shor,14033,ruby introduces arrayappend alias,independent,0
6,894,5064,currently problem netht,5461,beginrnthe attached patch add pip,relates,1
7,3888,10094,weve number feature request,3619,beginrn noticed stringinspect result x,independent,0
8,6871,17157,warning say removed ruby,9253,hellornrnive notice there mean u,independent,0
9,3068,8190,begin rn,6210,load currently take optional second argume,independent,0
10,16,16987,enumeration designed greedy immedi,17312,offspring vague,relates,1
11,3009,10087,change add new target cpu structur,2643,beginrn hi ryan davis rn rn wri,independent,0
12,1669,8190,begin rn,10322,ive added line indicating st,independent,0
13,890,13261,issue tracking gem release sdbm,5481,beginrnrnuptodate summary propo,relates,1
14,6179,14781,alternative proposal objectenumer,11170,patch variablec extract common funct,independent,0
15,175,14430,instead using tcpsocketopen wrapped ti,15553,currently use timeout nethttp oth,relates,1
16,206,16166,parameter signature code block,4414,beginrn im wondering whether following,independent,0
17,645,8848,commit yui naruse added stringb,10391,occasionally need use string l,relates,1
18,411,12447,sometimes want extract digit placeva,12116,sometimes need apply divmod repeatedly,relates,1
19,2085,14077,encoding class constant defined,10463,mark literal symbol,independent,0
20,3639,11629,list exception raised netsm,11664,rb autoload value may safer preventing,independent,0
21,6438,9071,see discussion,5005,languag allows class reopened,independent,0
22,969,4151,beginrn hirn rn method,5008,beginrnhellornrni using ruby,relates,1
23,5593,4504,beginnrb fails pas block rb,12161,bigdecimals inspect humanfriend,independent,0
24,191,15198,frequently find needing determine,16928,hirnrnthe ruby array class currently,relates,1
25,1027,10084,unicode string normalization frequent ope,2034,beginrn consideration recently giv,relates,1
26,704,7939,beginrni really like new assuming,6817,know propose significa,relates,1
27,4158,8016,beginrnall previous issue discussin,16773,minor patch help reduce alloca,independent,0
28,3003,12268,use extend self instead mod,6277,beginrnmany time hash uniform key,independent,0
29,6487,10090,aix process listing displayed th,6270,would work like thisrnrn foo,independent,0
30,4430,15010,currently multiple array allocated,5590,begin pgp signed messagern hash,independent,0
31,877,5677,related proposal rubycore,15017,hirni see ruby already use sigaction f,independent,0
32,678,9108,hirnrni seem regularly requir,8499,according experience following two,relates,1
33,5025,15172,backgroundrnrnthis proposal emanates f,4688,documented functionslast functionscount,independent,0
34,826,13600,one main use case would make yie,6284,would nice able compose procs l,relates,1
35,531,13137,update javascript added object shor,11105,support hash literal,relates,1
36,104,16289,problemrnrncurrently interpreter e,16345,propose ruby doesnt emit deprecation,relates,1
37,6760,14116,add exponentiate method result retur,5281,fhs system might beneficial allo,independent,0
38,210,14912,propose new pattern matching syntaxrnrn,17260,propose promote pattern matching offic,relates,1
39,696,8206,discussion porting,8110,useful method allowing pattern,relates,1
40,2039,17121,envindex deprecated since,3835,beginn resolvdns code implementing dns,independent,0
41,821,6817,know propose significa,6373,recently suggested extens,relates,1
42,714,7836,see following codernrnrubyrnmodu,9781,rnwhen super called method rub,relates,1
43,311,13395,seem method ruby,12075,sometimes write following codernrnru,relates,1
44,4973,6611,folkrn rn ive implemented twister ne,13252,hirnrnid like c api allow,independent,0
45,7130,16555,id like add nethttpverify hostname,8229,id like suggest extend hashinclude,independent,0
46,194,12820,hellornrnthe patternrnrnrubyrnc,15192,motivationrnrnintroduce new syntax,relates,1
47,3247,6895,beginrn abstractrnrnlets introduce tr,10254,order allow iteration element,independent,0
48,228,12912,dont allow range without end like,14697,enumeratorarithmeticsequence ha,relates,1
49,4536,12654,window ntfs support unicode,2117,beginn guess best way explain,independent,0
50,616,9420,since added use writev sho,9323,propose addition iowritevrnit enables,relates,1
51,4571,7299,ruby completely ignore blocksrn,12017,seems reasonable application load,independent,0
52,120,5481,beginrnrnuptodate summary propo,16170,im working extract standard library r,relates,1
53,828,6241,beginrncurrently modulemethod defined,5673,significant reason undef met,relates,1
54,1073,17473,pathname one useful utility class,16102,since symbol proc method n,independent,0
55,808,14133,module class reopened change,6539,feel inconsistency meth,relates,1
56,4188,4093,beginn ive reworked main nethttp rdoc,16754,help message help getting longer,independent,0
57,6009,10123,broken using rnrnrn echo,10183,method class special alway,independent,0
58,6523,7418,id like propose method return,17326,abstractrnrnwe add method kern,independent,0
59,3993,17287,patch would like merge,16913,add iterator file supplied,independent,0
60,1080,8834,intended difference kernelrequir,14056,attached patch allows make method,independent,0
61,503,15093,currently ruby head following giv,3399,beginrn gdbrn,independent,0
62,1,6521,ive added patch cover kernel module docu,13801,keeping class semantics set sho,independent,0
63,958,5543,first rb thread blocking region requires th,4328,beginrn think general enough rem,relates,1
64,239,11741,git svnrnrnconverting ruby wholesale,14551,know migrating git get asked least eve,relates,1
65,624,9049,nmatrix weve implemented range shortha,14044,described numonarray pycal,relates,1
66,1011,3426,beginrn documentation exec state,2715,beginrn old issue think going,relates,1
67,47,16345,propose ruby doesnt emit deprecation,17000,matz decided disable deprecation warnin,relates,1
68,2526,11534,rubyrndef foorn f,16638,sysloglogger appears conform,independent,0
69,5836,2408,beginrn currently linux may get thi,12245,related feature think,independent,0
70,1014,1279,beginrn please add relevant dtrace prob,2565,beginrn hirn rn made commit e,relates,1
71,397,12543,introducing new syntax tail ca,6602,hirnrnsome hour ago matz proposed turni,relates,1
72,2351,6594,know developer meeting coming,13544,currently way load instruction,independent,0
73,6411,10590,getting current gc state gclatest gc info,4691,use private method rnrnreq,independent,0
74,1739,13676,callrnrn setnewr,5922,ruby doc equal method neve,independent,0
75,367,14055,following string symbol method cu,12786,descriptionrnrni would find stringcasecmp,relates,1
76,6025,11081,case process encounter highnumbered fds,14092,dont work tempfile often every ti,independent,0
77,439,12116,sometimes need apply divmod repeatedly,4787,suggest new feature integer enumerat,relates,1
78,7239,14268,rnany comment commit day,12755,id like propose ruby infrastruct,independent,0
79,1000,3388,beginrn abcdefghijstar,13712,stringstart receive regexprn,relates,1
80,35,17100,ractor proposal new concurrent abst,17145,id like propose objectdeep freezern,relates,1
81,2043,14777,hirnrnas mentioned,14788,sometimes need fetch k,independent,0
82,1306,17551,pattern matching powerful feature b,2984,beginn would awesome string,independent,0
83,1997,8709,o dirglob dir return ordered,15123,hirnrnwhile enumerable provide,independent,0
84,456,12026,add simple way filter warning,17122,deprecation warning warning rub,relates,1
85,640,8921,would handy select could accept r,11049,sometime want grep like operation,relates,1
86,223,13618,rnauto fiber schedule rb wait sin,14736,ruby concurrency greatly enhanced co,relates,1
87,68,16786,abstractrnrnwe propose introduce li,16792,currently mutex cruby held per thread,relates,1
88,4034,12655,took task make looksee gem wor,12083,think bindinglocal variable get bind,independent,0
89,3519,12665,current version method prime,5528,would nice see better api set,independent,0
90,208,14912,propose new pattern matching syntaxrnrn,15918,currently set respond deconstr,relates,1
91,530,6613,support vt record variant,6758,beginrnrn objectsequencernrnlet,independent,0
92,6049,16838,ruby enumeratorrnrn ru,14585,abstractrnrni propose add method,independent,0
93,6376,8688,beginrnhi therernrnkernelsprintf shou,11700,basicsocket reverse lookup,independent,0
94,1619,9401,please angry close th,6534,ive added patch cover delegator,independent,0
95,4233,5623,add documentation complex,7872,beginrnis expected behaviorrnr,independent,0
96,6785,6622,operator defined alias exi,9892,github support show contributing guideline,independent,0
97,267,11256,since capturing block proc slow f,14045,backgroundrnrnif need pas given b,relates,1
98,61,14138,many good reason simply define,16963,englishrb longer maintained ruby cor,relates,1
99,6483,16763,msc ver differs previous version,15612,sometimes local variable,independent,0
100,7275,17414,current situation limitingrnrnu,11817,id like suggest new method parallelr,independent,0
101,162,15751,similar nameerrorreceiver return,16419,exception class receiver accept r,relates,1
102,4672,10585,define optimized setter first,15571,proposalrnthe rubygem root provides,independent,0
103,4257,15289,abstractrnrnto enable tracepoint spe,9585,please add method object,independent,0
104,588,10085,case conversion function currently limite,10002,hi ruby version problem,relates,1
105,304,13577,first argument file,13568,using filetmpfile tmpfile allows u,relates,1
106,3662,8168,abstract proposal single statement lambda,9758,currently nethttp send single,independent,0
107,4437,16602,would make sense eval frozen stri,4682,fix indentation mathnrb,independent,0
108,7214,6518,let object link rdoc output formattin,9981,netsmtpsend message write,independent,0
109,127,16038,know objectspaceweakmap isnt really sup,16471,id like request two feature weakref,relates,1
110,110,12125,hellornrnthe operator let one pas,16275,objmethod introduced,relates,1
111,158,6002,beginrni propose call ioadvise fileu,15261,would like propose exponsing rl variable,independent,0
112,1018,3112,beginrn whyrnendrn,2340,beginn yaml syck why product,relates,1
113,7367,7181,patch add new method opensslocsp,4233,beginrn intentional used vi,independent,0
114,953,4512,beginrnits use,1291,beginrn linux useful cloex,relates,1
115,451,5781,pretty sure come id l,12046,write accessor method bo,relates,1
116,2404,17479,backgroundrnrnthere currently way,14887,class inherits array del,independent,0
117,5906,9785,proposing dirchdir block b,16818,range introduced alias range,independent,0
118,115,16253,using thisrnrnrubyrn def,16378,think important otherwise,relates,1
119,962,3282,beginn currently running debugg,17165,use case map enumerable,independent,0
120,5760,10238,malloc usable size show near top,8919,queue class libthreadrb extthreadthrea,independent,0
121,334,13173,issue tracking gem release webr,5481,beginrnrnuptodate summary propo,relates,1
122,1323,6210,load currently take optional second argume,9328,pointless check cloexec work af,independent,0
123,268,14045,backgroundrnrnif need pas given b,14267,following script consistently print proc,relates,1
124,1039,4073,beginn suspect ruby mi,1784,beginn glad see there build,relates,1
125,290,13767,order ruby used scientifi,14722,way implement even copy pyth,relates,1
126,317,13248,issue tracking gem release gdbm,5481,beginrnrnuptodate summary propo,relates,1
127,7017,9678,whatever worth ive,4514,beginrntheres often need deep cl,independent,0
128,216,13685,unicode published week ago,14802,unicode version published somet,relates,1
129,1698,10740,spec becaus,5610,unix system often debug user,independent,0
130,5374,9450,ruby team hashing future,11952,since poor precision want u,independent,0
131,381,16175,new keyword freeze intro,5805,would like see object hexid added rub,independent,0
132,3837,8859,hirni think would useful,13517,rninstead relying native conditio,independent,0
133,845,12775,often see use case randomly sample sub,16686,need write script requesting h,independent,0
134,846,5903,given preparation patch alr,12142,rn hello following patch contains,relates,1
135,66,11925,propose make struct subclass constructor w,16806,proposalrnrnrbrnpost structnew,relates,1
136,5209,5658,beginrncurrently method mkmf,13333,currently block take block bl,independent,0
137,159,15752,believe introduce module exp,15966,feel frustrated recent experimenta,relates,1
138,385,12648,would like pas optional argument,15725,hellornrni would like propose four new,relates,1
139,902,5120,example showing surprising inc,3575,currently work like thisrnrnrubyrn,relates,1
140,4098,9515,io class pair class meth,15624,currently nethttp hasrnrnrn def,independent,0
141,6899,6819,beginrnopenssldigestnew allows,13936,ruby kind feature allow pr,independent,0
142,44,12299,another attempt provide ty,17122,deprecation warning warning rub,relates,1
143,991,3714,beginrn given enumerator wa,14044,described numonarray pycal,relates,1
144,139,15752,believe introduce module exp,15966,feel frustrated recent experimenta,relates,1
145,330,13183,issue tracking gem release date,5481,beginrnrnuptodate summary propo,relates,1
146,7479,10366,currently rational inspection expressed wi,7220,calling stringioinitialize copy cause tw,independent,0
147,1172,9556,kind alternative,10519,hello rnrnit seems ability fo,independent,0
148,7126,8458,simple method definedrnrnclas,17327,often create queue process w,independent,0
149,671,8568,fixnumsize really useful represent,8553,changing bignumsize well defin,relates,1
150,4297,6507,beginrnone feature rebol pro,12967,stand ruby heap grow rate,independent,0
151,5892,11710,setmerge method currently mutates cal,11087,rail implemented objectinstance valueshtt,independent,0
152,2037,13048,relatively common call regexpnewre,15226,actual implementation resolvedns defi,independent,0
153,1003,3187,beginrn id like way increase size,6694,abstractrnrnsupport threadnew without,relates,1
154,621,10084,unicode string normalization frequent ope,9111,beginrncurrently string con,relates,1
155,7158,12380,issue somewhat flavor,13118,useful array return repeated p,independent,0
156,1084,15663,semantics autoload extremely compli,6154,nonblocking io operation started extendin,independent,0
157,884,13186,issue tracking gem release zlib,5481,beginrnrnuptodate summary propo,relates,1
158,1969,7614,beginrnprior issue reminded ive,1927,beginrn function rb readdir seems,independent,0
159,509,11473,matz said string literal immutable,8976,yesterday facetoface developer mee,relates,1
160,941,4780,mentioned another rejected issue,4615,beginnfileeach linesep line c,relates,1
161,6215,9590,rnhellornrni think ill introduce st fo,10445,ive made patch matrix return new,independent,0
162,70,14736,ruby concurrency greatly enhanced co,16786,abstractrnrnwe propose introduce li,relates,1
163,5757,6243,super ruby developerrni want make ru,12057,trying figure yield work pyth,independent,0
164,978,4257,beginn switch hittered already passed nearl,4068,beginn current standard date library,relates,1
165,7046,9400,raising error without defining exce,13551,doesnt seem intuitive way,independent,0
166,6277,11629,list exception raised netsm,4093,beginn ive reworked main nethttp rdoc,independent,0
167,1020,5607,beginrnwhen tried access excel file,2323,beginrn surfboard e,relates,1
168,3117,11938,stdlib avoid extra call eliminate fr,13263,following heel adding method int,independent,0
169,523,11207,make code maintainable,10445,ive made patch matrix return new,independent,0
170,6488,12810,hello everyonernrnive toyed bit,13095,ioc rb syscall remove deprecation notice,independent,0
171,764,11420,let introduce id key table optimization,6962,ive experimented replacing struct st ta,relates,1
