,id1,Description1,id2,Description2,Type of dependency
0,91745,  When will it come?\r\nThx\r\nStefan,6354,   Implement/finish customer addresses and implem...,independent
1,80689,"   As for the result of the polls [1],\r\n\r\nthe...",71251,"   Flash messages have different queues, dependin...",independent
2,13515,"   workspaces -> empty ""notification dropdown"" sh...",3109,   It seems to be not supported by t3lib_htmlMail...,independent
3,3264,"   Hi,\r\n\r\nI'm not sure, if the standalone ver...",50136,   - SVG is missing a image icon (svg_icon.png)\r...,independent
4,13948,   We need a banner that announces the T3BOARD11 ...,12348,   It would be great to implement a pagebrowser i...,independent
5,77336,   Currently there is no way to inject an own lis...,1011,   optionally show select all link,independent
6,17123,   While writing an AJAX FE plugin that needs to ...,5915,"   There seem to be a lot proxies out there, whic...",independent
7,76700,   I think it would be nice to provide data such ...,37820,   Validators currently can invent any option on ...,independent
8,35965,   By default session handling is started automat...,65040,   Drag&drop functinality for FAL uploads works r...,independent
9,19852,   Allow to assign lang attribute to elements.\n\...,60605,   http://www.t3blog.com/\r\n\r\nWe will move t3b...,independent
10,4054,   I have hard-coded a solution that considers se...,14462,   Add stdWrap - functionality to\r\nselect.order...,independent
11,42169,   Right now you can replace placedholders in tra...,28414,   It would be very nice to see the free places o...,independent
12,65005,   Make script return non-0 exit code on error:\r...,85254,  *Use case:*\r\nIn a form which creates a datab...,independent
13,2575,   Being able to set the sorting field for record...,61733,   New special Content Designer elements for IRRE...,independent
14,28601,   It is already possible to do multiple stdWrap-...,18780,   I propose to exchange the table-rendering by d...,independent
15,23906,   To be able to change the col position list bef...,32373,   As an additional use case it should be possibl...,independent
16,32267,   Organiser News will be extended with two field...,10429,   If there are parameters in URL (eg. &something...,independent
17,60433,"   Thumbnail generation fails for audio, video, d...",25719,   h2. BOTH\r\n* Gebäude (building)\r\n\r\nh2. PE...,independent
18,60996,   In order to make the usage of logging api easy...,41513,   How to change Surf to work with Composer\r\n\r...,independent
19,68872,   Blanket issue about the Fluid reintegration pr...,8372,"   Implement a way to display a localized notice,...",independent
20,15808,   I have the width and height for an img_resourc...,16651,   Ability to configure the showPermaLink boolean...,independent
21,17385,"   In indexed_search documentation, section \r\n""...",3664,"   Hi, \r\n\r\nin the setup module some things ar...",independent
22,43316,   s.t.\r\n,31948,   The typoscript in style1 to style5 sometimes i...,independent
23,45761,   We need a banner for typo3.org showing that we...,35463,   we need a new stage area for the developer day...,independent
24,27618,   Enable paging in the data-grid so that only a ...,3304,   For planning of the FLOW3 release (and other r...,independent
25,48085,   See attached file: it would be nice if the opt...,37731,   noItemMessage becomes cObject\r\n\r\nplugin.tx...,independent
26,47471,"   Hi,\r\n\r\nI have created a test for disk spac...",81840,  The `doctrine/collections` package is already ...,independent
27,30019,   I would like to add multiple crawler configura...,18095,   For access control queries use a time rounded ...,independent
28,37617,   Currently gzipped RSS-Feeds can't be read. t3l...,33749,   Integrate File Abstraction Layer API to t3lib_...,independent
29,71802,   Currently the activation of the APC-Preset in ...,19698,   When searching for updates of installed/loaded...,independent
30,41358,"   currently, only ""raw"" plain PHP constants can ...",28321,"   Hi guys,\r\n\r\nyout Ext is great!!\r\n\r\nI m...",independent
31,28613,   Adds some minor modifications for restructurin...,2506,   Currently arguments of a controller must be re...,independent
32,81455,   Rather than force the consumer to implement lo...,52165,   5.9.149 -> 6.0.031,independent
33,15609,   This new method provides the ability to use re...,87074,  To get this feature:\r\nhttps://www.w3schools....,independent
34,53091,   Each category object has a relation to its par...,2880,   Create a tx_ptmvc_controllerFrontendTabbed ext...,independent
35,1830,"   Hi Martin,\r\n\r\ni'd appreciate to see a modi...",89076,"  Hi,\r\n\r\ncan you please add a translation fo...",independent
36,38080,   Use the backend module dispatcher for the tsco...,40068,   The new tt_news-indexer adds the URL-parameter...,independent
37,789,   Payment of registration by paypal etc.,11701,   I've started to rewrite the main function of p...,independent
38,66603,"   Hi,\r\n\r\nFor now, it is not possible to use ...",78358,"   Using the functional test framework, one can t...",independent
39,44328,"   Is it possible, to add the event title to the ...",2209,   The select view helper needs to handle domain ...,independent
40,32840,"   Attachments would be easier to handle, if they...",18657,   The content of backend forms should be saved (...,independent
41,49565,   Implement Dutch translation in locallang.xml:\...,92778, TYPO3 should provide a way to programmtically ...,independent
42,78122,   *Current situation*: comment plugins is attach...,71324,"   In the access tab of any type of record, when ...",independent
43,41378,   This is needed to the Composer post-install sc...,15553,   IMHO page icon should change somehow to reflec...,independent
44,20431,"   Although the class offers an attribute ""recipi...",44877,"   Hey team,\r\n\r\ncurrently the TYPO3 Flow and ...",independent
45,14870,   The relPathPrefix-Setting will not be applied ...,4135,   Possible focus:\r\n* Generation of pretty down...,independent
46,6381,   See subject,34824,"   The help pop-up is so annoying, can it be disa...",independent
47,32307,   s.t.,25137,   The new ajax page tree extension has the featu...,independent
48,71038,   The @ExtensionCommandController@ provides the ...,19343,   This hook allows to add additional tabs to use...,independent
49,41347,   Many features of getImgResource are currently ...,43327,   With drag and drop in the Pages module it woul...,independent
50,43234,   The database function searchQuery can build qu...,37156,"   At the moment, insecure extensions are only ma...",independent
51,1546,   This feature implements a dynamic loading by u...,33218,"   Eine Möglichkeit Redakteure anlegen zu können,...",independent
52,50262,   I think we should add keywords to the composer...,69464,   With setting languageTitle = 2 and having give...,independent
53,82625,"  Hi All,\r\n\r\nthe idea is to load first the f...",69794,"   Currently, the MemcachedBackend only supports ...",independent
54,6640,   It would be interesting to have an implementat...,14678,"   Situation: I create a new page , e.g. ""Page_Ne...",independent
55,10821,   It seems that there's no way to output the Fla...,76133,"   I want to suggest ""extending"" the @clearCache@...",independent
56,18594,   It would be nice if selected has stdWrap prope...,47697,"   User must be able to save RDF, RSS and ATOM Fe...",independent
57,75241,   We should extend our Nginx proxy servers with ...,9753,   The data that is delivered must be visualized ...,independent
58,6668,   Caretaker is already storing node-role-address...,40463,"   Hi mates,\r\nI think that could be usefull add...",independent
59,90484,"  Hello dear,\r\n\r\nthe ViewHelper TYPO3\CMS\In...",84814,  With the QueryBuilder it's currently not possi...,independent
60,49478,   Its already possible to show debug outputs for...,17792,"   When using any RTE, there is no way to prevent...",independent
61,33826,"   Hy Guys,\r\nunfortunately the Browser doesn't ...",70,   As a convenience function (eg. in the Property...,independent
62,87897,"  Meaning, I would like to add another link cate...",5162,"   At the moment, there is already an interface t...",independent
63,52170,   TYPO3 misses a brute force protection for the ...,26284,   Idea:\r\nInclude formalize.me for making forms...,independent
64,69496,   There used to be a feature in indexed search w...,45421,"   Hello Kurt,\r\nfirst at all did you make a ver...",independent
65,3526,   Use eID API for graphical and audio captcha ge...,15954,   HTML defines a number of entities that should ...,independent
66,86880,"  It would be nice if we can ""view"" the password...",2281,   For large images it could be useful to scale t...,independent
67,90444,  After the page layout module has been rewritte...,5149,   To count results currently something like this...,independent
68,1052,"   Ich denke, das es besser wäre, wenn man in der...",19859,"   As of version 9.62, Opera has fixed most bugs ...",independent
69,13710,   From hemmer.ch:\r\n\r\nCurrently it's not poss...,29758,   All settings are just defined in typoscript. T...,independent
70,24842,"   Today, t3lib_befunc::getProcessedValue has two...",17640,   this is a tiny feature but IMHO very useful. I...,independent
71,5202,   Implement effect shear using SVG,75385,   Today I evaluated the extension with focus on ...,independent
72,49998,   Your extension is also designed for the extens...,33749,   Integrate File Abstraction Layer API to t3lib_...,independent
73,11720,   Templates and coding are very complex. They ne...,78904,   if respectWordBoundaries = true and language =...,independent
74,60244,"   It would be nice, if the output of the questio...",9755,   Implement a modal window in ExtJs (take existi...,independent
75,22303,   The attached patch rewrites the RTE spell chec...,6696,   Configure sorting order of results,independent
76,25177,   I would like to introduce a possibility to dis...,87889,  Add possibility to modify admin URL @/typo3/@ ...,independent
77,50519,"   Hello,\r\n\r\nonce there was #17037 to make sh...",21201,   The path displayed in the search hits can beco...,independent
78,87670,  The clear all caches button can be activated i...,29296,   This patch request adds the possibility to def...,independent
79,39622,   RequierJS (http://requirejs.org) is a JavaScri...,37156,"   At the moment, insecure extensions are only ma...",independent
80,4153,   Add sorting icons vhen orderLinkInTitle is use...,18755,   I have two trees in my typo3 installation:\r\n...,independent
81,17709,"   Hi,\r\n\r\nIt's possible to add a typoscript o...",80771,   Provider a generic static status error / page ...,independent
82,54515,   Please enable stdWrap for highlighted words in...,3938,   Check if it's possible to use the built-in TYP...,independent
83,15960,   Given that it's possible to check which method...,25895,"   Currently, RemoveFormat doesn't strip all the ...",independent
84,78404,   Acceptance Test for Scheduler task\r\n,27015,   __sleep has to iterate over arrays/collections...,independent
85,88921,  h2. what\r\n\r\nthis event can be triggered to...,9288,   The current implementation of getSingleNavigat...,independent
86,46908,"   Hi,\r\n\r\nif you delete a page it will remain...",9768,   Imagine:\r\n1.) You install an oldschool exten...,independent
87,27339,   Above the content are a few links to add recor...,83710,"  Its important for me, to set the title as an R...",independent
88,59976,   https://wiki.mozilla.org/Thunderbird:Autoconfi...,1629,   Assign to the configuration array in tx_musicv...,independent
89,79196,   It maybe necessary to reload the toolbar menu ...,86983,  Our automatic deployment use @typo3_console@.\...,independent
90,7186,   Add french translation,11443,"   From http://opensource.dynamoid.com/ :\r\n_""Ig...",independent
91,48588,"   It would be nice, if this properties have stdW...",54603,   When installing an extension with dependencies...,independent
92,2600,   I am willing to add the French translation in ...,34283,   Render custom header controls by using a rende...,independent
