,id1,Description1,id2,Description2,Type of dependency
0,40046,   Current BE user could have an option to send n...,21660,   Currently the password change facility does no...,independent
1,27400,   At the moment [-] and [+] are hardcoded in t3b...,16778,"   Imo, there should be the possibility to assign...",independent
2,2589,   It would be really great if the spellchecker p...,85994,  It is currently possible to create or modify s...,independent
3,54954,   This extension has two problems with upcomming...,23259,   This feature request unifies the two menu item...,independent
4,61366,   Hi! \r\n\r\nIt would be great if you could add...,15515,   coudl it possible a simple hilight on rollever...,independent
5,81528,   * extensions.typo3.org,39393,   Would be nice if a redacteur could select the ...,independent
6,60469,   I think it would be useful to initialize the r...,83175,  The new page tree shows a modal prompt when a ...,independent
7,22548,   When typo3 server is behind an SSL terminator ...,44888,   We had two problems with approval mails:\r\n# ...,independent
8,55594,   There should e a download icon :),10811,   @see http://typo3.org/extensions/repository/vi...,independent
9,27803,   Here is a patch to add t3lib_div::getFileAbsFi...,81363,   Form elements already have a few options to co...,independent
10,10413,   The catmenu should be easaly configurable by f...,37796,   Lots of bug fixes and support for responsive d...,independent
11,17681,"   Would be nice to have the ""wrapItemAndSub"" for...",20102,   There should be an easy and short way to get t...,independent
12,6388,   I've attached a diff with additional German te...,42110,   If in an custom Workspace someone changes the ...,independent
13,30233,   Maybe it would be more comfortable for comment...,61993,"   Hey Folks,\r\nI discovered that Page CSS from ...",independent
14,79262,   <pre>\r\n$queryBuilder->expr()->comparison(\r\...,76895,   Proposal to add an option to enforce HTTPS if ...,independent
15,55950,"   If you go to list module, the extended clipboa...",37199,   Actually unsecure extensions are marked red in...,independent
16,50828,"   The fallback storage ""zero"" (uid:0) shall be r...",15099,   It is impossible to create a temporary DB moun...,independent
17,8506,   Add contextual help for all fields.,33838,"   As I need some JSON object storage in FLOW3, i...",independent
18,83734,"  When using the TS property ""config.cache"", it ...",45719,   Change several logo's according to new brandin...,independent
19,69389,   The Icon API needs an option for spinning icon...,1305,   nice to have ;-),independent
20,71500,   https://docs.typo3.org/typo3cms/CoreApiReferen...,15419,"   Hello,\r\n\r\nI would like to have a checkbox ...",independent
21,2300,   dito,33581,   So far FLOW3 context is limited to Development...,independent
22,60130,"   Guys could you, please, add tq_seo to Translat...",31521,"   Hi, just adopted for TYPO3 4.6. Works fine.\r\...",independent
23,1217,   It would be very nice to import the product-im...,41067,"   I was playing with the ""stdWrap.cache"" feature...",independent
24,49064,"   Hi, all\r\n\r\nTo use a cookie free domain for...",51848,"   Hi,\r\n\r\nSituation:\r\ni just loaded the 6.1...",independent
25,48742,   Rather than using typo3's own onload implement...,4417,"   It would be very usefull, if creating link att...",independent
26,15235,   I have activated the Acronym Plugin for IE man...,87737,  Right noch ExtensionUtility::checkExtensionNam...,independent
27,55793,"   groupBy is supported by Doctrine, but at the m...",16733,"   It would be nice to have an option, where an a...",independent
28,90012,  Some websites providing JavaScripts require on...,55355,"   Hello there,\r\n\r\nit often happens in bigger...",independent
29,28359,   Automatically create vCards based on the given...,19824,   Clear RTE cache option will be added to the BE...,independent
30,78757,   Using DCE containers in a column of gridelemen...,7812,   Add a field for plugin specific TS configurati...,independent
31,18652,   When using workspaces with autocreation of ver...,36172,   umbrelle issue for cleanup and update\r\n\r\nN...,independent
32,4499,   Formatting does not seem to clear at the botto...,7621,   Currently category-records are selected from t...,independent
33,67453,"   Now on logout, one can only redirect to $this-...",9478,   Had some experience with this EXT i try to use...,independent
34,37856,   I tried to do this with CSS but I could not wo...,50900,"   Hey, me again.\r\n\r\nI'd like to ask, if you ...",independent
35,35066,   It's a blog - so why is the comment on comment...,77745,"   It is possible to disable the ""create new reco...",independent
36,83087,  * integrate decisions.typo3.org categories int...,87300,  TYPO3 allows to use multiple sessions per user...,independent
37,29995,"   Add new options from ""Pending Documentation"":h...",36796,"   Use FAL file properties ""name"" and ""alternativ...",independent
38,41068,"   Dear All,\r\n\r\nI have add this to my typo3co...",49814,   Currently the extension is only accessible to ...,independent
39,40555,   Currently you can not execute a sub command (h...,7964,   We need the curl option CURLOPT_INTERFACE to b...,independent
40,33710,   i know you can change the Configuration based ...,53885,   Indexed Search only indexes pages when sys_lan...,independent
41,58633,   Currently the pages indexer only takes the tit...,19343,   This hook allows to add additional tabs to use...,independent
42,41002,"   It would be nice, if you could insert more tha...",57762,"   Sphinx Console allowed links to be checked, th...",independent
43,25510,   when the user places the cursor after an brack...,537,"   Among the things that can be displayed on ""My ...",independent
44,2880,   Create a tx_ptmvc_controllerFrontendTabbed ext...,62877,   In order to streamline the JavaScript\r\ncode ...,independent
45,62335,   Backend app focussed on managing backend user ...,48862,   We wanted to integrate the phpoffice/phpexcel ...,independent
46,79317,   *Scenario*\r\nUser with no HTML-Knowlegde adds...,61902,   Is there a chance to add random sorting ?,independent
47,42055,   I've set up an distribution using the v6.0 cor...,20067,"   Some RTE features that insert content, usually...",independent
48,565,"   Hello Sebastian,\r\n\r\nplease add the categor...",26953,   we would like to use rgnewsce in connection wi...,independent
49,18814,   The function checkAccess() in typo3/classes/cl...,73570,   Make it possible to extend content elements or...,independent
50,33152,   I tried simpliRobots (thank you very much for ...,54717,   It's useful to get a relation to the chats,independent
51,89727,"  As there is a field in link popup for ""normal""...",25741,   It would be nice to have a condition in TSscri...,independent
52,45377,   It would be great to have a ViewHelper for eas...,532,"   hi folks,\r\n\r\nI need the possibility to upl...",independent
53,59563,   The Browser should support local table and for...,12528,"   Hy guys,\r\nThe browser removes empty marker l...",independent
54,72409,   If you place a f:form viewhelper with method G...,15542,   It would be great to have following:\r\nIn Use...,independent
55,22025,   If you have a login box on each of your pages ...,50391,   Deleting a record will also delete all records...,independent
56,15550,   I missed the option flag to show the content a...,6166,"   Hi,\r\n\r\nI've added a TypoScript option, if ...",independent
57,86620,"  It would be realy nice to have a button ""Updat...",3810,   There are situations when few combined project...,independent
58,1177,   It would be nice to have a searchform for the ...,6190,   This feature was suggested by Jean-Baptiste Jo...,independent
59,2679,"   Hi,\r\n\r\nis it possible to have also TSCONFI...",34867,   Consider the following use case:\r\n\r\n<pre><...,independent
60,81,   Currently all tests get a complete copy (inclu...,16824,   I want to make an extension that changes behav...,independent
61,62881,   Please create and implement a fluid stand alon...,20987,   Greek transliteration is missing in Translit.t...,independent
62,13305,   I suggest the following improvements for the l...,83912,  When adding a redirect finisher to a form crea...,independent
63,49899,   Sets the page title in template for both $GLOB...,28622,"   Add a BasicService to the Install Tool, which ...",independent
64,29068,   Since image rendering in css styled content is...,54534,"   When using the email form validation, there sh...",independent
