,id1,Description1,id2,Description2,Type of dependency
0,87457,  This patch introduces the requirement to symfo...,93197,Right now only the property @var annotation ca...,relates
1,75043,  Please use .gz instead of .gzip for statically...,93182,Make the compressed file extension configurabl...,relates
2,93170,I would suggest to deprecate the following pag...,93171,Introduce a fallback site configuration to be ...,relates
3,93170,I would suggest to deprecate the following pag...,93171,Introduce a fallback site configuration to be ...,relates
4,75266,  There should be a possibility to have at least...,92903,It would be great to be able to arrange FlexFo...,relates
5,89509, Fluid does not provide a way to access flexfor...,92875,The tCA allows the field flex. I want use some...,relates
6,92297, This is one of several possible solution to ig...,92822,"As already mentioned the problem of ""false pos...",relates
7,36075,   In the original concept for the new Page-Tree\...,92576, h2. Use case: \r\n\r\nIt is possible to filter...,relates
8,89177,  The linkvalidator's default PageTsConfig curre...,92542, We repeatedly have errors in the log due to in...,relates
9,92432, <pre>\r\nImported from T3cm 2020 (https://note...,66343,"  At the T3UXW15 we get the feedback, that hotke...",duplicates
10,80212,  Here's a longer term idea (proposal): move all...,92431, To be able to version the configuration and re...,relates
11,89509, Fluid does not provide a way to access flexfor...,92402, The FlexFormService should convert values into...,relates
12,82212,  The current FlexForm storage method is only aw...,92402, The FlexFormService should convert values into...,relates
13,88147,"  Hey,\r\n\r\ncan you maybe set configurable pat...",92364, In the sitemap of sysext seo the stylesheets c...,relates
14,15760,   Is is possible to support LLL-Markers in this ...,92337, Please reopen #15760 from 2006-03-03\r\n\r\n> ...,copied_to
15,92297, This is one of several possible solution to ig...,92822,"As already mentioned the problem of ""false pos...",relates
16,78931,  Actually ajax is used for hide/unhide or delet...,92295, It'would be nice if it were possibleto to sort...,relates
17,83461,  Currently it is really hard to get to the actu...,92283," In the backend forms, the fieldnames are displ...",relates
18,92088, Hi!\r\n\r\nIt would be great to think about us...,88537,"  Hey,\r\n\r\ni think that support for WebP imag...",duplicates
19,92009, To ease using the backend to newcomers of TYPO...,92008, The LiveSearch (the search in the topbar) coul...,relates
20,92009, To ease using the backend to newcomers of TYPO...,92008, The LiveSearch (the search in the topbar) coul...,relates
21,24019,   The current implementation always adds new IRR...,91788, With long IRRE lists it can be useful for the ...,relates
22,88818,  h1. Use Cases are:\r\n\r\n*kriss toff [17:09]*...,91619, I have a one tree installation with two langua...,relates
23,91081, A follow-up for #91080.\r\n\r\nThe site settin...,91080, In older TYPO3 versions it is possible to defi...,relates
24,91080, In older TYPO3 versions it is possible to defi...,89102,"  There will be site wide settings available, th...",relates
25,91081, A follow-up for #91080.\r\n\r\nThe site settin...,91080, In older TYPO3 versions it is possible to defi...,relates
26,90826, Since #90533 the comparing of be_user records ...,90478," Hi,\r\n\r\nI would like to make a suggestion f...",relates
27,90825, This is a kind of follow-up of ticket #22113\r...,22113,   Sometimes it's necessary to link to an explici...,relates
28,84656,  It might be useful to set the target language ...,90825, This is a kind of follow-up of ticket #22113\r...,relates
29,90478," Hi,\r\n\r\nI would like to make a suggestion f...",90298, The user information in the beuser module is c...,relates
30,90826, Since #90533 the comparing of be_user records ...,90478," Hi,\r\n\r\nI would like to make a suggestion f...",relates
31,90181, TagBuilder::addAttribute() currently cannot ad...,90386, Rather than reproducing a bunch of XHTML API i...,relates
32,90374, Creating a new file reference in frontend cont...,88833,  Related to https://forge.typo3.org/issues/4896...,relates
33,87856,  TYPO3 LTS v8 and v9 require Swiftmailer with v...,90370, Use @egulias/email-validator@ for email valida...,relates
34,78036,  If you rename a folder in the filelist and hav...,90325, *Prerequisits:*\r\nTypo3 v8.7.30 (most likely ...,relates
35,90298, The user information in the beuser module is c...,52141,  With the rewrite of the module BE-User-Adminis...,relates
36,90478," Hi,\r\n\r\nI would like to make a suggestion f...",90298, The user information in the beuser module is c...,relates
37,64047,  The current way to go when implementing mail d...,90266," TYPO3 sends out various emails, it would be be...",relates
38,90243, It would be nice to have a message field in th...,84849,  As a user I want to be able to add a link or s...,relates
39,88470,  We have a lot of customers who are migrating f...,90243, It would be nice to have a message field in th...,relates
40,90181, TagBuilder::addAttribute() currently cannot ad...,90386, Rather than reproducing a bunch of XHTML API i...,relates
41,83834,  In order to allow the debugging of YAML config...,90052, To ease debugging of the form yaml configurati...,relates
42,89979," AFAIK, such a method does not exist.\r\n\r\n\r...",22985,   Sometimes I need locate page in page tree by u...,relates
43,89894, h2. Background\r\n\r\nThe Extension Manager in...,83463,  Since Core extensions (sysexts) are stable and...,relates
44,89894, h2. Background\r\n\r\nThe Extension Manager in...,70157,  When looking in the EM for my installed extens...,relates
45,88322,  Allow the overwriting of the slug field via Pa...,89875, I would recommend to make some of the slug fie...,relates
46,89760, There should be a storage list to the left of ...,89762, There should be a pagination in the forms list...,blocks
47,89760, There should be a storage list to the left of ...,89762, There should be a pagination in the forms list...,blocks
48,89709, So im using Typo3 now for a few months and int...,64764,"  Hi,\r\n\r\nThe current system to browse record...",relates
49,89709, So im using Typo3 now for a few months and int...,66608,  the current element browser need support for s...,relates
50,89582, *Motivation*\r\nCurrently there is being some ...,89524, Currently it's not possible to search for loca...,relates
