,id1,Description1,id2,Description2,Type of dependency
0,80689,result poll,71251,flash message different queue dependin,independent
1,13515,workspace empty notification dropdown sh,3109,seems supported htmlmail,independent
2,3264,hirnrnim sure standalone ver,50136,svg missing image icon svg iconpngr,independent
3,13948,need banner announces,12348,would great implement pagebrowser,independent
4,77336,currently way inject li,1011,optionally show select link,independent
5,17123,writing ajax fe plugin need,5915,seem lot proxy whic,independent
6,76700,think would nice provide data,37820,validators currently invent option,independent
7,35965,default session handling started automat,65040,dragdrop functinality fal uploads work r,independent
8,4054,hardcoded solution considers se,14462,add stdwrap functionality tornselectorder,independent
9,42169,right replace placedholders tra,28414,would nice see free place,independent
10,65005,make script return exit code errorr,85254,use casernin form creates datab,independent
11,2575,able set sorting field record,61733,new special content designer element irre,independent
12,28601,already possible multiple stdwrap,18780,propose exchange tablerendering,independent
13,23906,able change col position list bef,32373,additional use case possibl,independent
14,32267,organiser news extended two field,10429,parameter url eg something,independent
15,60996,order make usage logging api easy,41513,change surf work composerrnr,independent
16,68872,blanket issue fluid reintegration pr,8372,implement way display localized notice,independent
17,15808,width height img resourc,16651,ability configure showpermalink boolean,independent
18,17385,indexed search documentation section rn,3664,hi rnrnin setup module thing ar,independent
19,45761,need banner showing,35463,need new stage area developer day,independent
20,27618,enable paging datagrid,3304,planning release r,independent
21,48085,see attached file would nice opt,37731,noitemmessage becomes cobjectrnrnplugintx,independent
22,47471,hirnrni created test disk spac,81840,doctrinecollections package already,independent
23,30019,would like add multiple crawler configura,18095,access control query use time rounded,independent
24,37617,currently gzipped rssfeeds cant read,33749,integrate file abstraction layer api,independent
25,71802,currently activation apcpreset,19698,searching update installedloaded,independent
26,41358,currently raw plain php constant,28321,hi guysrnrnyout ext greatrnrni,independent
27,28613,add minor modification restructurin,2506,currently argument controller must,independent
28,15609,new method provides ability use,87074,get featurern,independent
29,53091,category object relation par,2880,create tx ptmvc controllerfrontendtabbed ext,independent
30,1830,hi martinrnrnid appreciate see modi,89076,hirnrncan please add translation fo,independent
31,38080,use backend module dispatcher tsco,40068,new tt newsindexer add urlparameter,independent
32,789,payment registration paypal etc,11701,ive started rewrite main function p,independent
33,66603,hirnrnfor possible use,78358,using functional test framework one,independent
34,44328,possible add event title,2209,select view helper need handle domain,independent
35,32840,attachment would easier handle,18657,content backend form saved,independent
36,49565,implement dutch translation locallangxml,92778,provide way programmtically,independent
37,78122,current situation comment plugins attach,71324,access tab type record,independent
38,41378,needed composer postinstall sc,15553,imho page icon change somehow reflec,independent
