,id1,Description1,id2,Description2,Type of dependency
0,87457,patch introduces requirement symfo,93197,right property var annotation ca,relates
1,75043,please use gz instead gzip statically,93182,make compressed file extension configurabl,relates
2,93170,would suggest deprecate following pag,93171,introduce fallback site configuration,relates
3,93170,would suggest deprecate following pag,93171,introduce fallback site configuration,relates
4,75266,possibility least,92903,would great able arrange flexfo,relates
5,89509,fluid provide way access flexfor,92875,tca allows field flex want use,relates
6,92297,one several possible solution ig,92822,already mentioned problem false po,relates
7,36075,original concept new pagetree,92576,use case rnrnit possible filter,relates
8,89177,linkvalidators default pagetsconfig curre,92542,repeatedly error log due,relates
9,80212,here longer term idea proposal move,92431,able version configuration,relates
10,89509,fluid provide way access flexfor,92402,flexformservice convert value,relates
11,82212,current flexform storage method aw,92402,flexformservice convert value,relates
12,88147,heyrnrncan maybe set configurable pat,92364,sitemap sysext seo stylesheets c,relates
13,15760,possible support lllmarkers,92337,please reopen,copied_to
14,92297,one several possible solution ig,92822,already mentioned problem false po,relates
15,78931,actually ajax used hideunhide delet,92295,itwould nice possibleto sort,relates
16,83461,currently really hard get actu,92283,backend form fieldnames displ,relates
17,92088,hirnrnit would great think u,88537,heyrnrni think support webp imag,duplicates
18,92009,ease using backend newcomer typo,92008,livesearch search topbar coul,relates
19,92009,ease using backend newcomer typo,92008,livesearch search topbar coul,relates
20,24019,current implementation always add new irr,91788,long irre list useful,relates
21,88818,use case arernrnkriss toff,91619,one tree installation two langua,relates
22,91081,followup site settin,91080,older version possible defi,relates
23,91080,older version possible defi,89102,site wide setting available th,relates
24,91081,followup site settin,91080,older version possible defi,relates
25,90826,since comparing user record,90478,hirnrni would like make suggestion f,relates
26,90825,kind followup ticket,22113,sometimes necessary link explici,relates
27,84656,might useful set target language,90825,kind followup ticket,relates
28,90478,hirnrni would like make suggestion f,90298,user information beuser module c,relates
29,90826,since comparing user record,90478,hirnrni would like make suggestion f,relates
30,90181,tagbuilderaddattribute currently cannot ad,90386,rather reproducing bunch xhtml api,relates
31,87856,lts require swiftmailer v,90370,use eguliasemailvalidator email valida,relates
32,90298,user information beuser module c,52141,rewrite module beuseradminis,relates
33,90478,hirnrni would like make suggestion f,90298,user information beuser module c,relates
34,64047,current way go implementing mail,90266,sends various email would,relates
35,90243,would nice message field th,84849,user want able add link,relates
36,88470,lot customer migrating f,90243,would nice message field th,relates
37,90181,tagbuilderaddattribute currently cannot ad,90386,rather reproducing bunch xhtml api,relates
38,83834,order allow debugging yaml config,90052,ease debugging form yaml configurati,relates
39,89979,afaik method existrnrnr,22985,sometimes need locate page page tree u,relates
40,89894,backgroundrnrnthe extension manager,83463,since core extension sysexts stable,relates
41,89894,backgroundrnrnthe extension manager,70157,looking em installed extens,relates
42,88322,allow overwriting slug field via pa,89875,would recommend make slug fie,relates
43,89760,storage list left,89762,pagination form list,blocks
44,89760,storage list left,89762,pagination form list,blocks
45,89709,im using month int,64764,hirnrnthe current system browse record,relates
46,89709,im using month int,66608,current element browser need support,relates
47,89574,message congrats page look li,89573,field type slug used custom record,relates
48,89574,message congrats page look li,89573,field type slug used custom record,relates
49,89556,integration done stable backp,89526,let people experience new translation,relates
50,89556,integration done stable backp,89526,let people experience new translation,relates
51,89524,currently possible search loca,46017,multi language site really conv,relates
52,89524,currently possible search loca,73665,hey guysrnrni want suggest new featu,relates
53,89509,fluid provide way access flexfor,92402,flexformservice convert value,relates
54,89509,fluid provide way access flexfor,92875,tca allows field flex want use,relates
55,89502,possible set title,85592,make possible define site title,duplicates
56,88947,idea feature request,89458,possible add different url manu,relates
57,89457,several use case necess,85127,sometimes may problem external,relates
58,89389,making use function xmlr,40503,general problem xhtml suppor,relates
59,89381,vimeo allows omit cooky adding get p,84843,ask user consent loading youtube,relates
60,89322,currently possible use,87072,currently choice lock strategy fixe,relates
61,89292,new feature correlation id,89143,record history need correlation id,relates
62,89209,lower entry level workspace module,65249,would great user experience wa,duplicates
63,89177,linkvalidators default pagetsconfig curre,92542,repeatedly error log due,relates
64,89292,new feature correlation id,89143,record history need correlation id,relates
65,91080,older version possible defi,89102,site wide setting available th,relates
66,88954,would like able tell fimage f,59067,rendering image place,relates
