,id1,Description1,id2,Description2,Type of dependency
0,91745,when will it comernthxrnstefan,6354,implementfinish customer addresses and implem,independent
1,80689,as for the result of the polls,71251,flash messages have different queues dependin,independent
2,13515,workspaces empty notification dropdown sh,3109,it seems to be not supported by htmlmail,independent
3,3264,hirnrnim not sure if the standalone ver,50136,svg is missing image icon svg iconpngr,independent
4,13948,we need banner that announces the,12348,it would be great to implement pagebrowser i,independent
5,77336,currently there is no way to inject an own lis,1011,optionally show select all link,independent
6,17123,while writing an ajax fe plugin that needs to,5915,there seem to be lot proxies out there whic,independent
7,76700,think it would be nice to provide data such,37820,validators currently can invent any option on,independent
8,35965,by default session handling is started automat,65040,dragdrop functinality for fal uploads works r,independent
9,19852,allow to assign lang attribute to elementsn,60605,will move,independent
10,4054,have hardcoded solution that considers se,14462,add stdwrap functionality tornselectorder,independent
11,42169,right now you can replace placedholders in tra,28414,it would be very nice to see the free places o,independent
12,65005,make script return exit code on errorr,85254,use casernin form which creates datab,independent
13,2575,being able to set the sorting field for record,61733,new special content designer elements for irre,independent
14,28601,it is already possible to do multiple stdwrap,18780,propose to exchange the tablerendering by d,independent
15,23906,to be able to change the col position list bef,32373,as an additional use case it should be possibl,independent
16,32267,organiser news will be extended with two field,10429,if there are parameters in url eg something,independent
17,60433,thumbnail generation fails for audio video d,25719,bothrn gebäude pe,independent
18,60996,in order to make the usage of logging api easy,41513,how to change surf to work with composerrnr,independent
19,68872,blanket issue about the fluid reintegration pr,8372,implement way to display localized notice,independent
20,15808,have the width and height for an img resourc,16651,ability to configure the showpermalink boolean,independent
21,17385,in indexed search documentation section rn,3664,hi rnrnin the setup module some things ar,independent
22,43316,strn,31948,the typoscript in to sometimes i,independent
23,45761,we need banner for showing that we,35463,we need new stage area for the developer day,independent
24,27618,enable paging in the datagrid so that only,3304,for planning of the release and other r,independent
25,48085,see attached file it would be nice if the opt,37731,noitemmessage becomes cobjectrnrnplugintx,independent
26,47471,hirnrni have created test for disk spac,81840,the doctrinecollections package is already,independent
27,30019,would like to add multiple crawler configura,18095,for access control queries use time rounded,independent
28,37617,currently gzipped rssfeeds cant be read,33749,integrate file abstraction layer api to,independent
29,71802,currently the activation of the apcpreset in,19698,when searching for updates of installedloaded,independent
30,41358,currently only raw plain php constants can,28321,hi guysrnrnyout ext is greatrnrni m,independent
31,28613,adds some minor modifications for restructurin,2506,currently arguments of controller must be re,independent
32,81455,rather than force the consumer to implement lo,52165,,independent
33,15609,this new method provides the ability to use re,87074,to get this featurern,independent
34,53091,each category object has relation to its par,2880,create tx ptmvc controllerfrontendtabbed ext,independent
35,1830,hi martinrnrnid appreciate to see modi,89076,hirnrncan you please add translation fo,independent
36,38080,use the backend module dispatcher for the tsco,40068,the new tt newsindexer adds the urlparameter,independent
37,789,payment of registration by paypal etc,11701,ive started to rewrite the main function of p,independent
38,66603,hirnrnfor now it is not possible to use,78358,using the functional test framework one can t,independent
39,44328,is it possible to add the event title to the,2209,the select view helper needs to handle domain,independent
40,32840,attachments would be easier to handle if they,18657,the content of backend forms should be saved,independent
41,49565,implement dutch translation in locallangxml,92778,should provide way to programmtically,independent
42,78122,current situation comment plugins is attach,71324,in the access tab of any type of record when,independent
43,41378,this is needed to the composer postinstall sc,15553,imho page icon should change somehow to reflec,independent
44,20431,although the class offers an attribute recipi,44877,hey teamrnrncurrently the flow and,independent
45,14870,the relpathprefixsetting will not be applied,4135,possible focusrn generation of pretty down,independent
46,6381,see subject,34824,the help popup is so annoying can it be disa,independent
47,32307,st,25137,the new ajax page tree extension has the featu,independent
48,71038,the extensioncommandcontroller provides the,19343,this hook allows to add additional tabs to use,independent
49,41347,many features of getimgresource are currently,43327,with drag and drop in the pages module it woul,independent
50,43234,the database function searchquery can build qu,37156,at the moment insecure extensions are only ma,independent
51,1546,this feature implements dynamic loading by u,33218,eine möglichkeit redakteure anlegen zu können,independent
52,50262,think we should add keywords to the composer,69464,with setting languagetitle and having give,independent
53,82625,hi allrnrnthe idea is to load first the f,69794,currently the memcachedbackend only supports,independent
54,6640,it would be interesting to have an implementat,14678,situation create new page eg page ne,independent
55,10821,it seems that theres no way to output the fla,76133,want to suggest extending the clearcache,independent
56,18594,it would be nice if selected has stdwrap prope,47697,user must be able to save rdf rss and atom fe,independent
57,75241,we should extend our nginx proxy servers with,9753,the data that is delivered must be visualized,independent
58,6668,caretaker is already storing noderoleaddress,40463,hi matesrni think that could be usefull add,independent
59,90484,hello dearrnrnthe viewhelper,84814,with the querybuilder its currently not possi,independent
60,49478,its already possible to show debug outputs for,17792,when using any rte there is no way to prevent,independent
61,33826,hy guysrnunfortunately the browser doesnt,70,as convenience function eg in the property,independent
62,87897,meaning would like to add another link cate,5162,at the moment there is already an interface t,independent
63,52170,misses brute force protection for the,26284,idearninclude formalizeme for making forms,independent
64,69496,there used to be feature in indexed search w,45421,hello kurtrnfirst at all did you make ver,independent
65,3526,use eid api for graphical and audio captcha ge,15954,html defines number of entities that should,independent
66,86880,it would be nice if we can view the password,2281,for large images it could be useful to scale t,independent
67,90444,after the page layout module has been rewritte,5149,to count results currently something like this,independent
68,1052,ich denke das es besser wäre wenn man in der,19859,as of version opera has fixed most bugs,independent
69,13710,from hemmerchrnrncurrently its not poss,29758,all settings are just defined in typoscript t,independent
70,24842,today befuncgetprocessedvalue has two,17640,this is tiny feature but imho very useful i,independent
71,5202,implement effect shear using svg,75385,today evaluated the extension with focus on,independent
72,49998,your extension is also designed for the extens,33749,integrate file abstraction layer api to,independent
73,11720,templates and coding are very complex they ne,78904,if respectwordboundaries true and language,independent
74,60244,it would be nice if the output of the questio,9755,implement modal window in extjs take existi,independent
75,22303,the attached patch rewrites the rte spell chec,6696,configure sorting order of results,independent
76,25177,would like to introduce possibility to dis,87889,add possibility to modify admin url,independent
77,50519,hellornrnonce there was to make sh,21201,the path displayed in the search hits can beco,independent
78,87670,the clear all caches button can be activated i,29296,this patch request adds the possibility to def,independent
79,39622,requierjs is javascri,37156,at the moment insecure extensions are only ma,independent
80,4153,add sorting icons vhen orderlinkintitle is use,18755,have two trees in my installationrn,independent
81,17709,hirnrnits possible to add typoscript o,80771,provider generic static status error page,independent
82,54515,please enable stdwrap for highlighted words in,3938,check if its possible to use the builtin typ,independent
83,15960,given that its possible to check which method,25895,currently removeformat doesnt strip all the,independent
84,78404,acceptance test for scheduler taskrn,27015,sleep has to iterate over arrayscollections,independent
85,88921,whatrnrnthis event can be triggered to,9288,the current implementation of getsinglenavigat,independent
86,46908,hirnrnif you delete page it will remain,9768,you install an oldschool exten,independent
87,27339,above the content are few links to add recor,83710,its important for me to set the title as an r,independent
88,59976,,1629,assign to the configuration array in tx musicv,independent
89,79196,it maybe necessary to reload the toolbar menu,86983,our automatic deployment use console,independent
90,7186,add french translation,11443,from rn ig,independent
91,48588,it would be nice if this properties have stdw,54603,when installing an extension with dependencies,independent
92,2600,am willing to add the french translation in,34283,render custom header controls by using rende,independent
93,32891,when changing user settings the backend should,72449,in functional test need to test extbase co,independent
94,49172,add language icon to legend of fieldsetrndi,62953,hi marcrnrnwould it be possible to add,independent
95,50102,adding zeptojscould it be good idearn,16199,use of phpvalidation serversided instead o,independent
96,515,the has signed cla flag should be displayed,21666,currently different states of the login subpar,independent
97,45765,the programmer of the scss parser made compa,9754,implement workspaces list tab,independent
98,17812,as requested in the wiki,1194,the backend module is to show information whi,independent
99,1077,users should be able to style lists output wi,59627,hello therernrni thought it was sad that,independent
100,87421,in order to monitor csp violations or misconfi,4261,add indicator for disabled tasks,independent
101,2425,second peter on thisrnrnthe filetree shou,36830,based on domcrawler,independent
102,15440,here is patch that implements the ss dragdro,83825,possibility to use checkboxes to select mult,independent
103,10344,hellornrni like caretaker very much its,36171,for the caption of an image the default max s,independent
104,46732,prernjsfile extmgmsiterelpath,67378,it would be great if ogimage would fall back,independent
105,29568,the result list should allow the markerrnr,11159,in the near future connector services will be,independent
106,90983,the extension scann,25133,use this as basernprerntemptmenuul,independent
107,34495,for filteroptions providing automated tagging,14397,howto sign into mailinglist without getting hu,independent
108,5114,currently status and infos are mixed we need,8653,make the date format of the contact property,independent
109,56152,ive following constellationrnrnone model,72603,the pagebrowser should be fully implemented wi,independent
110,23227,the editor can not see which links are linked,88300,in,independent
111,48314,hellornrnplease show the icons in column,7621,currently categoryrecords are selected from t,independent
112,3206,if use the crm for services there is no arti,25655,the scheduler can be enhanced by additional,independent
113,59627,hello therernrni thought it was sad that,28454,update manual correct mistakes ie the render,independent
114,63018,heyrnrnit would be great if you could add,37457,nicola lombardini suggests via mail to use co,independent
115,15404,cant be properly styled with backgroundima,4640,ass the development of dr wiki ng is hugely de,independent
116,60865,css multicolumn menu is buggy in this browsers,33131,input field does not allow names like object,independent
117,29258,in you can define several environments i,68757,with the current state it is not possible to u,independent
118,32654,we will extend the browser for displaying reco,92486,make usage of sys file collections easier by a,independent
119,11340,hi againrnrni added some configuration to,9947,we need install tool migration script to hel,independent
120,39690,to make table accessible property to edit,23449,if you use multiple languages you can normally,independent
121,60806,currently you need to specify both an bgimg t,66187,implementation of possibility to movecopy a,independent
122,20521,if working with regular expression regexp de,8871,dam lightbox does not yet support localisation,independent
123,14425,were running fairly old version of mediawik,10398,wanted to hide table using the pagetsconf,independent
124,39214,when using the textfield viewhelper to render,88734,in an mn relation the defaultorderings as,independent
125,34495,for filteroptions providing automated tagging,22013,hellornrnimho the search function s,independent
126,17658,nice feature requestrnpossibility to hide t,39826,looks like there is no possibility to use back,independent
127,55280,the page prov,62171,this could be handy sometimesrnrnprer,independent
128,23325,felogin does not preserve urlparameter in the,35130,,independent
129,36715,first step collect ideas on how to do that at,15512,hellornrni would need field in the tca,independent
