,id1,Description1,id2,Description2,Type of dependency
0,40046,current be user could have an option to send n,21660,currently the password change facility does no,independent
1,27400,at the moment and are hardcoded in,16778,imo there should be the possibility to assign,independent
2,2589,it would be really great if the spellchecker p,85994,it is currently possible to create or modify s,independent
3,54954,this extension has two problems with upcomming,23259,this feature request unifies the two menu item,independent
4,61366,hi rnrnit would be great if you could add,15515,coudl it possible simple hilight on rollever,independent
5,60469,think it would be useful to initialize the r,83175,the new page tree shows modal prompt when,independent
6,22548,when server is behind an ssl terminator,44888,we had two problems with approval mailsrn,independent
7,27803,here is patch to add divgetfileabsfi,81363,form elements already have few options to co,independent
8,10413,the catmenu should be easaly configurable by f,37796,lots of bug fixes and support for responsive d,independent
9,17681,would be nice to have the wrapitemandsub for,20102,there should be an easy and short way to get t,independent
10,6388,ive attached diff with additional german te,42110,if in an custom workspace someone changes the,independent
11,30233,maybe it would be more comfortable for comment,61993,hey folksrni discovered that page css from,independent
12,55950,if you go to list module the extended clipboa,37199,actually unsecure extensions are marked red in,independent
13,50828,the fallback storage zero shall be r,15099,it is impossible to create temporary db moun,independent
14,8506,add contextual help for all fields,33838,as need some json object storage in i,independent
15,83734,when using the ts property configcache it,45719,change several logos according to new brandin,independent
16,69389,the icon api needs an option for spinning icon,1305,nice to have,independent
17,60130,guys could you please add tq seo to translat,31521,hi just adopted for works finer,independent
18,1217,it would be very nice to import the productim,41067,was playing with the stdwrapcache feature,independent
19,49064,hi allrnrnto use cookie free domain for,51848,hirnrnsituationrni just loaded the,independent
20,48742,rather than using own onload implement,4417,it would be very usefull if creating link att,independent
21,15235,have activated the acronym plugin for ie man,87737,right noch extensionutilitycheckextensionnam,independent
22,55793,groupby is supported by doctrine but at the m,16733,it would be nice to have an option where an a,independent
23,90012,some websites providing javascripts require on,55355,hello therernrnit often happens in bigger,independent
24,28359,automatically create vcards based on the given,19824,clear rte cache option will be added to the be,independent
25,78757,using dce containers in column of gridelemen,7812,add field for plugin specific ts configurati,independent
26,18652,when using workspaces with autocreation of ver,36172,umbrelle issue for cleanup and updaternrnn,independent
27,4499,formatting does not seem to clear at the botto,7621,currently categoryrecords are selected from t,independent
28,67453,now on logout one can only redirect to this,9478,had some experience with this ext try to use,independent
29,37856,tried to do this with css but could not wo,50900,hey me againrnrnid like to ask if you,independent
30,35066,its blog so why is the comment on comment,77745,it is possible to disable the create new reco,independent
31,83087,integrate categories int,87300,allows to use multiple sessions per user,independent
32,29995,add new options from pending documentationh,36796,use fal file properties name and alternativ,independent
33,41068,dear allrnrni have add this to my,49814,currently the extension is only accessible to,independent
34,40555,currently you can not execute sub command h,7964,we need the curl option curlopt interface to b,independent
35,33710,know you can change the configuration based,53885,indexed search only indexes pages when sys lan,independent
36,58633,currently the pages indexer only takes the tit,19343,this hook allows to add additional tabs to use,independent
37,41002,it would be nice if you could insert more tha,57762,sphinx console allowed links to be checked th,independent
38,25510,when the user places the cursor after an brack,537,among the things that can be displayed on my,independent
39,2880,create tx ptmvc controllerfrontendtabbed ext,62877,in order to streamline the javascriptrncode,independent
40,62335,backend app focussed on managing backend user,48862,we wanted to integrate the phpofficephpexcel,independent
41,79317,scenariornuser with no htmlknowlegde adds,61902,is there chance to add random sorting,independent
42,42055,ive set up an distribution using the cor,20067,some rte features that insert content usually,independent
43,565,hello sebastianrnrnplease add the categor,26953,we would like to use rgnewsce in connection wi,independent
44,18814,the function checkaccess in,73570,make it possible to extend content elements or,independent
45,33152,tried simplirobots thank you very much for,54717,its useful to get relation to the chats,independent
46,89727,as there is field in link popup for normal,25741,it would be nice to have condition in tsscri,independent
47,45377,it would be great to have viewhelper for eas,532,hi folksrnrni need the possibility to upl,independent
48,59563,the browser should support local table and for,12528,hy guysrnthe browser removes empty marker l,independent
49,72409,if you place fform viewhelper with method g,15542,it would be great to have followingrnin use,independent
50,22025,if you have login box on each of your pages,50391,deleting record will also delete all records,independent
51,15550,missed the option flag to show the content a,6166,hirnrnive added typoscript option if,independent
52,86620,it would be realy nice to have button updat,3810,there are situations when few combined project,independent
53,1177,it would be nice to have searchform for the,6190,this feature was suggested by jeanbaptiste jo,independent
54,2679,hirnrnis it possible to have also tsconfi,34867,consider the following use casernrnpre,independent
55,81,currently all tests get complete copy inclu,16824,want to make an extension that changes behav,independent
56,62881,please create and implement fluid stand alon,20987,greek transliteration is missing in translitt,independent
57,13305,suggest the following improvements for the l,83912,when adding redirect finisher to form crea,independent
58,49899,sets the page title in template for both glob,28622,add basicservice to the install tool which,independent
59,29068,since image rendering in css styled content is,54534,when using the email form validation there sh,independent
60,5039,andselection for categories,79196,it maybe necessary to reload the toolbar menu,independent
61,3971,was wondering if the code exists to have the,19472,provides feature to create presets of,independent
62,15053,in be list module would be nice to have the fo,20213,the admin panel can be very helpful to identif,independent
63,5681,parsing content marker with an own cobject wou,48419,create way to assign roles to command cont,independent
64,45176,some pages should not be found via search for,16618,database connection problems and similar majo,independent
65,44006,in php ics utopia no longer works for t,88852,github and gitlab make the buttons you will,independent
66,22086,pageheadtag does not have stdwrap properties,11344,if data containing html is imported into fie,independent
67,8503,when fetching data from an external db the da,61801,ensure compatibility with,independent
68,69512,as ts filetype is used also for video conta,30634,add an option in flexform formulartab which,independent
69,79548,create docker container for testing with the,45930,as can now send vcards containing,independent
70,81169,issuernrnwhile the language id can be set,33755,the table sys collection allows to group sever,independent
71,4328,from the irc channelrn wenn ich zum b,66366,add new viewhelper that used the new renderi,independent
72,6099,atm you can only configure the pid and linktex,39028,instead of relying on system administrator to,independent
73,31969,it would be nice if crophtml and crop could,33257,hirnrnis it possible to implement an opti,independent
74,5736,hirnsine templavoila has native drag,50254,for some extensions it would be amazing to hav,independent
75,51990,currently pagenotfound handling and similar v,49799,in the current version surf opens new ssh co,independent
76,59511,install tool important actions core upd,6141,entites and value objects must be declared pro,independent
77,9753,the data that is delivered must be visualized,713,recently for me it is only possible to add a,independent
78,14362,ive converted to and searching of words,16728,additionalparams for links should be available,independent
79,89227,ask for an email address while installing typo,51590,currently it is not possible to set sorting,independent
80,7930,the command line interface offers fu,35706,id like virtual browser class which allow,independent
81,86983,our automatic deployment use console,6250,for each role it would be nice to select def,independent
82,46910,it seems that composer packages without autolo,75827,currently the,independent
83,10332,the path to the jwplayer should be configurabl,12389,is it possible to add conversion functions obs,independent
84,28252,it would be great if it was possible to select,671,the new section in the kickstarter creates cla,independent
85,68763,hellornrnjust installed your extension in,8230,implement single table inheritance for the con,independent
86,4049,conf varssysusdateform,60592,jquery theme css has kb and cause conflic,independent
87,51466,as preparation for the new distribution intro,79543,our backup script works but we should also cr,independent
88,8963,hirnrni would really love it if stdwrap c,88811,want to use the variable of my controllerac,independent
89,51782,when css or javascript files are wrapped throu,86160,as an integrator would like to have the pos,independent
90,15033,on browsers where it is supported ajax techno,18100,divcalluserfunction returns false wh,independent
91,58329,wed like to offer certified integrators the p,2922,hirnrnis it possible to attach file to a,independent
92,88516,when creating new content element plugins,29535,weve an intranet with several extbase extensi,independent
93,66132,your extension is fantastic rna cool featur,2476,would be cool to have this small helpcontext,independent
94,27750,adding memory storage adapter would ease usi,1412,add select category to search formrnview ca,independent
95,81391,focus area should be instead focus point,26837,when the user selected template in the plugi,independent
96,5022,instead of having to manually write the class,55719,fe using dependency to twitter package twb,independent
97,60937,this issue has been created so that the exten,12545,at the moment the workspace id is displayed in,independent
98,14416,the ter does not seem to use natural sorting w,2940,attached is patch that allows records in the,independent
99,28435,at the moment the names like email or emai,11580,hi guysrnnow it is configurable if the sea,independent
100,14573,function searchresult of class tslib cobj do,20767,why we return only thisdatafield while g,independent
101,32177,hellornrni am busy checking out this exte,17976,imo the in the error messages eg,independent
102,72169,the extension fluid includes jquery librarie,88448,placeholder and override functionality like th,independent
103,92231,for some error types the error messages are t,40679,the asynchronous suggest wizard in tce forms l,independent
104,87670,the clear all caches button can be activated i,1005,currently the htmlarea plugin and the flexform,independent
105,32248,hirnrni just want to ask you if you can g,86295,as developer there is very little to no supp,independent
106,23898,one part of the current typoscript tuning proc,55853,hook jquery datatable on all in the,independent
107,19548,if you change the compare settings for exampl,41301,currently theres only one erroraction for al,independent
108,4459,paddingviewhelper can be useful to format st,6,on most systems my mac at least all tests,independent
109,49237,it would be very nice and very handy if rnth,60433,thumbnail generation fails for audio video d,independent
110,26670,is it possible to convert images layout to i,26170,it would be great if dr blob could use extensi,independent
111,35195,at the moment the following is allowedrnr,15302,hirnthis is working draft for an update w,independent
112,73227,according to the feature would be,5628,the german word list contains politically inco,independent
113,86913,it would be great if could finally suppo,40792,it would be great to have an alternative reply,independent
114,68429,add hook to allow extensions to define own a,17196,although it is possible to have customized con,independent
115,34053,htmlarea rte clickenlarge feature adds custom,16281,the indexed search only looks for tags wit,independent
116,23735,htmlmail is ugly and nonrfc conformant,72813,the pagebrowser should have an option to inclu,independent
117,19520,lets use divtrimexplode in di,9356,the could provide a,independent
118,38149,using tx and t,46744,add the page where the open resubmission resid,independent
119,1562,make the extension skinable related to the con,71277,with the validation error messages o,independent
120,22836,added pdo based cache backend since it,16684,in cases of improper setting of sys lastchange,independent
121,32496,detail view for single items would be very n,36971,getrecordlocalization doesnt work for the pa,independent
122,9507,add foreign where and foreign tablesys la,6308,at the moment there is no way to have sundays,independent
123,90746,hirnrnin the same of the config removety,62861,am using normal fluidform fform,independent
124,28683,currently the cachingframework throws an excep,34177,to use resource with file operations one,independent
125,61145,in one of my project need to create miniwe,10954,when user is logged in in the wiki woul,independent
126,5618,think the noticewarning for enabling the de,78904,if respectwordboundaries true and language,independent
127,713,recently for me it is only possible to add a,51499,during some install tool actions extension con,independent
128,57430,composer createproject does not office stable,68538,add formatimplode viewhelper is needed fi,independent
129,45548,it makes no sense to hide this content element,45154,it would be nice to run task not only by cli,independent
130,46040,it would be nice to add target for links ta,87131,problemdescriptionrnrnthe whole lib,independent
131,88585,the servertiming headers can be used to send,8136,two types of plugindisplaytypesrn conten,independent
132,44421,there is registration view and an edit view,661,uses deleted for softdelete and other f,independent
133,13858,there should be kind of an album browser for s,69357,forms supports the validation of nowaday,independent
134,8504,add those fields to the database and the tca,25541,rn contextsensitive codecompletion for ty,independent
135,58491,assume following scenariorn have translate,54519,rncurrently the linkhandler link check of th,independent
136,58828,it would be good feature to have check for,90197,the core should provide command to clear the,independent
137,56282,the viewpage module should have language sel,7733,did you see these extensionsrnrn,independent
138,17286,want to email link with invite of sr feuse,3956,for the blog and other apps we need count,independent
139,19072,the backend search in alt db navframephp whic,34626,there is no possibility for setting showifbelo,independent
140,47488,currently its not possible to set an script p,7971,currently all records are shown in the default,independent
141,80363,as fare as see there is currently no suppor,72437,it should be possible to drop an image from an,independent
142,563,requested by jens,1049,the current dropdown of language label options,independent
143,92022,weeks numbers is missing in datetimepicker and,31492,it would be nice to have the possibility to us,independent
144,25123,every wizard presents the checkbox show data,16534,current behaviour is that the starting url is,independent
145,78426,this is microminor but keep tripping over,52590,currently it is not possible to paginate objec,independent
146,4452,extmgmallowtableonstandardpagestx dr,65198,im using version and the extension is b,independent
147,48054,just like the save button you normally have,34911,there is no chance to not include the cssfile,independent
148,18106,sometimes it might be usefull to have little,24261,im using some kind of active record pattern a,independent
149,33826,hy guysrnunfortunately the browser doesnt,25091,remove extension configuration variable tr,independent
150,4663,need function to set the view script templ,85367,instead of using custom implementation use t,independent
151,92618,while creating complete new record the curre,88056,formhandler had the option insertifnoupdatepos,independent
152,65862,hi everyonernrnwhy is not it possible to,1077,users should be able to style lists output wi,independent
153,19548,if you change the compare settings for exampl,61841,it would be nice to have shutdown hook calle,independent
154,478,attached the file component objectb,31955,flinkwidget should have the possibility to m,independent
155,27625,please addrndonotloadinfe ext,53890,the first upgrade wizard should be databas,independent
156,16349,the oracle equivalent to mysqls explain is,78082,hellornrni have some news which should no,independent
157,7200,add constant to enabledisable noconflict mode,79392,please remove the inline javascriptrnrnex,independent
158,29249,hey guysrnrnplease revise the inclusion o,53685,the backend users compare view lack some sor,independent
159,4417,it would be very usefull if creating link att,11504,view new extension manager settingsrnacti,independent
160,46589,it would be good to move functions gif compre,54624,to have nice looking urls use new page ty,independent
161,57082,currently every extension needs to implement t,28794,hi therernrnin css styled content in rend,independent
162,1186,merged exts cleaned up and uploaded to tr,52486,integrate the radial search umkreissuche int,independent
163,27097,in workspace preview there are several views p,92385,it would be nice to be able to pass certain da,independent
164,4019,the scheduler currently logs to the admin tool,44619,is done,independent
165,54954,this extension has two problems with upcomming,45128,after having sent the recommendation would,independent
