,id1,Description1,id2,Description2,Type of dependency
0,87457,this patch introduces the requirement to symfo,93197,right now only the property var annotation ca,relates
1,75043,please use gz instead of gzip for statically,93182,make the compressed file extension configurabl,relates
2,93170,i would suggest to deprecate the following pag,93171,introduce fallback site configuration to be,relates
3,93170,i would suggest to deprecate the following pag,93171,introduce fallback site configuration to be,relates
4,75266,there should be possibility to have at least,92903,it would be great to be able to arrange flexfo,relates
5,89509,fluid does not provide way to access flexfor,92875,the tca allows the field flex want use some,relates
6,92297,this is one of several possible solution to ig,92822,as already mentioned the problem of false pos,relates
7,36075,in the original concept for the new pagetree,92576,use case rnrnit is possible to filter,relates
8,89177,the linkvalidators default pagetsconfig curre,92542,we repeatedly have errors in the log due to in,relates
9,92432,prernimported from,66343,at the we get the feedback that hotke,duplicates
10,80212,heres longer term idea proposal move all,92431,to be able to version the configuration and re,relates
11,89509,fluid does not provide way to access flexfor,92402,the flexformservice should convert values into,relates
12,82212,the current flexform storage method is only aw,92402,the flexformservice should convert values into,relates
13,88147,heyrnrncan you maybe set configurable pat,92364,in the sitemap of sysext seo the stylesheets c,relates
14,15760,is is possible to support lllmarkers in this,92337,please reopen from,copied_to
15,92297,this is one of several possible solution to ig,92822,as already mentioned the problem of false pos,relates
16,78931,actually ajax is used for hideunhide or delet,92295,itwould be nice if it were possibleto to sort,relates
17,83461,currently it is really hard to get to the actu,92283,in the backend forms the fieldnames are displ,relates
18,92088,hirnrnit would be great to think about us,88537,heyrnrni think that support for webp imag,duplicates
19,92009,to ease using the backend to newcomers of typo,92008,the livesearch the search in the topbar coul,relates
20,92009,to ease using the backend to newcomers of typo,92008,the livesearch the search in the topbar coul,relates
21,24019,the current implementation always adds new irr,91788,with long irre lists it can be useful for the,relates
22,88818,use cases arernrnkriss toff,91619,have one tree installation with two langua,relates
23,91081,followup for site settin,91080,in older versions it is possible to defi,relates
24,91080,in older versions it is possible to defi,89102,there will be site wide settings available th,relates
25,91081,followup for site settin,91080,in older versions it is possible to defi,relates
26,90826,since the comparing of be user records,90478,hirnrni would like to make suggestion f,relates
27,90825,this is kind of followup of ticket,22113,sometimes its necessary to link to an explici,relates
28,84656,it might be useful to set the target language,90825,this is kind of followup of ticket,relates
29,90478,hirnrni would like to make suggestion f,90298,the user information in the beuser module is c,relates
30,90826,since the comparing of be user records,90478,hirnrni would like to make suggestion f,relates
31,90181,tagbuilderaddattribute currently cannot ad,90386,rather than reproducing bunch of xhtml api i,relates
32,90374,creating new file reference in frontend cont,88833,related to,relates
33,87856,lts and require swiftmailer with v,90370,use eguliasemailvalidator for email valida,relates
34,78036,if you rename folder in the filelist and hav,90325,most likely,relates
35,90298,the user information in the beuser module is c,52141,with the rewrite of the module beuseradminis,relates
36,90478,hirnrni would like to make suggestion f,90298,the user information in the beuser module is c,relates
37,64047,the current way to go when implementing mail d,90266,sends out various emails it would be be,relates
38,90243,it would be nice to have message field in th,84849,as user want to be able to add link or s,relates
39,88470,we have lot of customers who are migrating f,90243,it would be nice to have message field in th,relates
40,90181,tagbuilderaddattribute currently cannot ad,90386,rather than reproducing bunch of xhtml api i,relates
41,83834,in order to allow the debugging of yaml config,90052,to ease debugging of the form yaml configurati,relates
42,89979,afaik such method does not existrnrnr,22985,sometimes need locate page in page tree by u,relates
43,89894,backgroundrnrnthe extension manager in,83463,since core extensions sysexts are stable and,relates
44,89894,backgroundrnrnthe extension manager in,70157,when looking in the em for my installed extens,relates
45,88322,allow the overwriting of the slug field via pa,89875,would recommend to make some of the slug fie,relates
46,89760,there should be storage list to the left of,89762,there should be pagination in the forms list,blocks
47,89760,there should be storage list to the left of,89762,there should be pagination in the forms list,blocks
48,89709,so im using now for few months and int,64764,hirnrnthe current system to browse record,relates
49,89709,so im using now for few months and int,66608,the current element browser need support for s,relates
50,89582,motivationrncurrently there is being some,89524,currently its not possible to search for loca,relates
51,89582,motivationrncurrently there is being some,73665,hey guysrnrni want to suggest new featu,relates
52,89582,motivationrncurrently there is being some,46017,for multi language sites it is not really conv,relates
53,89574,the messages congrats this page will look li,89573,if field type slug is used in custom records,relates
54,89574,the messages congrats this page will look li,89573,if field type slug is used in custom records,relates
55,89556,once the integration is done and stable backp,89526,to let people experience the new translation s,relates
56,89556,once the integration is done and stable backp,89526,to let people experience the new translation s,relates
57,89524,currently its not possible to search for loca,46017,for multi language sites it is not really conv,relates
58,89524,currently its not possible to search for loca,73665,hey guysrnrni want to suggest new featu,relates
59,89582,motivationrncurrently there is being some,89524,currently its not possible to search for loca,relates
60,89509,fluid does not provide way to access flexfor,92402,the flexformservice should convert values into,relates
61,89509,fluid does not provide way to access flexfor,92875,the tca allows the field flex want use some,relates
62,89502,it should be possible to set the title of the,85592,make it possible to define the site title in t,duplicates
63,88947,this was an idea feature request that was ma,89458,it is possible to add different url for manu,relates
64,89457,there are several use cases where it is necess,85127,sometimes there may be problems with external,relates
65,89389,while making use of the function xmlr,40503,general problem of is the xhtml suppor,relates
66,89381,vimeo allows to omit cookies by adding get p,84843,ask users for consent before loading youtube i,relates
67,89322,currently it is not possible to use in,87072,currently the choice of lock strategy is fixe,relates
