,id1,Description1,id2,Description2,Type of dependency
0,91745,comernthxrnstefan,6354,implementfinish customer address implem,independent
1,80689,result poll,71251,flash message different queue dependin,independent
2,13515,workspace empty notification dropdown sh,3109,seems supported htmlmail,independent
3,3264,hirnrnim sure standalone ver,50136,svg missing image icon svg iconpngr,independent
4,13948,need banner announces,12348,would great implement pagebrowser,independent
5,77336,currently way inject li,1011,optionally show select link,independent
6,17123,writing ajax fe plugin need,5915,seem lot proxy whic,independent
7,76700,think would nice provide data,37820,validators currently invent option,independent
8,35965,default session handling started automat,65040,dragdrop functinality fal uploads work r,independent
9,19852,allow assign lang attribute elementsn,60605,move,independent
10,4054,hardcoded solution considers se,14462,add stdwrap functionality tornselectorder,independent
11,42169,right replace placedholders tra,28414,would nice see free place,independent
12,65005,make script return exit code errorr,85254,use casernin form creates datab,independent
13,2575,able set sorting field record,61733,new special content designer element irre,independent
14,28601,already possible multiple stdwrap,18780,propose exchange tablerendering,independent
15,23906,able change col position list bef,32373,additional use case possibl,independent
16,32267,organiser news extended two field,10429,parameter url eg something,independent
17,60433,thumbnail generation fails audio video,25719,bothrn gebäude pe,independent
18,60996,order make usage logging api easy,41513,change surf work composerrnr,independent
19,68872,blanket issue fluid reintegration pr,8372,implement way display localized notice,independent
20,15808,width height img resourc,16651,ability configure showpermalink boolean,independent
21,17385,indexed search documentation section rn,3664,hi rnrnin setup module thing ar,independent
22,43316,strn,31948,typoscript sometimes,independent
23,45761,need banner showing,35463,need new stage area developer day,independent
24,27618,enable paging datagrid,3304,planning release r,independent
25,48085,see attached file would nice opt,37731,noitemmessage becomes cobjectrnrnplugintx,independent
26,47471,hirnrni created test disk spac,81840,doctrinecollections package already,independent
27,30019,would like add multiple crawler configura,18095,access control query use time rounded,independent
28,37617,currently gzipped rssfeeds cant read,33749,integrate file abstraction layer api,independent
29,71802,currently activation apcpreset,19698,searching update installedloaded,independent
30,41358,currently raw plain php constant,28321,hi guysrnrnyout ext greatrnrni,independent
31,28613,add minor modification restructurin,2506,currently argument controller must,independent
32,81455,rather force consumer implement lo,52165,,independent
33,15609,new method provides ability use,87074,get featurern,independent
34,53091,category object relation par,2880,create tx ptmvc controllerfrontendtabbed ext,independent
