,id1,Description1,id2,Description2,Type of dependency
0,87457,patch introduces requirement symfo,93197,right property var annotation ca,relates
1,75043,please use gz instead gzip statically,93182,make compressed file extension configurabl,relates
2,93170,would suggest deprecate following pag,93171,introduce fallback site configuration,relates
3,93170,would suggest deprecate following pag,93171,introduce fallback site configuration,relates
4,75266,possibility least,92903,would great able arrange flexfo,relates
5,89509,fluid provide way access flexfor,92875,tca allows field flex want use,relates
6,92297,one several possible solution ig,92822,already mentioned problem false po,relates
7,36075,original concept new pagetree,92576,use case rnrnit possible filter,relates
8,89177,linkvalidators default pagetsconfig curre,92542,repeatedly error log due,relates
9,92432,prernimported,66343,get feedback hotke,duplicates
10,80212,here longer term idea proposal move,92431,able version configuration,relates
11,89509,fluid provide way access flexfor,92402,flexformservice convert value,relates
12,82212,current flexform storage method aw,92402,flexformservice convert value,relates
13,88147,heyrnrncan maybe set configurable pat,92364,sitemap sysext seo stylesheets c,relates
14,15760,possible support lllmarkers,92337,please reopen,copied_to
15,92297,one several possible solution ig,92822,already mentioned problem false po,relates
16,78931,actually ajax used hideunhide delet,92295,itwould nice possibleto sort,relates
17,83461,currently really hard get actu,92283,backend form fieldnames displ,relates
18,92088,hirnrnit would great think u,88537,heyrnrni think support webp imag,duplicates
19,92009,ease using backend newcomer typo,92008,livesearch search topbar coul,relates
20,92009,ease using backend newcomer typo,92008,livesearch search topbar coul,relates
21,24019,current implementation always add new irr,91788,long irre list useful,relates
22,88818,use case arernrnkriss toff,91619,one tree installation two langua,relates
23,91081,followup site settin,91080,older version possible defi,relates
24,91080,older version possible defi,89102,site wide setting available th,relates
25,91081,followup site settin,91080,older version possible defi,relates
26,90826,since comparing user record,90478,hirnrni would like make suggestion f,relates
27,90825,kind followup ticket,22113,sometimes necessary link explici,relates
28,84656,might useful set target language,90825,kind followup ticket,relates
29,90478,hirnrni would like make suggestion f,90298,user information beuser module c,relates
30,90826,since comparing user record,90478,hirnrni would like make suggestion f,relates
31,90181,tagbuilderaddattribute currently cannot ad,90386,rather reproducing bunch xhtml api,relates
32,90374,creating new file reference frontend cont,88833,related,relates
33,87856,lts require swiftmailer v,90370,use eguliasemailvalidator email valida,relates
34,78036,rename folder filelist hav,90325,likely,relates
35,90298,user information beuser module c,52141,rewrite module beuseradminis,relates
36,90478,hirnrni would like make suggestion f,90298,user information beuser module c,relates
37,64047,current way go implementing mail,90266,sends various email would,relates
38,90243,would nice message field th,84849,user want able add link,relates
39,88470,lot customer migrating f,90243,would nice message field th,relates
40,90181,tagbuilderaddattribute currently cannot ad,90386,rather reproducing bunch xhtml api,relates
41,83834,order allow debugging yaml config,90052,ease debugging form yaml configurati,relates
42,89979,afaik method existrnrnr,22985,sometimes need locate page page tree u,relates
43,89894,backgroundrnrnthe extension manager,83463,since core extension sysexts stable,relates
44,89894,backgroundrnrnthe extension manager,70157,looking em installed extens,relates
45,88322,allow overwriting slug field via pa,89875,would recommend make slug fie,relates
46,89760,storage list left,89762,pagination form list,blocks
47,89760,storage list left,89762,pagination form list,blocks
48,89709,im using month int,64764,hirnrnthe current system browse record,relates
49,89709,im using month int,66608,current element browser need support,relates
50,89582,motivationrncurrently,89524,currently possible search loca,relates
51,89582,motivationrncurrently,73665,hey guysrnrni want suggest new featu,relates
52,89582,motivationrncurrently,46017,multi language site really conv,relates
53,89574,message congrats page look li,89573,field type slug used custom record,relates
54,89574,message congrats page look li,89573,field type slug used custom record,relates
55,89556,integration done stable backp,89526,let people experience new translation,relates
56,89556,integration done stable backp,89526,let people experience new translation,relates
57,89524,currently possible search loca,46017,multi language site really conv,relates
58,89524,currently possible search loca,73665,hey guysrnrni want suggest new featu,relates
59,89582,motivationrncurrently,89524,currently possible search loca,relates
60,89509,fluid provide way access flexfor,92402,flexformservice convert value,relates
61,89509,fluid provide way access flexfor,92875,tca allows field flex want use,relates
62,89502,possible set title,85592,make possible define site title,duplicates
63,88947,idea feature request,89458,possible add different url manu,relates
64,89457,several use case necess,85127,sometimes may problem external,relates
65,89389,making use function xmlr,40503,general problem xhtml suppor,relates
66,89381,vimeo allows omit cooky adding get p,84843,ask user consent loading youtube,relates
