Unnamed: 0,Unnamed: 0.1,id1,Description1,id2,Description2,Type of dependency,label,AnnotationStatus
796,6048,59684,emaillanguage part separated accordi,78459,noticed widgetlinkviewhelper,independent,0,M
1095,5421,91504,quite bit complicated explain ill tr,42173,zoomwheel configurable typosc,independent,0,M
1979,338,66371,use renderingregistry introduces,80092,current problemrnrncontinually enhan,independent,0,M
738,5164,9794,sorry available germanrnrnprotoko,63503,flag mkpng missingrnrn,independent,0,M
1851,3049,73650,oddly field missing contact record,15550,missed option flag show content,independent,0,M
1552,2043,52707,need basic implementation enumerati,71739,make harder exploit read sql injectio,independent,0,M
646,217,9774,follow fromrn,56910,hi allrnrnthe arcavias extension mak,independent,0,M
1890,6581,77790,need indexphp script,69548,hellornim workling,independent,0,M
221,833,83395,use mailfinisher reaso,3971,wondering code exists,independent,0,M
153,4457,2335,concern usabilityrnrnundo redo funct,92341,came accross several occasion wou,independent,0,M
909,8493,59899,way selectively clear sys,16731,struggling prevent friend ie fr,independent,0,M
1767,8993,76458,developer want debug closure,26655,requireapproval notification mail upo,independent,0,M
2146,2118,86650,fieldcontrols must able use requirejs,45798,defaulttca field medium int,independent,0,M
2367,3417,75166,hirnrnit would nice,26170,would great dr blob could use extensi,independent,0,M
289,7976,3176,manual need bit cleaning uprn,11093,add option plugin pagern syntax h,independent,0,M
381,4266,84474,right proxy databag hold,44322,would great see alternative,independent,0,M
2307,4800,50564,rendering category heading har,23771,bring custom event used rte,independent,0,M
2470,9178,16650,ability configure page storagepid,33480,change enable following bl,independent,0,M
2249,6934,45681,allow remove code related non u,267,use initializeaction initializat,independent,0,M
1314,7006,67453,logout one redirect,3725,would great cs engine like le,independent,0,M
28,2402,25262,would good implement add method cac,84894,able see entry log modul,independent,0,M
1892,6811,3175,still us old mootools libraryrnt,31078,patrick lobacher created feature documen,independent,0,M
2030,761,48570,heyrnim sure option somethi,52324,today undeleted whole branch,independent,0,M
1443,6552,93163,would like add,49152,move flowplayer file contrib resolve,independent,0,M
1364,2441,59866,several case editor manually,69543,got rendererregistry video,independent,0,M
2223,6859,25780,noticed char,84045,currently class adminpanelview one bi,independent,0,M
847,8369,34047,autoplay mechanism used,19280,problemrnup want h,independent,0,M
2269,6246,19790,would nice sake completeness,3661,would nice fformcheckbox,independent,0,M
155,3419,9534,would cool possibilty get r,92795,nightly test offer composer max min,independent,0,M
2543,2626,319,currently setter injection possible vi,72876,hi rnjust want google,independent,0,M
1475,4421,81389,different class get refl,34085,hirnrni want create date range table,independent,0,M
2415,5786,49565,implement dutch translation locallangxml,526,feature request,independent,0,M
227,6485,5286,userfriendly way check internal,15960,given possible check method,independent,0,M
2276,687,6770,click calendar get monthly,53280,would nice additional parameter coul,independent,0,M
1727,1755,42614,treelevelcondition support equalch,8842,translator class used message,independent,0,M
120,1841,15117,gettypolink support array,33004,attached patch enables provide redire,independent,0,M
1251,309,62335,backend app focussed managing backend user,10224,browser enable integration,independent,0,M
314,7015,31262,working positional argument construct,86222,parameter shall take array value ea,independent,0,M
1617,9045,26765,feature reflection,53971,almost every time start small project,independent,0,M
2043,146,54832,current renderingrnrninput typeradio c,83656,allow import existing redirects r,independent,0,M
298,4523,39461,attached patch allow u extjs,34177,use resource file operation one,independent,0,M
1757,7470,38169,currently content meta tag page titl,73569,older version hook alterna,independent,0,M
585,7971,45167,right genericobjectvalidator b,14787,patch us csphpspeccharstoascii,independent,0,M
1684,8473,39671,header image new claim th,6131,import rule supported op,independent,0,M
791,2430,3984,hirnrnit really nice v,49749,several module use extbase fluid,independent,0,M
302,96,29568,result list allow markerrnr,11159,near future connector service,independent,0,M
1647,4703,20341,typoscript content object content,2940,attached patch allows record,independent,0,M
892,2037,44149,persistencemanagergetidentifierbyobject cu,33593,last year website banner,independent,0,M
1799,4432,56134,found lack functionality consta,20403,often need read associative array,independent,0,M
701,1454,10453,need clean template element,10413,catmenu easaly configurable f,independent,0,M
25,3894,65918,hellornrnwe realized issue,6131,import rule supported op,independent,0,M
2457,2249,70104,would tremendously helpful queryg,70733,localization file converted moved,independent,0,M
1583,4111,27329,currently us arraycollectionhtt,27458,eurnrn umsatzsteueridentifikationsnumm,independent,0,M
1063,2274,11603,youre presenting different kind data,62901,following logic tablet user using thum,independent,0,M
173,1388,49171,use standard language icon,52495,many time need implode piece co,independent,0,M
1348,1590,62722,currently backend display popover,59563,browser support local table,independent,0,M
2465,1216,18838,usage icon insead xrn,92874,say create new page page tree,independent,0,M
1554,3564,3312,debugging also purpose woul,1991,hellornrni think would make sense,independent,0,M
1336,8594,4745,idea correct spanish go,2913,add possibility add description prope,independent,0,M
2101,7870,14834,patch enable clipboard paste firefox,20281,use divremovedotsfromts json encod,independent,0,M
1211,2565,12376,hey therernrnis extension still main,8289,frontend plugin existing user,independent,0,M
1834,7054,37711,great demo,17361,indexing meta description keywords shou,independent,0,M
415,4904,7840,would nice possibility,49805,displaycond directive allows disableen,independent,0,M
1390,2248,90778,brief descriptionrnrn backen,16733,would nice option,independent,0,M
117,6182,60070,possible choose v,11580,hi guysrnnow configurable sea,independent,0,M
65,5423,4821,new keyword encrypt encryptobsc,11504,view new extension manager settingsrnacti,independent,0,M
1298,8054,80467,hirnit would nice use bootsrap tab,42352,actually possible display multipl,independent,0,M
1352,7878,21872,useful stdwrap properti,10719,hellornrnfirst thanks coo,independent,0,M
1765,199,29331,currently duplicate content issue,53857,hi francoisrnrnwhile trying install th,independent,0,M
389,151,27794,set limit language access l,32436,extra column show date exte,independent,0,M
1643,5024,10955,always url safari show,1450,every time adding new faq entry ha,independent,0,M
2,7968,16707,stupid behaviour oracle treat emptry,341,define router interface implement rewr,independent,0,M
1635,8612,87618,upgrade wizard window show number upgrad,43066,since cs support unit pixel,independent,0,M
1205,4630,78404,acceptance test scheduler taskrn,39879,currently function call backtrace,independent,0,M
162,5769,16390,would nice checkbox showhi,47914,possible export log entry di,independent,0,M
1077,3504,19599,attached patch enables use stdwrap,35800,currently lot place div without,independent,0,M
1743,8807,11748,case html tag page path th,90548,filelist possibility mass,independent,0,M
1800,3573,19054,add hook function getsinglefield sw,18847,following text hardcodedrnrn r,independent,0,M
2000,773,32208,missing ability downgrade,24015,extension setup assumes csh specified,independent,0,M
317,6350,35933,adapt requirement sr feuser register versi,65808,search language key translation,independent,0,M
1442,1763,16974,feature request,6215,implement product bundle combining produc,independent,0,M
593,6868,33851,link pdf download get property,47822,detail view show html tag rte add,independent,0,M
1218,7941,59550,file indexer use typolink fu,29358,error exception handler g,independent,0,M
2630,1772,91925,tried get error handling configuratio,91133,review content date field page,independent,0,M
956,4063,31945,hook customizing output would gre,15252,fh library shall become obsoleternthere,independent,0,M
2321,2182,16635,would great rte would store,31955,flinkwidget possibility,independent,0,M
378,8665,439,nesting depth subprojects dee,41713,currently tca config property localizerefe,independent,0,M
1865,1659,20403,often need read associative array,38042,added wordcount jquery version thi,independent,0,M
1456,7212,61503,would like deploy one application,6156,sometimes useful able use,independent,0,M
969,93,15440,patch implement s dragdro,83825,possibility use checkboxes select mult,independent,0,M
2501,433,15421,mainitems styled wayrnone table c,6250,role would nice select def,independent,0,M
1555,4091,31100,content element textblock rendered,23050,quote bernhard kraftrn,independent,0,M
325,3458,17149,managing content fces large num,21145,using following condition userfunc use,independent,0,M
125,2217,5222,test like ping http could make,32,design implement configuration manager,independent,0,M
1113,1714,65103,integration backend usergroup,20767,return thisdatafield g,independent,0,M
2058,3979,8233,request rni think possible,84494,project page user forge,independent,0,M
1771,7115,1250,currently one route part allowed betwe,2667,programming extension found error,independent,0,M
1694,4893,45238,extend method setto possible,42011,currently bunch version displa,independent,0,M
550,6233,87618,upgrade wizard window show number upgrad,5105,currently way see data,independent,0,M
1075,868,71911,possible add signal makesearchst,29786,divint version marked depre,independent,0,M
1639,4117,319,currently setter injection possible vi,35990,would help save lot time develo,independent,0,M
1696,3212,76398,use often lightboxes way co,11023,could please add alternating color hover,independent,0,M
2262,4557,11273,currently linkchecker show intern,2946,whenever new content element added wo,independent,0,M
1721,5079,84,abstract class run standalone th,12666,csv file used import interlaminate,independent,0,M
2570,2345,15108,extension manager would used th,10699,nice user could select,independent,0,M
2152,5508,78187,use tokenizer php file order find,1017,comment extension nicely wa,independent,0,M
392,3271,38168,currently seo backend module seems,47057,usability something attracts new user,independent,0,M
2127,5963,16029,possibility select png format,78619,filename length hardcoded templ,independent,0,M
1066,3334,60252,issue taken editorial sprint,53817,common widget backend table,independent,0,M
1257,3312,34080,ttnewsindexer optionally add tag,526,feature request,independent,0,M
2397,3141,9537,currently possible exclude specif,57016,click calc route show,independent,0,M
906,1055,19094,htmlarea work safari windo,31747,please add postal case default te,independent,0,M
1465,1176,30465,would nice sensible default,19953,default hotkey currently confi,independent,0,M
398,2039,75694,typoscript userts paget must tokenize,50151,without option git fetch fetc,independent,0,M
2464,7733,64514,currently list fal filereferences,35005,would great editor hast,independent,0,M
1900,3899,60103,would host xsds extfluid,29377,view private album select specific,independent,0,M
1618,1908,62529,offer similar content different page,9697,hy guysrnrni extend automatic,independent,0,M
383,6263,26603,would nice ip condition also,33226,validation option set constru,independent,0,M
122,759,46909,hirnrni think would great improve,69,add validation functionality property,independent,0,M
1687,478,17812,requested wiki,14612,edit create mode support post proces,independent,0,M
2412,207,8844,performance module add scheduler task c,87421,order monitor csp violation misconfi,independent,0,M
86,8856,76217,xclass wording weird term origin,33954,jquery popular mootools,independent,0,M
1405,4307,17943,flexforms missing csh label add support,15504,cant set database connection port co,independent,0,M
97,2865,6386,would nice provide support writin,54534,using email form validation sh,independent,0,M
21,3896,12773,using file check path check,515,signed cla flag displayed,independent,0,M
1240,8439,78665,one bit technical essentially,19216,want create image gifbuilder,independent,0,M
365,4289,78132,javascript function linkto uncryptmailtos,7386,implement product article could used,independent,0,M
2017,4793,83175,new page tree show modal prompt,91817,hello everyonernrni think would h,independent,0,M
1615,8522,5380,integration prowl notification service,49142,add method language repositoryrnrnfi,independent,0,M
2526,6782,61800,able render kind medium file,20421,indexed search still sometimes unflexible,independent,0,M
647,1775,6055,example static typoscript implement daml,1234,current version doctrine come,independent,0,M
1112,7797,31945,hook customizing output would gre,37551,nice opportunity send ema,independent,0,M
1158,7608,23472,hirnrnid like add two new method,5624,hi buelter keramitsis kiefer kennz,independent,0,M
934,506,18243,already div marker ena,18847,following text hardcodedrnrn r,independent,0,M
654,5035,90342,item content element wizard,12885,please find attached patch complete du,independent,0,M
1843,9029,28601,already possible multiple stdwrap,31765,widget controller indexac,independent,0,M
1739,2811,17863,would great get hook locali,90347,jsonview able resolve recursive p,independent,0,M
835,9168,8226,button bit crypticrnrn,5098,moment extbase allows creation back,independent,0,M
16,8895,44523,extnc staticfilecache cache content,91719,add possibility add custom error messag,independent,0,M
151,6592,85146,id like possibility read environ,16921,try upload extension keep getti,independent,0,M
2569,8022,1046,try find best standard coloringrnr,25085,default rte provides button prese,independent,0,M
1807,8786,1016,make possible define list often u,27731,hirnreally good extension thank yournr,independent,0,M
1141,2099,11428,add support performance profiling eg u,37638,trying use extension slider th,independent,0,M
48,2340,83584,hirnrnis possible implement setti,20078,new default skin,independent,0,M
2143,6242,88448,placeholder override functionality like th,81313,issue rn livesearch currently,independent,0,M
1092,5744,92430,add recursive filter search functionality,54098,would great link beginni,independent,0,M
336,2733,53583,hirnto increase extbaseperformance would,22111,current iconset contains several uglylook,independent,0,M
1324,1597,6450,instance option add log,28194,developped pri,independent,0,M
385,7817,77666,one suggest wizard one row,37150,following proposal xavier perseguers hel,independent,0,M
1106,7361,15500,currently far know possibi,11282,possibility configuration,independent,0,M
2267,2218,71867,would nice admins notified whe,33531,currently datetimeconverter accepts targe,independent,0,M
885,7166,326,bug work find abou,565,hello sebastianrnrnplease add categor,independent,0,M
1705,2414,50564,rendering category heading har,68687,might irrefields tab p,independent,0,M
39,9085,66041,loading extension fails exception sh,36478,add two additional color legend,independent,0,M
1840,6378,75919,right le hardcoded jobco,28794,hi therernrnin cs styled content rend,independent,0,M
587,4661,3444,implement tca db structure,7586,isnt possibility change,independent,0,M
2626,6901,54092,object implement jsonserializable inter,14588,xhtml later xhtml version lang,independent,0,M
1562,6767,72452,add setting template layout use diffe,6354,implementfinish customer address implem,independent,0,M
2298,4171,17262,method executefinalquery hook,75776,problemrninvalid csfrtoken detected,independent,0,M
728,1568,7546,show wt gallery description given,86761,work cssfile time,independent,0,M
69,6951,24345,nice place hook mod,54534,using email form validation sh,independent,0,M
268,4554,66597,currently isnt possible use extensi,72149,dateviewhelper support datetime obje,independent,0,M
1708,2906,58123,please add compatibility,87113,using record type multi languag,independent,0,M
1626,6015,6423,implement collection system able,17915,would like log login failure like wrong,independent,0,M
2279,6613,28231,cli response possibility,707,hirnrnim testing extension really de,independent,0,M
771,4838,63541,already possible configure previe,326,bug work find abou,independent,0,M
826,3259,13380,write documentation,47702,feature help visitor subscribe,independent,0,M
218,1585,45604,please change svn repo git one,6675,hirnrnanother hintrnrni read othe,independent,0,M
525,814,36779,several part core require class name,88852,github gitlab make button,independent,0,M
2239,2710,8279,test result chart contain informat,13751,marker text first text last,independent,0,M
76,2617,44345,editor wanted assimilate colum,106,plan svn sso followsrnrn,independent,0,M
821,6164,52545,see rn,22191,attached patch ensure size,independent,0,M
1831,8630,71262,problemdescriptionrnrnwhen deploy,14038,dear frankrni feature requestrnr,independent,0,M
1363,5725,28613,add minor modification restructurin,48635,page id fe user record could list,independent,0,M
1919,655,26759,would useful able sort,17401,itd nice could exclude section,independent,0,M
1117,4331,85569,integratordeveloper useful,76857,possibility define dynamic recipient,independent,0,M
2166,1165,38471,popup window login rendered,17729,problem think may solved de,independent,0,M
2107,3637,44318,befuncimplodetsparams bugrnr,33878,im using extension browser handle,independent,0,M
224,3878,13563,implement option either display pro,8453,hirnrnvery good extension detailed,independent,0,M
961,2817,42761,currently getbytag return numeric ar,17788,would nice stdwrap possible,independent,0,M
131,741,3244,hi allrnrnive looked imagewidth,38419,sometimes would helpful see long,independent,0,M
2069,3297,1811,field required automatica,69288,documentation state config,independent,0,M
1030,6688,54092,object implement jsonserializable inter,15090,undohistory feature isnt nice,independent,0,M
166,2694,17822,made individual patch file new file,16855,tmenugmenu accept normal wrap,independent,0,M
1172,7017,45297,extbase team want start document,52447,would nice image could directly upl,independent,0,M
798,3094,19235,function tceformsgetsinglehiddenfi,53621,hellornrnfirst big thanks th,independent,0,M
388,4880,47375,add jquery support,4475,label manually automatically hardc,independent,0,M
2026,899,9319,would nice fancy icon choose,27845,current record grid opened,independent,0,M
863,3602,45646,questionaire add page break,2699,mail sent mailformplusplus finisher mai,independent,0,M
1581,2238,19764,sometimes necessary include javascrip,53621,hellornrnfirst big thanks th,independent,0,M
2316,83,2600,willing add french translation,34283,render custom header control using rende,independent,0,M
1901,6410,68990,use constant tca foreign tab,39863,moment possible index exte,independent,0,M
773,2297,92928,hirnrncurrently core provide,1938,cleaned patching function bit n,independent,0,M
2565,4402,14640,searching certain word w,12582,dam enabled site dam link checked,independent,0,M
2575,4665,6903,version possible add cla,19167,tx cm layout there hook allows,independent,0,M
1026,2528,1470,flexform store additional information,2212,implement auto setup option get multiple,independent,0,M
498,7493,24511,deleted page marked suff,19992,installremove extension alw,independent,0,M
1632,1349,54303,simplify login registration admi,67104,nature extbase mapping reall,independent,0,M
421.0,496.0,69863.0,complicated easy say hollow ou,57446.0,tried add rendering partial othe,relates,1.0,M
1244.0,203.0,79900.0,patch add unicode detection oracle da,79899.0,thish patch begin adding oracle suppor,relates,1.0,M
1123.0,1492.0,16237.0,issue task center av,22363.0,taskcenter redone completly make,relates,1.0,M
2580.0,1273.0,16835.0,using condition typoscript po,19515.0,normally use compar,relates,1.0,M
1239.0,1637.0,6724.0,hirnrnfirst sorry bad english,7722.0,cldr data contains information xml format,relates,1.0,M
1073.0,701.0,44891.0,possible set protoc,53080.0,currently flow support multidoma,relates,1.0,M
673.0,411.0,64047.0,current way go implementing mail,90266.0,sends various email would,relates,1.0,M
1225.0,742.0,44218.0,backport flow described,42135.0,since implementation custom error rende,relates,1.0,M
1664.0,1052.0,25718.0,currently swf supported,53421.0,youtube video url medium element,relates,1.0,M
2520.0,1535.0,15256.0,first new workspacesmodule seems,16359.0,possible get stuck autoversionin,relates,1.0,M
1983.0,1491.0,16314.0,add checkboxes user make new co,16313.0,enhance tool user admin user group,relates,1.0,M
2010.0,1190.0,21753.0,would nice db provides api,21944.0,mysql dump typically contain extended insert,relates,1.0,M
1502.0,457.0,60221.0,usually file layer like linux file system,66466.0,filelist show file,relates,1.0,M
1903.0,168.0,83285.0,problemdescriptionrnrnit would nic,81991.0,hi therernrni missing dopdown field,relates,1.0,M
2376.0,211.0,81623.0,new core linkhandler functionality,79626.0,integrate linkhandler core,relates,1.0,M
1719.0,842.0,36705.0,beuser open page doctype sysfold,29790.0,dear people communityrnrnthere oft,relates,1.0,M
2243.0,726.0,43356.0,allow fluid array viewhelper argument,7608.0,see mailinglist thread limitation f,relates,1.0,M
1671.0,999.0,56269.0,within cm possible th,28299.0,hook enables modify hash base,relates,1.0,M
1710.0,523.0,14669.0,possible make field edit pag,55976.0,tca config overridden w,relates,1.0,M
2184.0,854.0,36075.0,original concept new pagetree,22985.0,sometimes need locate page page tree u,relates,1.0,M
2536.0,675.0,46017.0,multi language site really conv,66869.0,editor selects one language would,relates,1.0,M
842.0,282.0,72619.0,add hook signal configuration option th,72620.0,would like provide different image crop p,relates,1.0,M
508.0,134.0,84584.0,setting influencing page rendering b,84585.0,info module provide informatio,relates,1.0,M
1201.0,67.0,88947.0,idea feature request,89458.0,possible add different url manu,relates,1.0,M
1783.0,1429.0,20709.0,hirnrnplease add serbian flag,17307.0,please add sk flag,relates,1.0,M
2255.0,1342.0,18525.0,following condition metrnr,18521.0,using class styleattribute instead,relates,1.0,M
578.0,702.0,44896.0,flip used tt contentrnit,44858.0,current row part cobjdatarn,relates,1.0,M
1163.0,1109.0,23899.0,sometimes wish give control instruction,86220.0,debug function,relates,1.0,M
1466.0,1375.0,17881.0,stdwrap possible selectwhererne,22338.0,using marker properly quoting esca,relates,1.0,M
732.0,1207.0,24147.0,internet explorer last supported,20953.0,hopefully drop support,relates,1.0,M
1032.0,1118.0,64764.0,hirnrnthe current system browse record,23631.0,hi teamrnrnno pagination available htt,relates,1.0,M
725.0,958.0,30418.0,would nice package bootstrapped,54151.0,hirnrnfor reimplemented,relates,1.0,M
1182.0,459.0,60045.0,currently action tstemplate modul,14700.0,added support clear cache subtrees,relates,1.0,M
1806.0,1638.0,6724.0,hirnrnfirst sorry bad english,7721.0,existing resource management subsystem need,relates,1.0,M
2084.0,1167.0,22365.0,taskcenter done new impexp exte,22363.0,taskcenter redone completly make,relates,1.0,M
1638.0,1741.0,1235.0,check somehow mod rewrite,87.0,add fallback server without mod rewrite,relates,1.0,M
