,Unnamed: 0,id1,Description1,id2,Description2,Type of dependency,label
0,404,64764,hirnrnthe current system browse record,64401,folder image th,relates,1
1,133,84775,hmenu extended support au,84650,introduce new language menu processor,relates,1
2,7968,16707,stupid behaviour oracle treat emptry,341,define router interface implement rewr,independent,0
3,981,28627,everyday need put description,28388,integrate trunk form project trunk,relates,1
4,3712,71876,would nice way customi,91835,dear great work,independent,0
5,55,87897,meaning would like add another link cate,5162,moment already interface,independent,0
6,4826,5721,would like change unit size k,80854,provide class hold relative rooflin,independent,0
7,582,1687,heyrnrnmaybe possible plug,51336,love optimization plugin use,independent,0
8,4496,15747,one deletes ce image also remove c,19563,ive included fe login twice,independent,0
9,454,76433,hirnrnhaving enabled category tab ba,60553,please add category palette,relates,1
10,327,68420,dataprocessor could used fetch,64723,maybe contentobjects write fla,relates,1
11,8599,92534,extension compatible vers,54023,chatfreenodenet force sslrn,independent,0
12,943,31636,use popupwindow typolink,21302,user cannot resize popup scroll,relates,1
13,1542,15112,idea improving relation partr,54075,would nice could change delimit,relates,1
14,6745,51219,currently conv method c utils,39175,hellornrnafter resizing table valu,independent,0
15,1422,17406,initial situationrni menu point f,66218,add linkhandler functionality page type sho,relates,1
16,8895,44523,extnc staticfilecache cache content,91719,add possibility add custom error messag,independent,0
17,883,34288,set attribute relnofollow,75165,hi allrnrnwhen setting link via rte li,relates,1
18,434,61799,currently cm easyworking way fo,25718,currently swf supported,relates,1
19,1657,6681,path php binary configura,4426,distribution come easy use c,relates,1
20,320,69351,configuring link target elementb,5341,user simple redactor dont know,relates,1
21,3896,12773,using file check path check,515,signed cla flag displayed,independent,0
22,31,87856,lts require swiftmailer v,90370,use eguliasemailvalidator email valida,relates,1
23,4114,33593,last year website banner,4305,add debug library needed firephp ease aj,independent,0
24,110,86400,variant site variant added,86303,base variant different dif,relates,1
25,3894,65918,hellornrnwe realized issue,6131,import rule supported op,independent,0
26,693,45293,parsing body argument eg xml json cur,37604,rest controller provided b,relates,1
27,4408,8624,checkbox reset corner,70893,maybe pagebased document well,independent,0
28,2402,25262,would good implement add method cac,84894,able see entry log modul,independent,0
29,1699,16239,two installation recently expe,76857,possibility define dynamic recipient,independent,0
30,911,38379,make eel available fluidtemplates eel,33394,boolean viewhelper attribute like fi,relates,1
31,5511,792,vorschlagrnspeicherung de anmeldedatums de,43052,introduce utility class several naming,independent,0
32,123,2365,configuration setting pointcutfilter cur,20297,forge hci,independent,0
33,1029,27391,would need allow uploading one,27390,flash ipad,relates,1
34,1669,6060,would cool single medium fiel,6398,configuration module damlightbox sh,relates,1
35,6071,5692,list personalizeoption vfoldertree,52482,currently way register mod,independent,0
36,24,91081,followup site settin,91080,older version possible defi,relates,1
37,1727,1677,retrieve one single object repositor,2603,base repository provide magic,relates,1
38,228,87300,allows use multiple session per user,37908,hirnrni created skin jqueryui w,independent,0
39,9085,66041,loading extension fails exception sh,36478,add two additional color legend,independent,0
40,740,39870,would great configure alterna,42176,currently resolution view class,relates,1
41,1405,14075,add working realurl configuration see hype,51629,would great cli command,independent,0
42,818,37604,rest controller provided b,27117,route need option limited certain,relates,1
43,8538,14798,ive got handful pdf file,42784,besides telling identifier persisted,independent,0
44,4309,41713,currently tca config property localizerefe,1452,would like see list category displ,independent,0
45,1265,19629,starting expanding idea,17747,suggesting typoscript parameter hmenu sp,relates,1
46,7662,20267,t configuration still included via ext,39837,webredirect currently expects option u,independent,0
47,2167,6872,like seen tt news others inclu,66948,right preview link lifetime w,independent,0
48,2340,83584,hirnrnis possible implement setti,20078,new default skin,independent,0
49,469,80793,admins able define password pol,59074,flag user password neeeds,relates,1
50,1570,60045,currently action tstemplate modul,14700,added support clear cache subtrees,relates,1
51,727,43247,hi folksrnright point thinking,43569,debugexceptionhandler productionexcept,relates,1
52,3245,71277,validation error message,58622,array string conversion happens,independent,0
53,4859,75566,tcafield default datatype,18780,propose exchange tablerendering,independent,0
54,177,80793,admins able define password pol,59074,flag user password neeeds,relates,1
55,1222,71874,unfortunately currently chromespecifi,20558,many user want upload lot file,relates,1
56,4588,2915,tx ptlist genericdataaccessor used fetch,72871,default value gfxthumbnails png,independent,0
