req1,req2,id1,id2,Label
extend persistedusernamepasswordprovider wit,currently the flow developer has to set sess,46063,56744,1
the system status update tests the cli environ,please add the feature to skip tests in the re,62101,52283,1
line on class stdgraphic php hardc,line on class stdgraphic php hardc,14387,14386,0
the tagging features of the file backend are,the tagging features of the file backend are,,,0
cache entries need to be found by tag through,although one can store cache entries with tags,1786,1199,0
the rte configuraion or is this an issue for,only say parsefunc as not sure where thi,16340,20555,1
flow has the notion of applicationcontext whic,what is your opinion about introducing,49988,39441,1
the patch,the nonrelationtables and nonrelationfields,,,0
by using mod web list allowedtables you can ad,ve got container element with grid colum,50360,71365,1
when using conditions in typoscript it is pos,normally you can only use = and for compar,16835,19515,1
different notifications on stages\r\n\r\nc,the workspace module uses the extbase dispatch,35245,35246,1
hi \r\n\r\ni needed one ce to be loaded via ty,it is possible to make an instance of dce us,,,0
now the grid support local sorting to make th,fields to be defined in the structure that is,10045,9751,0
div geturl is know to be hudge and,as has support for observer,28344,28615,0
it would be amazing to have keyboard shortcuts,clear the first available cache for administr,,,0
the fluid viewhelper passwordviewhelper should,if you need compact formular one possible wa,64531,53406,1
it would be nice to have hook when the opcod,the opcode cache from the web process cannot,66495,57258,1
adding options defaultuploadfolder to pagets,think it usefull feature to define def,,,0
it would be nice to be able to alter the links,problem if you want to show links to access,,,0
flag for user that the password neeeds to,flag for user that the password neeeds to,59074,59073,1
it would be nice if db provides an api,if makes it to core here is the patch,21753,21754,1
with div trimexplode it not possible,the extmgm api provides methods to add,,,0
iam talking about \r\n\r\n\r\nimages,actually use with dam because of,48644,56133,1
cache entries need to be found by tag through,although one can store cache entries with tags,1786,1199,0
using the clipboard to other than normal,situation \r\nlist view only one specific rec,26139,40690,1
in older versions it is possible to defi,there will be site wide settings available th,91080,89102,1
what really love is something like this to,currently the flow developer has to set sess,55831,56744,1
admins should be able to define password pol,enhance functionality concerning passwor,80793,87299,1
it should be able to set one \datetime propert,it should be possible to submit date through,29564,27417,0
currently the charts are created equally for,it should be possible to register custom views,,,0
this is huge performance killer when cache,we just launched new website with about,28484,52574,1
currently the repositories are all flushed on,routes need an option to be limited to certain,28136,27117,1
sometimes you need to receive variable numb,following up on validation should make,3728,4146,1
as an editor want to choose the positon firs,suggestion for don know if som,,,0
currently with fal there is no possibility to,hi \r\n\r\nit would be great if like in the,66514,46437,1
hi \r\n\r\nthe faroese flag is missing from th,hi \r\n\r\nplease add the serbian flag in the,,,0
background\r\n\r\nthe extension manager in,when looking in the em for my installed extens,89894,70157,1
now that drag drop for content elements in,it should be nice if you can use drag and drop,43134,63315,1
to manipluate general properties like lang xm,it would be great if there possiblity to,,,0
local extension \r\n only active/inactive/upd,it would be nice to have an filter to see onl,,,0
be user may want to set the width and height,it would be good if the resizing of the new ex,24014,23268,0
the typoscript select properties groupby and,there are lots of parameters still left in tsl,20508,24089,0
clearing the whole page cache on large website,it is sometimes necessary to know which user,,,0
m currently putting an package tog,distribution comes with an easy to use,7216,4426,1
hi \r\n\r\nhaving enabled categories tab in ba,like media categories etc,,,0
hi \r\nit would be very useful if one can defi,sometimes we need to have file mount eg al,15082,14967,1
would allow using ucfirst/ucwords and similar,stdwrap should have function to make the fir,28045,28018,1
original report\r\n\r\n\r\n\r\nrecently,this is my second task for equipping wit,73456,73164,0
implement rfc also for inline relationa,hey all \r\n\r\nthis is first step into cons,17979,17970,1
more hooks are always useful \r\ni miss one,would like to see hook added for checking,,,0
this would be nice feature it would allow,when scheduler task is marked as running th,,,0
it would be very usefull if the form objects,if you need compact formular one possible wa,63391,53406,1
when configuring link target in the elementb,offers possibility to open menu link,69351,24247,1
tsconfig per content tt content is needed in,doc core tsconfig tells us the syntax is as,18749,17299,1
introduced the new responsive images whe,would need to allow uploading more than one ve,57417,27391,1
backport the change already merged to flow flu,all elements in can have any number of,61351,35748,1
so im using now for few months and int,the current element browser need support for,89709,66608,1
usability and of viewpage module should be imp,bring responsive adaption for viewpage preview,51933,51148,1
if be user opens page with doctype sysfold,often when you want to store different kinds,,,0
since it is possible to use the quer,with the rte htmlarea link popup doing an,,,0
when classes are extended inheritance should,objects yaml should allow for adding and ove,37372,37373,1
general problem of is the xhtml suppor,cms is allowing user to set custom,40503,67686,1
